metric,value,unit,source
megabyte_dnacorpus_full_bpb,1.8030302569523533,bits/base,outputs/dna_megabyte_large_opengenome2_9/statistics_dnacorpus_full/compression_ratio_summary.csv
megabyte_dnacorpus_full_mbases_per_second,1.6495270314932664,Mbases/s,outputs/dna_megabyte_large_opengenome2_9/statistics_dnacorpus_full/compression_speed_summary.csv
megabyte_opengenome2_100mb_mbases_per_second,2.137009102794494,Mbases/s,outputs/dna_megabyte_large_opengenome2_9/statistics_opengenome2_fasta_100mb/compression_speed_summary.csv
megabyte_opengenome2_100mb_bpb,1.772374521391965,bits/base,outputs/dna_megabyte_large_opengenome2_9/statistics_opengenome2_fasta_100mb/compression_ratio_summary.csv
geco2_dnacorpus_full_bpb,1.685460325822487,bits/base,outputs/dna_geco2_dnacorpus_fullsplit/compression_aggregate_by_split_mode.csv
geco2_dnacorpus_full_mbases_per_second,1.1314128854935126,Mbases/s,outputs/dna_geco2_dnacorpus_fullsplit/compression_aggregate_by_split_mode.csv
region_mean_carbon_500m_bpb,1.76936,bits/base,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/combined_species_average_bpb_bar_values.csv
region_mean_evo2_1b_base_bpb,1.646783,bits/base,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/combined_species_average_bpb_bar_values.csv
region_mean_evo2_7b_base_bpb,1.519749,bits/base,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/combined_species_average_bpb_bar_values.csv
region_mean_geco2_bpb,1.771551,bits/base,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/combined_species_average_bpb_bar_values.csv
region_mean_megabyte_bpb,1.811811,bits/base,outputs/dna_megabyte_large_opengenome2_9/region_bpb_compare_dnacorpus_50kb_seed12345_evo2_1b_7b_megabyte_geco2/combined_species_average_bpb_bar_values.csv
