species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,125661057.44988604,1.3909938351451288,9.631060595486006e-06,17.493155046780778
HoSa,cds,1441170,8303,0.007594992064064112,1247760.766193498,0.8657970719578523,6.879307674667236e-07,16.230754557073254
HoSa,rna,32807509,1424,0.17289616804173824,47423469.8283516,1.445506570716832,6.879307674667236e-07,16.152914067351432
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,4880248.990205578,1.526005334556653,7.051305917303151e-06,18.161315503699843
HoSa,intron,61958107,9043,0.3265203487232145,92019547.28779015,1.4851897797295541,-0.0,18.129594357945706
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,3101.6237224686847,0.3533003442839372,0.0003318786947300121,11.179717790810006
GaGa,intergenic,72256287,1629,0.48646853188707906,126977475.0114817,1.7573207852692694,2.92370802720058e-06,14.526663237358063
GaGa,cds,2636753,15435,0.017752051954438946,2236064.9039141387,0.8480373034236194,3.4396534272948306e-07,18.394524212134257
GaGa,rna,6218101,657,0.04186363000627998,11179749.346510343,1.7979362745169858,2.4077591212706595e-06,12.669842318434016
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5158243.570551409,1.7347747978354373,5.5034553246245395e-06,15.048207500951676
GaGa,intron,64447716,15294,0.4338969948178408,115346107.2080369,1.7897625294903685,3.4396534272948306e-07,15.151321190540104
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,30305017.720603608,1.3378725935735978,2.5797420694119618e-06,18.034092443440443
DaRe,cds,2371006,12026,0.037896671334876904,2475182.51702524,1.0439376859549239,8.599135105882653e-07,16.219410874449352
DaRe,rna,2047937,662,0.032732939268620066,2884008.4017335246,1.4082505476162228,1.2210819886664613e-05,17.001921981924376
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,3086590.356568025,1.5714324622365898,1.1178915616632623e-05,16.995579087174924
DaRe,intron,33530241,11613,0.5359263211296025,45770980.94116182,1.3650656713490912,1.3758618629646341e-06,17.962326875526003
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,41996481.227753244,1.6028272435585276,4.1275895252744015e-06,17.81307769373578
OrSa,cds,5361231,20886,0.12392321640603346,6177771.789297427,1.1523047205571681,5.159480448471312e-07,17.594610107753955
OrSa,rna,935741,718,0.02162936729325749,1648678.079625792,1.7618957378439035,4.162040185784915e-05,12.266425103970407
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5337892.52668287,1.7910035078214108,1.1522883624634245e-05,14.894850946935886
OrSa,intron,7783657,18409,0.1799168532080295,13812467.381120006,1.7745472829956415,1.8918103998587215e-06,16.055674879383385
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,20642917.79267213,1.8089317570632684,6.7073389754153415e-06,14.926620357938768
DrMe,cds,5628389,14979,0.17489555855335076,6405188.823656142,1.1380145941682676,5.159480448471312e-07,19.130518077224778
DrMe,rna,439099,259,0.013644484214793568,783874.5977504997,1.7851887564091462,3.6976743794448985e-05,11.211217058500651
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3528971.546212181,1.8372184975982593,2.5625642562923215e-05,13.301189904059573
DrMe,intron,12781456,13027,0.3971686900541303,23224613.500152647,1.8170553886937957,3.0956910368479058e-06,17.161078765760028
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,908557.7051727375,1.8352884364431348,4.076046405177339e-05,15.671280977315218
EsCo,cds,3961156,3509,0.8533935762525928,4300679.698158836,1.085713286262605,3.4396534272948306e-07,18.655129545262657
EsCo,rna,49790,219,0.010726784343160581,26927.875813262326,0.5408289980570863,1.8918103998587215e-06,16.438409284232435
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,134273.63600528668,1.596917759895421,2.04660806179598e-05,15.189390025511237
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,68957.36241462812,1.3370567032735123,1.169486765938844e-05,12.132086724212197
AgPh,intergenic,4692,44,0.10670911985444621,8614.38814669175,1.835973603301737,0.0007164856255197205,7.153241938496748
AgPh,cds,39278,43,0.8932908801455538,71425.56440569971,1.8184623556621955,0.0008510491423959374,8.000240967816703
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1287.4784575944427,1.890570422311957,0.8965884394309865,4.02283477983849
BuEb,cds,14516,7,0.7664202745512143,27982.50365765654,1.9277007204227432,0.17282847305005292,5.810312355230257
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7241.020556821038,1.9345499751058075,0.28450526962961337,5.076652654706507
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
