species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HePy,intergenic,128733,1228,0.07718499865095782,225725.26455251788,1.753437460111377,0.0048666229291346366,8.432385976310236
HePy,cds,1526441,1183,0.9152147974937794,2190922.9972608048,1.4353145632623894,2.751725038055267e-06,14.569363692836198
HePy,rna,12676,46,0.007600203855262763,10304.837048856902,0.8129407580354135,7.567256483900854e-06,12.622973139118395
HePy,exon_non_cds,0,0,0.0,0.0,,,
HePy,intron,0,0,0.0,0.0,,,
HePy,gene_other,0,0,0.0,0.0,,,
HePy,repeat_mobile_existing,0,0,0.0,0.0,,,
ScPo,intergenic,1237740,4602,0.09830471347806435,2295990.0188856763,1.8549857150012736,0.00013140072906966618,12.21539580433834
ScPo,cds,7188107,10215,0.5708992188057821,11112742.494243395,1.5459901326237067,4.643539046265216e-06,15.838953329200194
ScPo,rna,2516991,8189,0.19990634469425458,4685796.431795664,1.8616659462809617,4.265232790174284e-05,15.235792416660562
ScPo,exon_non_cds,1362461,6680,0.10821039816927386,2533913.38297634,1.8598061764530067,0.0009997374958253154,13.71138213450936
ScPo,intron,209346,2624,0.01662683483427768,387887.93272861384,1.852855716032854,0.0006781149530961346,13.022981033269621
ScPo,gene_other,0,0,0.0,0.0,,,
ScPo,repeat_mobile_existing,76206,231,0.006052490018347449,135036.9825385217,1.7719993509503411,9.27016270631786e-05,10.11581643574799
PlFa,intergenic,9353538,5636,0.40097695053155863,12669805.880279148,1.3545468976850414,0.00012090886995868227,13.441548572872819
PlFa,cds,12205712,13684,0.5232468373813686,17983126.26614274,1.4733369316056892,1.031896274211761e-06,15.698263522473729
PlFa,rna,114036,202,0.00488861086904408,160940.80751787702,1.4113157907842877,0.00014172066492586268,11.023000866865766
PlFa,exon_non_cds,0,0,0.0,0.0,,,
PlFa,intron,1653586,8563,0.07088760121802871,2168159.9742833567,1.3111867022842214,7.29224869053818e-05,14.519397136158705
PlFa,gene_other,0,0,0.0,0.0,,,
PlFa,repeat_mobile_existing,0,0,0.0,0.0,,,
EnIn,intergenic,24399207,11981,0.602508958475832,41847171.195812084,1.7151037406999368,2.923734690356309e-05,15.158608797734269
EnIn,cds,15562764,17411,0.384303667272677,26148794.468637034,1.6802153183481439,7.3952729411994815e-06,15.836022093076538
EnIn,rna,0,0,0.0,0.0,,,
EnIn,exon_non_cds,0,0,0.0,0.0,,,
EnIn,intron,534036,5450,0.013187374251491017,927842.6573252435,1.73741593698785,3.112919564285746e-05,15.314101450841628
EnIn,gene_other,0,0,0.0,0.0,,,
EnIn,repeat_mobile_existing,0,0,0.0,0.0,,,
