source,model_family,model_id,core_base_count,tail_base_count,row_count,window_bases,token_merge_size,dtype,emission_order,shard_count,checksum_sha256,trace_generation_seconds,batch_size,batch_count,trace_dir,depth_major_trace_dir
AeCa,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,1591049,0,1591049,8192,1,float32,position_major_v1,2,e387bfb2d89d75a18575a488f8a0855baf52b81cc16b58b572c3810b3045f0be,214.44039733199997,256,1,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AeCa,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/AeCa
AgPh,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,43970,0,43970,8192,1,float32,position_major_v1,1,db6fd645130eccea531b59d25638ade54c39a095144972d7161960c6a8a493a9,38.37708825999971,256,1,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AgPh,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/AgPh
AnCa,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,142189675,0,142189675,8192,1,float32,position_major_v1,143,869b05389a97a9e398a5a1466df268f6633fc0688b401524b7d2745e7ac95762,17928.911043911,256,68,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AnCa,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/AnCa
BuEb,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,18940,0,18940,8192,1,float32,position_major_v1,1,d5b73c9ee9d77ad049daab1f28acd59922b90d52fd3599aa76dbe384015b7cf7,36.9707687140035,256,1,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/BuEb,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/BuEb
DaRe,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,62565020,0,62565020,8192,1,float32,position_major_v1,63,1b851660ee1d629f487ca95207c9193e4fcf22c669dc7389b4c5ce2a73b7adb7,7949.297363628997,256,30,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DaRe,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/DaRe
DrMe,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,32181429,0,32181429,8192,1,float32,position_major_v1,33,33db88e877a0212a5e2bd7d0ec88fe72ef044cb69059b970c57f59d8c25df1b6,4169.385969859002,256,16,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DrMe,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/DrMe
EnIn,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,26403087,0,26403087,8192,1,float32,position_major_v1,27,553f3e5f1a35a9ef4f1c3c5aca77b304417387c912116391bad59feb35e94e48,3394.3625323660017,256,13,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/EnIn,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/EnIn
EsCo,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,4641652,0,4641652,8192,1,float32,position_major_v1,5,cf07fdcd61b099d43bdc27be58e7d148e53b92a02bd7781db226012a5e5fa05a,640.91008229,256,3,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/EsCo,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/EsCo
GaGa,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,148532294,0,148532294,8192,1,float32,position_major_v1,149,5730bf9c1cf31e614c70ac5b54d9e45ba236a5e0de5ee281d2af1b6af03d2c8e,18858.398082126005,256,71,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/GaGa,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/GaGa
HaHi,carbon,third_party/Carbon-3B:streaming_base_factorized_w8192,3890005,0,3890005,8192,1,float32,position_major_v1,4,8f24b9a7573076ca1cffb6afb6b62080be235b7fe63cd9c1d33f8211e6111bbe,546.2077851739887,256,2,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HaHi,outputs/carbon3b_dnacorpus_w8192_target_traces/traces/HaHi
