species,sample_bases,core_base_count,window_bases,trace_emission_order,trace_selection,fusion_eta,fusion_initial_carbon_weight,fusion_final_mean_carbon_weight,fusion_final_mean_megabyte_weight,fused_theoretical_bpb,carbon3b_only_theoretical_bpb,megabyte_only_theoretical_bpb,fused_minus_carbon3b_bpb,fused_minus_megabyte_bpb,process_seconds,bases_per_second,trace_left,trace_right
HoSa,189752667,189752667,8192,position_major_v1,position_major,0.05,0.5,0.6869585846351074,0.3130414153648926,1.4262987337475854,1.429414354139928,1.649172921742005,-0.0031156203923425885,-0.2228741879944196,76.6796300340211,2474616.3605094445,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HoSa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HoSa
GaGa,148532294,148532294,8192,position_major_v1,position_major,0.05,0.5,0.5478643019752852,0.45213569802471476,1.7484602076096922,1.7565044813787858,1.8413164873702605,-0.008044273769093557,-0.09285627976056832,56.03074961097445,2650906.779425056,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/GaGa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/GaGa
AnCa,142189675,142189675,8192,position_major_v1,position_major,0.05,0.5,0.7073591476156582,0.2926408523843418,1.4779430208439828,1.4821611031344835,1.8576275283207417,-0.004218082290500691,-0.37968450747675897,54.02343943202868,2631999.6744913007,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AnCa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AnCa
DaRe,62565020,62565020,8192,position_major_v1,position_major,0.05,0.5,0.7777456409238152,0.22225435907618485,1.3483585261468323,1.3509430659030903,1.8189467324341233,-0.002584539756258053,-0.47058820628729103,24.88043740700232,2514627.0130440625,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DaRe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DaRe
OrSa,43262523,43262523,8192,position_major_v1,position_major,0.05,0.5,0.7251288040469533,0.27487119595304665,1.5937465715393053,1.5942965463313046,1.8716275494916954,-0.0005499747919992526,-0.2778809779523901,17.230386000999715,2510827.2674500667,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/OrSa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/OrSa
DrMe,32181429,32181429,8192,position_major_v1,position_major,0.05,0.5,0.6613161233420217,0.3386838766579783,1.6964162205682087,1.6961821757648483,1.8838415758390235,0.00023404480336042255,-0.18742535527081472,12.726552413019817,2528683.9637007266,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DrMe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DrMe
EnIn,26403087,26403087,8192,position_major_v1,position_major,0.05,0.5,0.6150779709915762,0.38492202900842376,1.8058555148763615,1.8076633841567442,1.8818485147748938,-0.001807869280382679,-0.07599299989853225,10.527747086947784,2507952.2505564685,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/EnIn,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/EnIn
ScPo,10652155,10652155,8192,position_major_v1,position_major,0.05,0.5,0.6426406414408237,0.35735935855917633,1.7697829469347672,1.7720248993396237,1.9053601742727586,-0.002241952404856473,-0.13557722733799138,3.993339598993771,2667480.372238839,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/ScPo,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/ScPo
WaMe,9144432,9144432,8192,position_major_v1,position_major,0.05,0.5,0.7239022751503149,0.2760977248496851,1.71062625621191,1.7116795190549094,1.9122915277113797,-0.0010532628429995583,-0.20166527149946978,3.714519625995308,2461807.42618899,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/WaMe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/WaMe
PlFa,8986712,8986712,8192,position_major_v1,position_major,0.05,0.5,0.5760636066425602,0.4239363933574398,1.7358576658160831,1.7384370398786138,1.79602613092097,-0.002579374062530615,-0.060168465104886826,3.5493825059966184,2531908.574186386,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/PlFa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/PlFa
