species,sample_bases,carbon3b_bpb,megabyte_bpb,nc_prefix_bpb,carbon_megabyte_fused_bpb,carbon_nc_prefix_fused_bpb,megabyte_nc_prefix_fused_bpb,carbon_megabyte_minus_best_single_bpb,carbon_nc_prefix_minus_best_single_bpb,megabyte_nc_prefix_minus_best_single_bpb,carbon_megabyte_minus_carbon_nc_prefix_bpb,carbon_megabyte_minus_megabyte_nc_prefix_bpb,best_pair_fusion,best_pair_margin_vs_carbon_megabyte_bpb
HoSa,189752667,1.429414354139928,1.649172921742005,1.640347839025435,1.4262987337475854,1.4209145336153566,1.573895798232721,-0.0031156203923425885,-0.008499820524571433,0.14448144409279307,0.005384200132228845,-0.14759706448513565,carbon_nc_prefix,0.005384200132228845
GaGa,148532294,1.7565044813787858,1.8413164873702605,1.8256031147530771,1.7484602076096922,1.736914083233996,1.799559694005965,-0.008044273769093557,-0.0195903981447898,0.04305521262717926,0.011546124375696243,-0.05109948639627282,carbon_nc_prefix,0.011546124375696243
AnCa,142189675,1.4821611031344835,1.8576275283207417,1.5565593792199641,1.4779430208439828,1.4317187628920194,1.5440564624519597,-0.004218082290500691,-0.05044234024246408,0.06189535931747625,0.04622425795196339,-0.06611344160797694,carbon_nc_prefix,0.04622425795196339
DaRe,62565020,1.3509430659030903,1.8189467324341233,1.474287964158913,1.3483585261468323,1.27203046285409,1.4542633584575548,-0.002584539756258053,-0.07891260304900038,0.10332029255446451,0.07632806329274233,-0.10590483231072256,carbon_nc_prefix,0.07632806329274233
OrSa,43262523,1.5942965463313046,1.8716275494916954,1.6020771255895818,1.5937465715393053,1.4269679512910702,1.5640664938346713,-0.0005499747919992526,-0.16732859504023434,-0.030230052496633242,0.1667786202482351,0.02968007770463399,carbon_nc_prefix,0.1667786202482351
DrMe,32181429,1.6961821757648483,1.8838415758390235,1.8613661167881657,1.6964162205682087,1.6658017474121833,1.817376961743862,0.00023404480336042255,-0.030380428352664968,0.12119478597901368,0.03061447315602539,-0.12096074117565325,carbon_nc_prefix,0.03061447315602539
EnIn,26403087,1.8076633841567442,1.8818485147748938,1.568468759259903,1.8058555148763615,1.4972830829562516,1.5444457688352593,0.2373867556164586,-0.07118567630365136,-0.02402299042464362,0.30857243192010997,0.26140974604110223,carbon_nc_prefix,0.30857243192010997
ScPo,10652155,1.7720248993396237,1.9053601742727586,1.8926222474323156,1.7697829469347672,1.728229882775289,1.8498613693396053,-0.002241952404856473,-0.0437950165643346,0.07783646999998162,0.041553064159478126,-0.08007842240483809,carbon_nc_prefix,0.041553064159478126
WaMe,9144432,1.7116795190549094,1.9122915277113797,1.9424551738471993,1.71062625621191,1.7027595030788498,1.8955882504810333,-0.0010532628429995583,-0.008920015976059625,0.18390873142612385,0.007866753133060067,-0.1849619942691234,carbon_nc_prefix,0.007866753133060067
PlFa,8986712,1.7384370398786138,1.79602613092097,1.7152956120505691,1.7358576658160831,1.6588959784149502,1.6897272204895228,0.02056205376551401,-0.05639963363561895,-0.02556839156104629,0.07696168740113296,0.0461304453265603,carbon_nc_prefix,0.07696168740113296
EsCo,4641652,1.1718664556422524,1.5852927306308182,1.8962380432202748,1.1644420787099918,1.159249354876312,1.5619937352954951,-0.007424376932260612,-0.012617100765940359,0.3901272796532427,0.0051927238336797465,-0.3975516565855033,carbon_nc_prefix,0.0051927238336797465
HaHi,3890005,1.461911903224992,1.6622011587458476,1.8590655277184847,1.4588512257044077,1.4558033526400471,1.6541143634354256,-0.003060677520584365,-0.006108550584944972,0.19220246021043352,0.0030478730643606067,-0.1952631377310179,carbon_nc_prefix,0.0030478730643606067
HePy,1667825,1.454912220901872,1.642677315509578,1.8026851372753214,1.4520450704251768,1.4258817517790403,1.5993495026482958,-0.0028671504766952793,-0.029030469122831803,0.14443728174642367,0.026163318646136524,-0.14730443222311895,carbon_nc_prefix,0.026163318646136524
AeCa,1591049,1.6199345655773,1.7572145040974794,1.9108651234779364,1.6166277009246326,1.621414081129632,1.7532434851634502,-0.003306864652667496,0.0014795155523319448,0.1333089195861501,-0.004786380204999441,-0.1366157842388176,carbon_megabyte,0.0
YeMi,73689,1.7133479216412417,1.695236096471931,1.8166345902484298,1.6722168572126381,1.7158009621258388,1.6943039706199075,-0.023019239259292945,0.020564865653907693,-0.0009321258520236242,-0.04358410491320064,-0.02208711340726932,carbon_megabyte,0.0
AgPh,43970,1.8203309654853668,1.8092676095423632,1.941196622077699,1.7883696611585336,1.8279946279989825,1.8163222022336443,-0.020897948383829634,0.018727018456619282,0.007054592691281059,-0.039624966840448916,-0.027952541075110693,carbon_megabyte,0.0
BuEb,18940,1.9277192540692547,1.9303963350263103,1.9599469325961165,1.923222118463565,1.9284571428467079,1.9300944088739433,-0.0044971356056897616,0.0007378887774531773,0.0023751548046886395,-0.005235024383142939,-0.006872290410378401,carbon_megabyte,0.0
