model,model_window_position,base_count,mean_bpb
carbon1,0,15,2.0292179743448893
carbon1,1,15,1.9688657522201538
carbon1,2,15,2.012246259053548
carbon1,3,15,2.0092268784840903
carbon1,4,15,1.8547376155853272
carbon1,5,15,2.082780869801839
carbon1,6,15,2.0256682872772216
carbon1,7,15,2.043693526585897
carbon1,8,15,1.8488204876581829
carbon1,9,15,2.040071940422058
carbon1,10,15,2.0714402039845785
carbon1,11,15,2.0084400018056234
carbon1,12,15,2.1231840451558432
carbon1,13,15,1.9856498161951701
carbon1,14,15,1.953126851717631
carbon1,15,15,2.086864773432414
carbon1,16,15,2.0821072578430178
carbon1,17,15,2.060518248875936
carbon1,18,15,1.971077060699463
carbon1,19,15,2.073816680908203
carbon1,20,15,1.9951294581095378
carbon1,21,15,1.9644760370254517
carbon1,22,15,1.8748197396596273
carbon1,23,15,1.995671796798706
carbon1,24,15,1.8716949285318454
carbon1,25,15,1.9052240294714768
carbon1,26,15,1.905441335340341
carbon1,27,15,2.013328695297241
carbon1,28,15,2.088230323791504
carbon1,29,15,1.882971223195394
carbon1,30,15,2.0334480444590253
carbon1,31,15,1.8627148111661276
carbon1,32,15,1.9306441913048427
carbon1,33,15,1.8245467742284138
carbon1,34,15,1.8292059083779653
carbon1,35,15,1.7575217127799987
carbon1,36,15,1.733377464612325
carbon1,37,15,1.996089470386505
carbon1,38,15,1.8743688007195791
carbon1,39,15,2.206524062156677
carbon1,40,15,1.7946504751841228
carbon1,41,15,1.8336345613002778
carbon1,42,15,1.93167777856191
carbon1,43,15,1.8939468701680502
carbon1,44,15,1.9960238456726074
carbon1,45,15,1.7660244782765706
carbon1,46,15,1.936355988184611
carbon1,47,15,2.086678655942281
carbon1,48,15,1.9648475488026937
carbon1,49,15,1.9391897439956665
carbon1,50,15,2.104768228530884
carbon1,51,15,1.9315802017847696
carbon1,52,15,2.0673386176427204
carbon1,53,15,1.8236394961675009
carbon1,54,15,2.041467062632243
carbon1,55,15,2.057759666442871
carbon1,56,15,2.0683374802271524
carbon1,57,15,2.020387641588847
carbon1,58,15,1.9646042505900065
carbon1,59,15,2.038056723276774
carbon1,60,15,1.8390403032302856
carbon1,61,15,1.9546709775924682
carbon1,62,15,1.9559884230295816
carbon1,63,15,2.003911034266154
carbon1,64,15,1.731495475769043
carbon1,65,15,1.8764256477355956
carbon1,66,15,1.7833347082138062
carbon1,67,15,1.8602724075317383
carbon1,68,15,1.890849240620931
carbon1,69,15,1.9543432156244913
carbon1,70,15,1.9192034165064493
carbon1,71,15,2.018051775296529
carbon1,72,15,1.9873729864756267
carbon1,73,15,2.311070378621419
carbon1,74,15,1.9945165554682414
carbon1,75,15,1.806942598025004
carbon1,76,15,1.8459376653035482
carbon1,77,15,1.9116774241129557
carbon1,78,15,2.0043800671895347
carbon1,79,15,2.010450752576192
carbon1,80,15,2.07329048315684
carbon1,81,15,1.8689463138580322
carbon1,82,15,1.9576014677683513
carbon1,83,15,2.0575374444325765
carbon1,84,15,1.993424081802368
carbon1,85,15,2.018531552950541
carbon1,86,15,1.8368170499801635
carbon1,87,15,1.7886404434839884
carbon1,88,15,1.885194516181946
carbon1,89,15,2.01254936059316
carbon1,90,15,2.1419920921325684
carbon1,91,15,1.91994366645813
carbon1,92,15,2.0884433031082152
carbon1,93,15,1.9253146489461264
carbon1,94,15,1.999391770362854
carbon1,95,15,1.9213582118352255
carbon1,96,15,1.6526667118072509
carbon1,97,15,2.0719754298528037
carbon1,98,15,1.9967946370442708
carbon1,99,15,1.9899776140848795
carbon1,100,15,1.914095671971639
carbon1,101,15,1.7993335167566935
carbon1,102,15,1.7776825428009033
carbon1,103,15,2.0044817686080934
carbon1,104,15,2.1046254873275756
carbon1,105,15,1.8772922197977702
carbon1,106,15,1.9682718674341837
