window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,25819926,25822998,3072,5405.597664459259,1.7596346563994985,carbon1,3072
1,3072,6144,25822998,25826070,3072,3834.964220352471,1.2483607488126534,carbon1,3072
2,6144,9216,25826070,25829142,3072,5737.324927359819,1.8676187914582745,carbon1,3072
3,9216,12288,25829142,25832214,3072,5417.386683515739,1.7634722277069461,carbon1,3072
4,12288,15360,25832214,25835286,3072,5364.959220031276,1.746405996103931,carbon1,3072
5,15360,18432,25835286,25838358,3072,4913.548148225993,1.5994622878339821,carbon1,3072
6,18432,21504,25838358,25841430,3072,4147.501280395314,1.3500980730453496,carbon1,3072
7,21504,24576,25841430,25844502,3072,4134.063259405084,1.345723717254259,carbon1,3072
8,24576,27648,25844502,25847574,3072,4216.541928696446,1.3725722424142077,carbon1,3072
9,27648,30720,25847574,25850646,3072,5269.856642667204,1.7154481258682306,carbon1,3072
10,30720,33792,25850646,25853718,3072,5011.654466349632,1.631397938264854,carbon1,3072
11,33792,36864,25853718,25856790,3072,5633.291693853214,1.8337538065928431,carbon1,3072
12,36864,39936,25856790,25859862,3072,5235.772002322599,1.7043528653393878,carbon1,3072
13,39936,43008,25859862,25862934,3072,5173.600647637621,1.6841147941528714,carbon1,3072
14,43008,46080,25862934,25866006,3072,5856.495557963848,1.9064113144413568,carbon1,3072
15,46080,49152,25866006,25869078,3072,5744.432556606829,1.8699324728537856,carbon1,3072
16,49152,52224,25869078,25872150,848,1024.741733764764,1.2084218558546744,carbon1,3072
