model,model_window_position,base_count,mean_bpb
carbon1,0,7,2.0970041070665633
carbon1,1,7,2.071091992514474
carbon1,2,7,1.9072313819612776
carbon1,3,7,1.986931664603097
carbon1,4,7,1.9031968116760254
carbon1,5,7,1.9858162914003645
carbon1,6,7,2.004304596355983
carbon1,7,7,1.9626539264406477
carbon1,8,7,2.0430879252297536
carbon1,9,7,1.8510407379695348
carbon1,10,7,1.9406019449234009
carbon1,11,7,1.9630782774516515
carbon1,12,7,1.9420380081449236
carbon1,13,7,1.6883235318320138
carbon1,14,7,2.3398657526288713
carbon1,15,7,1.970674787248884
carbon1,16,7,1.8219659158161707
carbon1,17,7,1.8434451477868217
carbon1,18,7,1.6932269505092077
carbon1,19,7,1.6186426196779524
carbon1,20,7,2.1663117238453458
carbon1,21,7,1.8856702872685023
carbon1,22,7,1.8855061360767909
carbon1,23,7,1.6036596979413713
carbon1,24,7,2.1315382719039917
carbon1,25,7,1.984644957951137
carbon1,26,7,2.0466262102127075
carbon1,27,7,2.116146973201207
carbon1,28,7,1.9828622511454992
carbon1,29,7,1.9168937035969325
carbon1,30,7,1.9317970275878906
carbon1,31,7,1.849313693387168
carbon1,32,7,2.019378457750593
carbon1,33,7,1.9658036742891585
carbon1,34,7,1.9767441068376814
carbon1,35,7,1.9591631208147322
carbon1,36,7,2.282004850251334
carbon1,37,7,2.1143782138824463
carbon1,38,7,2.006477815764291
carbon1,39,7,2.0576835530144826
carbon1,40,7,2.0448098863874162
carbon1,41,7,2.117574487413679
carbon1,42,7,1.8925382239477975
carbon1,43,7,1.7866178069795882
carbon1,44,7,2.082069448062352
carbon1,45,7,1.9066595860889979
carbon1,46,7,1.828572256224496
carbon1,47,7,2.1202196904591153
carbon1,48,7,2.1044935498918806
carbon1,49,7,1.8761359793799264
carbon1,50,7,1.9114577089037215
carbon1,51,7,1.9871620110103063
carbon1,52,7,1.8077659947531564
carbon1,53,7,1.6693793024335588
carbon1,54,7,2.1780829770224437
carbon1,55,7,2.0133510487420216
carbon1,56,7,2.0282121215547835
carbon1,57,7,2.2176645823887418
carbon1,58,7,1.9919298716953822
