model,model_window_position,base_count,mean_bpb
carbon1,0,17,1.950883009854485
carbon1,1,17,1.9839644782683428
carbon1,2,17,2.0438315938500797
carbon1,3,17,1.841910067726584
carbon1,4,17,1.8420886712915756
carbon1,5,17,1.8774663700776941
carbon1,6,17,2.1067291638430428
carbon1,7,17,1.9082000325707829
carbon1,8,17,1.8840350123012768
carbon1,9,17,1.926813139634974
carbon1,10,17,1.8910221773035385
carbon1,11,17,2.0101564982358147
carbon1,12,17,1.9101867640719694
carbon1,13,17,1.6359682530164719
carbon1,14,17,1.5764508054536932
carbon1,15,17,1.7380781997652615
carbon1,16,17,1.6856818865327274
carbon1,17,17,1.7307611756465013
carbon1,18,17,1.9487891267327702
carbon1,19,17,1.7790421606863247
carbon1,20,17,1.5962191609775318
carbon1,21,17,1.9603004665935742
carbon1,22,17,2.021886510007522
carbon1,23,17,2.00836186373935
carbon1,24,17,1.7982756846091326
carbon1,25,17,1.6702117446590872
carbon1,26,17,1.6183800662265104
carbon1,27,17,1.91251738281811
carbon1,28,17,2.049578302046832
carbon1,29,17,2.058318727156695
carbon1,30,17,1.7218498377239002
carbon1,31,17,2.0914317492176506
carbon1,32,17,1.6399888431324678
carbon1,33,17,1.788648082929499
carbon1,34,17,1.853053191128899
carbon1,35,17,1.8201424900223226
carbon1,36,17,2.00991333582822
carbon1,37,17,1.9040678441524506
carbon1,38,17,1.6727500487776363
carbon1,39,17,1.6036539577385958
carbon1,40,17,1.794017823303447
carbon1,41,17,1.9330592812860714
carbon1,42,17,1.8486566951169687
carbon1,43,17,1.9312575117630117
carbon1,44,17,1.706511513713528
carbon1,45,17,1.6787099456962418
carbon1,46,17,1.5462968042668175
carbon1,47,17,1.5629732451018166
carbon1,48,17,2.0738518327912865
carbon1,49,17,1.6369438618421555
carbon1,50,17,1.436831900740371
carbon1,51,17,1.4841977388543242
carbon1,52,17,1.5560495757004793
carbon1,53,17,1.5816103114801294
carbon1,54,17,1.189098956392092
carbon1,55,17,1.4400705329197294
carbon1,56,17,1.5658506623962347
carbon1,57,17,1.532479600433041
carbon1,58,17,1.4696368312134462
carbon1,59,17,1.4072065752218752
carbon1,60,17,2.0251169062274346
carbon1,61,17,2.0401854876647976
carbon1,62,17,1.4961652288980343
carbon1,63,17,1.4061715026550434
carbon1,64,17,2.131256376119221
carbon1,65,17,1.3904985597028452
carbon1,66,17,1.6168380309553707
carbon1,67,17,1.4263568240053512
carbon1,68,17,1.9209306849276317
carbon1,69,17,1.936311794554486
carbon1,70,17,1.855422854423523
carbon1,71,17,1.8345705165582544
carbon1,72,17,1.7474516290513908
carbon1,73,17,1.7362444668131716
carbon1,74,17,1.6727816126144983
carbon1,75,17,1.602005108314402
carbon1,76,17,1.8045029736617033
carbon1,77,17,1.8218669816851616
carbon1,78,17,1.491085773881744
carbon1,79,17,1.5899920703514534
carbon1,80,17,1.8913132046513699
carbon1,81,17,1.771193368908237
carbon1,82,17,1.6608908719876234
carbon1,83,17,1.7857637361568564
carbon1,84,17,1.7725180619779755
carbon1,85,17,1.578226154341417
carbon1,86,17,1.3438935967929222
carbon1,87,17,1.5363239562686752
carbon1,88,17,1.565978917567169
carbon1,89,17,1.5428145992405273
carbon1,90,17,1.3435281129444347
carbon1,91,17,2.050832680919591
carbon1,92,17,1.5338841818053932
carbon1,93,17,1.7055856138467789
carbon1,94,17,1.7852427582530415
carbon1,95,17,1.7834797475267858
carbon1,96,17,1.477416864651091
carbon1,97,17,1.3512958594981361
carbon1,98,17,1.6436016324031002
