window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,58881582,58884654,3072,5298.96085148491,1.7249221521760774,carbon1,3072
1,3072,6144,58884654,58887726,3072,4500.384589966387,1.4649689420463499,carbon1,3072
2,6144,9216,58887726,58890798,3072,4200.897120201029,1.367479531315439,carbon1,3072
3,9216,12288,58890798,58893870,3072,4448.280499835499,1.448007975206868,carbon1,3072
4,12288,15360,58893870,58896942,3072,4611.535731107928,1.5011509541366952,carbon1,3072
5,15360,18432,58896942,58900014,3072,5226.553888395429,1.7013521772120537,carbon1,3072
6,18432,21504,58900014,58903086,3072,4261.128073769854,1.3870859615136244,carbon1,3072
7,21504,24576,58903086,58906158,3072,4677.677826581523,1.5226815841736727,carbon1,3072
8,24576,27648,58906158,58909230,3072,5262.54638624005,1.713068485104183,carbon1,3072
9,27648,30720,58909230,58912302,3072,4224.033981736749,1.3750110617632647,carbon1,3072
10,30720,33792,58912302,58915374,3072,4520.28087144345,1.4714455961729982,carbon1,3072
11,33792,36864,58915374,58918446,3072,4449.15280274488,1.4482919279768491,carbon1,3072
12,36864,39936,58918446,58921518,3072,4388.866411802359,1.4286674517585805,carbon1,3072
13,39936,43008,58921518,58924590,3072,4476.035703966394,1.4570428723848938,carbon1,3072
14,43008,46080,58924590,58927662,3072,4045.210243379697,1.3168002094334952,carbon1,3072
15,46080,49152,58927662,58930734,3072,4189.432330409065,1.3637475033883675,carbon1,3072
16,49152,52224,58930734,58933806,848,808.7056491188705,0.9536623220741397,carbon1,3072
