model,model_window_position,base_count,mean_bpb
carbon1,0,17,2.0267534676720116
carbon1,1,17,2.0504489015130436
carbon1,2,17,1.9403220905977137
carbon1,3,17,2.0118728595621445
carbon1,4,17,1.9725556373596191
carbon1,5,17,1.9777568298227646
carbon1,6,17,1.8679077765520882
carbon1,7,17,1.9564071332707125
carbon1,8,17,1.9426294985939474
carbon1,9,17,1.8460814602234785
carbon1,10,17,1.9600997181499706
carbon1,11,17,1.941075878984788
carbon1,12,17,2.0177680744844326
carbon1,13,17,1.852826763601864
carbon1,14,17,2.0033514850279865
carbon1,15,17,1.842259407043457
carbon1,16,17,2.066693158710704
carbon1,17,17,1.9994287911583395
carbon1,18,17,2.0250815082998836
carbon1,19,17,1.8579413645407732
carbon1,20,17,1.8033087779493893
carbon1,21,17,1.6755147260778092
carbon1,22,17,1.8948968158048742
carbon1,23,17,1.7879823200842913
carbon1,24,17,1.8659304099924423
carbon1,25,17,1.6513745083528406
carbon1,26,17,1.9987452941782333
carbon1,27,17,2.211868044208078
carbon1,28,17,1.9609709907980526
carbon1,29,17,2.1860081728766945
carbon1,30,17,1.6612519656910616
carbon1,31,17,1.8301042879329008
carbon1,32,17,2.037317584542667
carbon1,33,17,1.933279952582191
carbon1,34,17,1.8210231135873234
carbon1,35,17,2.084739565849304
carbon1,36,17,1.984537173719967
carbon1,37,17,1.818898649776683
carbon1,38,17,2.008126167690053
carbon1,39,17,1.9915625488056856
carbon1,40,17,1.9053170891369091
carbon1,41,17,2.098987810751971
carbon1,42,17,1.8828655551461613
carbon1,43,17,1.9197644556269926
carbon1,44,17,1.9332511986003202
carbon1,45,17,1.992926744853749
carbon1,46,17,2.213294730466955
carbon1,47,17,1.9725975779926075
carbon1,48,17,1.82522653130924
carbon1,49,17,2.142678884898915
carbon1,50,17,1.9080889470436995
carbon1,51,17,1.8648347644244923
carbon1,52,17,1.9109791096519022
carbon1,53,17,1.8366885956595926
carbon1,54,17,1.969203135546516
carbon1,55,17,2.0241935112897087
carbon1,56,17,1.965369140400606
carbon1,57,17,2.0374544788809383
carbon1,58,17,1.8081077477511238
carbon1,59,17,1.8747597792569328
carbon1,60,17,2.049671842771418
carbon1,61,17,1.8234495205037735
carbon1,62,17,2.1704706654829136
carbon1,63,17,1.8657183506909538
carbon1,64,17,1.8796665037379545
carbon1,65,17,1.7779330295674942
carbon1,66,17,1.7682928618262796
carbon1,67,17,1.930017565979677
carbon1,68,17,1.8653807780321907
carbon1,69,17,1.897657920332516
carbon1,70,17,1.8044941285077263
carbon1,71,17,2.0787822919733383
carbon1,72,17,1.811154982622932
carbon1,73,17,2.095176389988731
carbon1,74,17,1.8180506825447083
carbon1,75,17,1.997972491909476
carbon1,76,17,1.8962152004241943
carbon1,77,17,1.8001273099113912
carbon1,78,17,1.916024130933425
carbon1,79,17,2.0050254218718586
carbon1,80,17,1.870844700757195
carbon1,81,17,2.0847745011834538
carbon1,82,17,1.778721809387207
carbon1,83,17,1.9461918788797714
carbon1,84,17,1.9401816971161787
carbon1,85,17,2.0277953147888184
carbon1,86,17,1.942912964259877
carbon1,87,17,1.975792225669412
carbon1,88,17,1.9695740447324865
carbon1,89,17,1.8686653305502499
carbon1,90,17,1.9975831333328695
carbon1,91,17,1.9568798682268929
carbon1,92,17,1.9133694031659294
carbon1,93,17,1.7696430683135986
carbon1,94,17,1.8115574822706335
carbon1,95,17,1.9206832156461828
carbon1,96,17,1.7000962145188276
carbon1,97,17,1.8290274704203886
carbon1,98,17,1.8148263622732723
carbon1,99,17,1.9533175089780022
carbon1,100,17,1.9059800400453455
carbon1,101,17,1.9754439311869003
carbon1,102,17,2.0155012397205128
carbon1,103,17,1.8223017594393562
carbon1,104,17,1.8457558575798483
carbon1,105,17,1.8001503173042745
carbon1,106,17,1.8579495303771074
carbon1,107,17,2.2042627194348503
carbon1,108,17,2.2002050946740543
carbon1,109,17,1.7962537442936617
carbon1,110,17,1.9416526626138126
carbon1,111,17,1.9722542552387012
carbon1,112,17,1.9750789544161629
carbon1,113,17,2.1444722834755394
carbon1,114,17,1.7291644688914805
carbon1,115,17,1.8285623613525839
carbon1,116,17,1.8564723940456616
carbon1,117,17,1.9591149863074808
carbon1,118,17,1.8614754887188183
carbon1,119,17,1.9856951236724854
carbon1,120,17,2.058404200217303
carbon1,121,17,1.8823405223734238
carbon1,122,17,2.048233011189629
carbon1,123,17,2.0828882806441364
carbon1,124,17,1.914158680859734
carbon1,125,17,1.9790977379854988
carbon1,126,17,2.079076227019815
carbon1,127,17,1.8725420166464413
carbon1,128,17,2.0009530361960914
carbon1,129,17,1.9581527219099157
carbon1,130,17,1.7693377698169035
carbon1,131,17,1.7881363770541023
carbon1,132,17,1.9905514927471386
carbon1,133,17,1.7070398260565365
carbon1,134,17,1.866726510664996
carbon1,135,17,1.90677212266361
carbon1,136,17,1.9218255421694588
carbon1,137,17,1.9366829184924854
carbon1,138,17,1.8047607646268957
carbon1,139,17,1.7339179095099955
carbon1,140,17,1.853526399416082
carbon1,141,17,1.8410585557713228
carbon1,142,17,1.955009236055262
carbon1,143,17,1.8048776318045223
carbon1,144,17,1.7195893666323494
carbon1,145,17,1.9691825228578903
carbon1,146,17,1.9158783625153935
carbon1,147,17,2.168114290517919
carbon1,148,17,1.9266088499742395
carbon1,149,17,1.6864606001797844
carbon1,150,17,1.8565119364682365
carbon1,151,17,1.9052596232470345
carbon1,152,17,1.8761927450404448
carbon1,153,17,1.807024079210618
carbon1,154,17,1.8085133783957537
carbon1,155,17,1.8696461425108069
carbon1,156,17,1.8295904748580034
carbon1,157,17,1.8778492212295532
carbon1,158,17,1.9011469413252438
carbon1,159,17,1.806555888232063
carbon1,160,17,1.8872939979328829
carbon1,161,17,1.8817384698811699
carbon1,162,17,2.002289856181425
carbon1,163,17,2.1905134565689983
carbon1,164,17,1.9387511155184578
carbon1,165,17,1.8739381748087265
