model,model_window_position,base_count,mean_bpb
carbon1,0,17,1.8418477563297047
carbon1,1,17,1.8782725474413704
carbon1,2,17,1.872849569601171
carbon1,3,17,1.8432874258826761
carbon1,4,17,1.8757278147865744
carbon1,5,17,2.0113289636724136
carbon1,6,17,1.8803753081490011
carbon1,7,17,1.8075081250246834
carbon1,8,17,2.0745015494963703
carbon1,9,17,1.950713971081902
carbon1,10,17,1.9737532349193798
carbon1,11,17,1.9428061246871948
carbon1,12,17,1.6782903951757095
carbon1,13,17,1.9382535639931173
carbon1,14,17,1.99254871115965
carbon1,15,17,1.9570073029574226
carbon1,16,17,1.7537993823780733
carbon1,17,17,2.170675950891831
carbon1,18,17,1.9004923315609203
carbon1,19,17,2.014531037386726
carbon1,20,17,1.8050801964367138
carbon1,21,17,1.9088330058490528
carbon1,22,17,1.9459359926335953
carbon1,23,17,1.928218596121844
carbon1,24,17,2.130966004203348
carbon1,25,17,1.9543136849122889
carbon1,26,17,2.008534361334408
carbon1,27,17,2.001935790566837
carbon1,28,17,1.993705483043895
carbon1,29,17,1.8753411208882051
carbon1,30,17,2.125700922573314
carbon1,31,17,1.9146380073883955
carbon1,32,17,1.92166628557093
carbon1,33,17,1.8720524731804342
carbon1,34,17,1.8744708860621733
carbon1,35,17,1.9117876361398136
carbon1,36,17,1.8861034337212057
carbon1,37,17,1.8410812616348267
carbon1,38,17,1.7691480903064503
carbon1,39,17,1.821686765726875
carbon1,40,17,1.8233122264637667
carbon1,41,17,2.0696734961341408
carbon1,42,17,2.0862977224237778
carbon1,43,17,1.8167508630191578
carbon1,44,17,1.9903334659688614
carbon1,45,17,1.8570597276968115
carbon1,46,17,1.9870189077713911
carbon1,47,17,1.9437112457611982
carbon1,48,17,1.843940159853767
carbon1,49,17,1.9497523272738737
carbon1,50,17,1.8366870459388285
carbon1,51,17,1.7844699971816118
carbon1,52,17,1.9012860199984383
carbon1,53,17,1.83415266345529
carbon1,54,17,1.9862676411867142
carbon1,55,17,2.0238640466157127
carbon1,56,17,1.8468449098222397
carbon1,57,17,1.7138326834229862
carbon1,58,17,1.9188214908627903
carbon1,59,17,1.8642339706420898
carbon1,60,17,1.729316325748668
carbon1,61,17,1.7585118973956388
carbon1,62,17,1.960836130030015
carbon1,63,17,1.9501931492020101
carbon1,64,17,1.9463225813472973
carbon1,65,17,1.7741765835705925
carbon1,66,17,2.138861331869574
carbon1,67,17,1.6431247526231934
carbon1,68,17,1.8423557386678808
carbon1,69,17,1.7283589015988743
carbon1,70,17,1.8308956377646501
carbon1,71,17,1.7670636597801657
carbon1,72,17,1.8256383768337614
carbon1,73,17,1.9054338940802742
carbon1,74,17,1.7722096622866743
carbon1,75,17,1.6494620280230747
carbon1,76,17,1.870717226582415
carbon1,77,17,1.8447817204629673
carbon1,78,17,1.6934493236681993
carbon1,79,17,1.887248183874523
carbon1,80,17,2.023092797573875
carbon1,81,17,1.7829816906767733
carbon1,82,17,1.5956524785827189
carbon1,83,17,1.821517903576879
carbon1,84,17,1.6985415218069273
carbon1,85,17,1.7401262523935122
carbon1,86,17,1.8753432539456032
carbon1,87,17,1.8551220578305863
carbon1,88,17,1.7916669280213469
carbon1,89,17,1.690288864514407
carbon1,90,17,1.671321256305365
carbon1,91,17,1.9702940138385576
carbon1,92,17,1.6052693198708927
carbon1,93,17,1.9643828947754467
carbon1,94,17,1.8800076978171574
carbon1,95,17,1.8308203825179268
carbon1,96,17,1.8638251705423874
carbon1,97,17,1.9423297215253115
carbon1,98,17,2.0032319207401836
carbon1,99,17,1.7738817154484636
carbon1,100,17,1.8717924873618519
carbon1,101,17,1.7545518200187122
carbon1,102,17,1.718260618255419
carbon1,103,17,1.8081553889548077
carbon1,104,17,1.7632224980522604
carbon1,105,17,1.8218513779780443
