model,model_window_position,base_count,mean_bpb
carbon1,0,17,1.9338101078482235
carbon1,1,17,2.080094575881958
carbon1,2,17,2.110387185040642
carbon1,3,17,1.9089440457961138
carbon1,4,17,1.9461994030896355
carbon1,5,17,1.9110784250147201
carbon1,6,17,1.628161584629732
carbon1,7,17,1.9045231833177454
carbon1,8,17,1.8850487680996166
carbon1,9,17,1.8744272063760197
carbon1,10,17,1.8974547456292545
carbon1,11,17,2.0521431740592506
carbon1,12,17,1.969827694051406
carbon1,13,17,2.056270858820747
carbon1,14,17,1.8569198916940128
carbon1,15,17,1.9444058151806103
carbon1,16,17,2.0584818405263565
carbon1,17,17,1.9109150381649243
carbon1,18,17,1.7482637096853817
carbon1,19,17,2.053983646280625
carbon1,20,17,1.960296911351821
carbon1,21,17,2.0281367512310253
carbon1,22,17,1.955631452448228
carbon1,23,17,1.7974084475461174
carbon1,24,17,1.7967152174781351
carbon1,25,17,2.0537841039545395
carbon1,26,17,2.122561174280503
carbon1,27,17,1.8130708371891695
carbon1,28,17,1.9604626613504745
carbon1,29,17,1.8348135948181152
carbon1,30,17,1.9118030632243437
carbon1,31,17,2.013403534889221
carbon1,32,17,2.0295369274475994
carbon1,33,17,1.8620307936387903
carbon1,34,17,1.9250382745967192
carbon1,35,17,1.8944780826568604
carbon1,36,17,1.979902842465569
carbon1,37,17,2.0278041503008675
carbon1,38,17,2.286364050472484
carbon1,39,17,1.9929642186445349
carbon1,40,17,2.0220317560083725
carbon1,41,17,2.03239039813771
carbon1,42,17,1.933835786931655
carbon1,43,17,1.9363027951296639
carbon1,44,17,1.9111126871669994
carbon1,45,17,1.9537355549195234
carbon1,46,17,2.0372914566713223
carbon1,47,17,1.8527221749810612
carbon1,48,17,2.072343342444476
carbon1,49,17,1.989910034572377
carbon1,50,17,1.7112263791701372
carbon1,51,17,1.8822988201590145
carbon1,52,17,2.0938440841787003
carbon1,53,17,1.908330103930305
carbon1,54,17,2.0549164239098046
carbon1,55,17,1.9756271698895622
carbon1,56,17,1.971000257660361
carbon1,57,17,2.013947697246776
carbon1,58,17,2.0499948683907006
carbon1,59,17,2.038141839644488
carbon1,60,17,1.8149177887860466
carbon1,61,17,1.9077490287668564
carbon1,62,17,1.8173925385755652
carbon1,63,17,2.0985666092704323
carbon1,64,17,1.9646442146862255
carbon1,65,17,1.9555898413938635
carbon1,66,17,1.7868074599434347
carbon1,67,17,1.89712954268736
carbon1,68,17,1.905003968407126
carbon1,69,17,2.0490383611005893
carbon1,70,17,1.8028752873925602
carbon1,71,17,1.8937168892692118
carbon1,72,17,2.1121648339664234
carbon1,73,17,1.923392043394201
carbon1,74,17,1.8594456981210148
carbon1,75,17,1.922809495645411
carbon1,76,17,1.9612765943302828
carbon1,77,17,2.050702326438006
carbon1,78,17,1.8126599297803991
carbon1,79,17,2.20816232176388
carbon1,80,17,2.0155087989919327
carbon1,81,17,1.9152809802223654
carbon1,82,17,1.9817299842834473
carbon1,83,17,1.9240417059730082
carbon1,84,17,1.8792973897036385
carbon1,85,17,1.885399927111233
carbon1,86,17,1.7490899352466358
carbon1,87,17,1.9625601908739876
