window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,3010090,3013162,3072,5863.681189790368,1.908750387301552,carbon1,3072
1,3072,6144,3013162,3016234,3072,5835.758708551526,1.89966103793995,carbon1,3072
2,6144,9216,3016234,3019306,3072,5887.096542209387,1.9163725723337848,carbon1,3072
3,9216,12288,3019306,3022378,3072,5747.768595665693,1.8710184230682596,carbon1,3072
4,12288,15360,3022378,3025450,3072,5626.547751279548,1.8315585127863112,carbon1,3072
5,15360,18432,3025450,3028522,3072,6005.854024231434,1.9550306068461698,carbon1,3072
6,18432,21504,3028522,3031594,3072,5824.690666392446,1.8960581596329575,carbon1,3072
7,21504,24576,3031594,3034666,3072,5843.774541504681,1.9022703585627216,carbon1,3072
8,24576,27648,3034666,3037738,3072,5921.121088892221,1.92744827112377,carbon1,3072
9,27648,30720,3037738,3040810,3072,5055.426230307668,1.645646559344944,carbon1,3072
10,30720,33792,3040810,3043882,3072,5612.143357338384,1.8268695824669219,carbon1,3072
11,33792,36864,3043882,3046954,3072,5635.430661730468,1.8344500851987202,carbon1,3072
12,36864,39936,3046954,3050026,3072,5781.5300303176045,1.8820084734106786,carbon1,3072
13,39936,43008,3050026,3053098,3072,5949.133653104305,1.936566944369891,carbon1,3072
14,43008,46080,3053098,3056170,3072,5869.945758923888,1.9107896350663698,carbon1,3072
15,46080,49152,3056170,3059242,3072,4843.55053969752,1.5766766079744532,carbon1,3072
16,49152,52224,3059242,3062314,848,1668.8597514033318,1.9679949898624196,carbon1,3072
