model,model_window_position,base_count,mean_bpb
carbon1,0,17,2.1687224752762737
carbon1,1,17,2.179440884029164
carbon1,2,17,2.007522891549503
carbon1,3,17,2.0150433217777923
carbon1,4,17,2.1166640940834496
carbon1,5,17,1.977406333474552
carbon1,6,17,1.8885156547321993
carbon1,7,17,1.945814097628874
carbon1,8,17,1.9658559140037088
carbon1,9,17,2.0448713022119858
carbon1,10,17,1.9545873684041641
carbon1,11,17,2.075819772832534
carbon1,12,17,1.9888197797186233
carbon1,13,17,2.140825355754179
carbon1,14,17,2.044255147962009
carbon1,15,17,2.261879626442404
carbon1,16,17,2.1740482765085556
carbon1,17,17,2.2335820899290195
carbon1,18,17,1.9625784930060892
carbon1,19,17,1.9642449196647196
carbon1,20,17,1.9933534439872294
carbon1,21,17,1.944159044938929
carbon1,22,17,1.9219742873135734
carbon1,23,17,1.9805831348194796
carbon1,24,17,2.054618568981395
carbon1,25,17,2.0053682677886067
carbon1,26,17,1.8131189416436588
carbon1,27,17,1.82193124294281
carbon1,28,17,1.8188596823636223
carbon1,29,17,1.9061571780373068
carbon1,30,17,2.0455625968820907
carbon1,31,17,1.7658744068706738
carbon1,32,17,1.8859658381518196
carbon1,33,17,1.8829113735872156
carbon1,34,17,2.0573715532527252
carbon1,35,17,1.917817515485427
carbon1,36,17,1.6755209740470438
carbon1,37,17,2.0525718717014088
carbon1,38,17,1.917561783510096
carbon1,39,17,1.940078938708586
carbon1,40,17,1.9178683126673979
carbon1,41,17,1.7375350349089678
carbon1,42,17,1.9150452158030342
carbon1,43,17,1.8394691032521866
carbon1,44,17,1.8061868267900802
carbon1,45,17,1.7745253128163956
carbon1,46,17,1.862165598308339
carbon1,47,17,1.865746186060064
carbon1,48,17,1.773100824917064
carbon1,49,17,2.101503147798426
carbon1,50,17,1.7965752587598913
carbon1,51,17,1.8419473381603466
carbon1,52,17,2.0735487306819245
carbon1,53,17,1.9347816845949959
carbon1,54,17,1.6785868230987997
carbon1,55,17,1.852451576906092
carbon1,56,17,1.7714287884095137
carbon1,57,17,2.093597243813907
carbon1,58,17,2.0173996196073642
carbon1,59,17,1.7938342865775614
carbon1,60,17,1.911374989677878
carbon1,61,17,1.8670002642799826
carbon1,62,17,2.0214211239534268
carbon1,63,17,1.9985657790127922
carbon1,64,17,1.904046472381143
carbon1,65,17,1.9637509935042436
carbon1,66,17,1.907990879872266
carbon1,67,17,1.964527831358068
carbon1,68,17,1.8943814389845903
carbon1,69,17,1.7769215597825891
carbon1,70,17,2.116781101507299
carbon1,71,17,1.7947522121317245
carbon1,72,17,1.979612343451556
carbon1,73,17,1.7577352243311264
carbon1,74,17,1.856732361456927
carbon1,75,17,1.974350978346432
carbon1,76,17,1.9848923472797169
carbon1,77,17,1.7549802275264965
carbon1,78,17,1.8672035581925337
carbon1,79,17,1.6198151953080122
carbon1,80,17,1.9965432601816513
carbon1,81,17,1.705011248588562
carbon1,82,17,1.9136948234894697
carbon1,83,17,2.158648841521319
carbon1,84,17,1.9032824740690344
carbon1,85,17,1.8158918233478771
carbon1,86,17,1.8688380928600536
carbon1,87,17,1.8065009187249577
carbon1,88,17,1.788457288461573
carbon1,89,17,2.046747789663427
carbon1,90,17,1.8031678480260513
carbon1,91,17,1.8392015905941235
carbon1,92,17,1.8992544903474695
carbon1,93,17,1.925855377141167
carbon1,94,17,1.9803534746170044
carbon1,95,17,1.7332393702338724
carbon1,96,17,1.9125434616032768
carbon1,97,17,1.9422001417945414
carbon1,98,17,1.9842040608910954
carbon1,99,17,1.7315078623154585
carbon1,100,17,1.6938534203697653
carbon1,101,17,1.8715572427300846
carbon1,102,17,1.7585217356681824
carbon1,103,17,2.140616122414084
carbon1,104,17,2.117944037213045
carbon1,105,17,1.978390329024371
carbon1,106,17,1.9273122969795675
carbon1,107,17,1.9893878628225887
carbon1,108,17,1.8156040661475237
carbon1,109,17,1.9202252416049732
carbon1,110,17,1.8126717350062203
carbon1,111,17,1.8245135756099926
carbon1,112,17,1.9043377287247603
carbon1,113,17,1.8363277000539444
carbon1,114,17,2.0969141090617462
carbon1,115,17,1.871322190060335
carbon1,116,17,1.7087581929038553
carbon1,117,17,1.9941082701963537
carbon1,118,17,1.8341440102633308
carbon1,119,17,1.8416090642704683
carbon1,120,17,1.8891909928882824
carbon1,121,17,1.8875892863554113
carbon1,122,17,2.108698753749623
carbon1,123,17,1.8101690937491024
carbon1,124,17,1.9486124866149004
carbon1,125,17,1.7513568611706005
carbon1,126,17,1.92289820839377
carbon1,127,17,1.8808655949199902
carbon1,128,17,1.969435214996338
carbon1,129,17,1.7788012448479147
carbon1,130,17,2.030609775992001
carbon1,131,17,1.7694398445241593
carbon1,132,17,1.9050638780874365
carbon1,133,17,1.797892086646136
carbon1,134,17,1.9167962144402897
carbon1,135,17,1.8498296527301563
carbon1,136,17,1.992257412742166
carbon1,137,17,1.934939896359163
carbon1,138,17,1.8570003667298485
carbon1,139,17,1.8934797399184282
carbon1,140,17,1.9736308350282556
carbon1,141,17,1.7603715588064754
