window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,171874,174946,3072,5739.283275868744,1.8682562746968567,carbon1,3072
1,3072,6144,174946,178018,3072,4443.499408840144,1.4464516304818176,carbon1,3072
2,6144,9216,178018,181090,3072,4832.130393583211,1.5729591124945348,carbon1,3072
3,9216,12288,181090,184162,3072,5370.930249495432,1.7483496905909608,carbon1,3072
4,12288,15360,184162,187234,3072,4314.181225617795,1.404355867714126,carbon1,3072
5,15360,18432,187234,190306,3072,5099.503427708987,1.6599946053740193,carbon1,3072
6,18432,21504,190306,193378,3072,4612.407044757696,1.5014345848820625,carbon1,3072
7,21504,24576,193378,196450,3072,4290.070966054394,1.396507475929165,carbon1,3072
8,24576,27648,196450,199522,3072,4962.871753650834,1.6155181489748809,carbon1,3072
9,27648,30720,199522,202594,3072,5263.484297033865,1.713373794607378,carbon1,3072
10,30720,33792,202594,205666,3072,5488.607820380479,1.7866561915301038,carbon1,3072
11,33792,36864,205666,208738,3072,5278.233213718981,1.7181748742574807,carbon1,3072
12,36864,39936,208738,211810,3072,5093.784591634991,1.658133005089515,carbon1,3072
13,39936,43008,211810,214882,3072,5482.736924408935,1.7847450925810335,carbon1,3072
14,43008,46080,214882,217954,3072,5696.560602039099,1.8543491543096025,carbon1,3072
15,46080,49152,217954,221026,3072,5865.361961089075,1.9092975133753498,carbon1,3072
16,49152,52224,221026,224098,848,1566.393127143383,1.8471617065370083,carbon1,3072
