model,model_window_position,base_count,mean_bpb
carbon1,0,17,2.00968056566575
carbon1,1,17,1.9095263270770801
carbon1,2,17,1.8799300824894625
carbon1,3,17,1.9808376536649817
carbon1,4,17,1.8756717723958634
carbon1,5,17,1.8771557948168587
carbon1,6,17,1.9198726065018599
carbon1,7,17,1.949872746187098
carbon1,8,17,1.9801849126815796
carbon1,9,17,2.102557322558235
carbon1,10,17,1.9550398377811207
carbon1,11,17,1.9501949688967537
carbon1,12,17,2.1212258409051334
carbon1,13,17,1.9905576004701502
carbon1,14,17,1.8876402378082275
carbon1,15,17,1.9761511718525606
carbon1,16,17,1.7637625091216143
carbon1,17,17,1.8973241343217737
carbon1,18,17,1.8553523526472204
carbon1,19,17,1.9712592468542212
carbon1,20,17,2.0524364990346573
carbon1,21,17,1.9300968226264505
carbon1,22,17,1.951013256521786
carbon1,23,17,2.020671416731442
carbon1,24,17,1.959654822069056
carbon1,25,17,1.9710211753845215
carbon1,26,17,2.051262413754183
carbon1,27,17,1.8921302556991577
carbon1,28,17,1.953025923055761
carbon1,29,17,2.031935782993541
carbon1,30,17,1.7507922333829544
carbon1,31,17,2.002884845523273
carbon1,32,17,1.945258519228767
carbon1,33,17,1.8383000528111177
carbon1,34,17,2.0227035248980805
carbon1,35,17,1.849117917173049
carbon1,36,17,2.017923214856316
carbon1,37,17,1.9901739131001865
carbon1,38,17,1.8789279855349486
carbon1,39,17,1.7655783403007423
carbon1,40,17,1.750203892150346
carbon1,41,17,1.8075103562544375
carbon1,42,17,1.7910175656571108
carbon1,43,17,1.883135322262259
carbon1,44,17,1.883600617375444
carbon1,45,17,1.8998856877579409
carbon1,46,17,1.9171801051672768
carbon1,47,17,2.0437181416679833
carbon1,48,17,1.9046794000793905
carbon1,49,17,1.8854493972133188
carbon1,50,17,1.86680589353337
carbon1,51,17,1.7903667074792526
carbon1,52,17,1.9209095274700838
carbon1,53,17,1.7215027668896843
carbon1,54,17,1.7396512206862955
carbon1,55,17,1.776770276181838
carbon1,56,17,1.9897232546525843
carbon1,57,17,1.8110314327127792
carbon1,58,17,1.977152473786298
carbon1,59,17,1.9214996099472046
carbon1,60,17,1.8133667567197014
carbon1,61,17,1.9297449238160078
carbon1,62,17,1.956722666235531
carbon1,63,17,2.052271373131696
carbon1,64,17,1.9422239275539623
carbon1,65,17,1.7714510174358593
carbon1,66,17,1.905191470594967
carbon1,67,17,1.9324483450721293
carbon1,68,17,1.9133340751423555
carbon1,69,17,1.954051087884342
carbon1,70,17,1.9769017065272612
carbon1,71,17,1.9128170013427734
carbon1,72,17,1.8054978637134327
carbon1,73,17,1.9238336577134973
carbon1,74,17,1.958053792224211
carbon1,75,17,1.8687368280747358
carbon1,76,17,1.9218316078186035
carbon1,77,17,1.9731752521851484
carbon1,78,17,1.9075403914732092
carbon1,79,17,2.0999529081232406
carbon1,80,17,1.899923233424916
carbon1,81,17,1.9749413167729097
carbon1,82,17,1.837294017567354
carbon1,83,17,1.7855420533348532
