window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,360757,363829,3072,4839.927325232886,1.57549717618258,carbon1,3072
1,3072,6144,363829,366901,3072,4612.763404624857,1.5015505874429873,carbon1,3072
2,6144,9216,366901,369973,3072,5450.688882105926,1.774312787143856,carbon1,3072
3,9216,12288,369973,373045,3072,5408.695391965099,1.760643031238639,carbon1,3072
4,12288,15360,373045,376117,3072,5193.554858715157,1.6906103055713402,carbon1,3072
5,15360,18432,376117,379189,3072,5133.376529863337,1.6710210058148884,carbon1,3072
6,18432,21504,379189,382261,3072,5292.442438479513,1.7228002729425498,carbon1,3072
7,21504,24576,382261,385333,3072,5556.902435800526,1.8088875116538172,carbon1,3072
8,24576,27648,385333,388405,3072,5763.433568648994,1.8761176981279277,carbon1,3072
9,27648,30720,388405,391477,3072,4901.538874006132,1.5955530188822042,carbon1,3072
10,30720,33792,391477,394549,3072,5251.316717673908,1.7094129940344753,carbon1,3072
11,33792,36864,394549,397621,3072,5321.190398544073,1.7321583328593988,carbon1,3072
12,36864,39936,397621,400693,3072,5185.0711054313,1.6878486671325845,carbon1,3072
13,39936,43008,400693,403765,3072,4825.573927694291,1.5708248462546521,carbon1,3072
14,43008,46080,403765,406837,3072,5311.985920098494,1.7291620833653951,carbon1,3072
15,46080,49152,406837,409909,3072,5108.268130103359,1.6628476986013538,carbon1,3072
16,49152,52224,409909,412981,848,1461.7680461071432,1.7237830732395556,carbon1,3072
