window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,144627355,144630427,3072,2221.983951373026,0.7233020675042402,carbon1,3072
1,3072,6144,144630427,144633499,3072,3203.631573417224,1.0428488194717527,carbon1,3072
2,6144,9216,144633499,144636571,3072,4798.423131348565,1.5619866964025277,carbon1,3072
3,9216,12288,144636571,144639643,3072,4190.77211134485,1.3641836299950683,carbon1,3072
4,12288,15360,144639643,144642715,3072,5748.954035997391,1.8714043085929006,carbon1,3072
5,15360,18432,144642715,144645787,3072,5681.98760394752,1.8496053398266668,carbon1,3072
6,18432,21504,144645787,144648859,3072,4207.517897456884,1.3696347322450795,carbon1,3072
7,21504,24576,144648859,144651931,3072,4731.5098352935165,1.5402050245096082,carbon1,3072
8,24576,27648,144651931,144655003,3072,3783.0931645873934,1.2314756395141255,carbon1,3072
9,27648,30720,144655003,144658075,3072,5637.574642241001,1.8351479955211591,carbon1,3072
10,30720,33792,144658075,144661147,3072,4801.622747898102,1.56302823824808,carbon1,3072
11,33792,36864,144661147,144664219,3072,4932.57805059501,1.6056569175113964,carbon1,3072
12,36864,39936,144664219,144667291,3072,5214.568254271522,1.6974506036040111,carbon1,3072
13,39936,43008,144667291,144670363,3072,4092.461005957797,1.3321813170435537,carbon1,3072
14,43008,46080,144670363,144673435,3072,5305.623753495514,1.7270910655909877,carbon1,3072
15,46080,49152,144673435,144676507,3072,3576.05208894331,1.1640794560362338,carbon1,3072
16,49152,52224,144676507,144679579,848,729.8978691399097,0.8607286192687615,carbon1,3072
