window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,16059021,16062093,3072,5868.525192767382,1.9103272111872986,carbon1,3072
1,3072,6144,16062093,16065165,3072,5774.993736222386,1.8798807735098915,carbon1,3072
2,6144,9216,16065165,16068237,3072,5864.169454738498,1.9089093277143547,carbon1,3072
3,9216,12288,16068237,16071309,3072,5618.962531886995,1.8290893658486311,carbon1,3072
4,12288,15360,16071309,16074381,3072,5546.482247054577,1.8054955231297452,carbon1,3072
5,15360,18432,16074381,16077453,3072,5757.367034748197,1.8741429149570952,carbon1,3072
6,18432,21504,16077453,16080525,3072,5792.399056643248,1.885546567917724,carbon1,3072
7,21504,24576,16080525,16083597,3072,5339.687696220353,1.7381795886133962,carbon1,3072
8,24576,27648,16083597,16086669,3072,4916.7552925982745,1.6005062801426675,carbon1,3072
9,27648,30720,16086669,16089741,3072,5424.146969546098,1.7656728416491205,carbon1,3072
10,30720,33792,16089741,16092813,3072,5742.393606483936,1.8692687521106564,carbon1,3072
11,33792,36864,16092813,16095885,3072,5378.011041084304,1.7506546357696304,carbon1,3072
12,36864,39936,16095885,16098957,3072,5996.920576706529,1.9521225835633231,carbon1,3072
13,39936,43008,16098957,16102029,3072,5838.53268174082,1.9005640240041732,carbon1,3072
14,43008,46080,16102029,16105101,3072,5889.683495312929,1.917214679463844,carbon1,3072
15,46080,49152,16105101,16108173,3072,4620.711970678065,1.5041380112884326,carbon1,3072
16,49152,52224,16108173,16111245,848,1606.4072805345058,1.8943482081774834,carbon1,3072
