window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,6892120,6895192,3072,5649.674334466457,1.8390866974174667,carbon1,3072
1,3072,6144,6895192,6898264,3072,5429.480546742678,1.7674090321427987,carbon1,3072
2,6144,9216,6898264,6901336,3072,5587.210716947913,1.8187534885898156,carbon1,3072
3,9216,12288,6901336,6904408,3072,5537.643323441967,1.8026182693495987,carbon1,3072
4,12288,15360,6904408,6907480,3072,5656.652553014457,1.8413582529343937,carbon1,3072
5,15360,18432,6907480,6910552,3072,5631.852540887892,1.8332853323202773,carbon1,3072
6,18432,21504,6910552,6913624,3072,5581.401854522526,1.8168625828523848,carbon1,3072
7,21504,24576,6913624,6916696,3072,5596.4646239783615,1.8217658281179563,carbon1,3072
8,24576,27648,6916696,6919768,3072,5496.982351159677,1.789382275768124,carbon1,3072
9,27648,30720,6919768,6922840,3072,5108.754299561027,1.6630059568883553,carbon1,3072
10,30720,33792,6922840,6925912,3072,5642.322009265423,1.8366933623910882,carbon1,3072
11,33792,36864,6925912,6928984,3072,5530.789959225804,1.8003873565188162,carbon1,3072
12,36864,39936,6928984,6932056,3072,5414.256992905866,1.762453448211545,carbon1,3072
13,39936,43008,6932056,6935128,3072,5566.69063270092,1.812073773665664,carbon1,3072
14,43008,46080,6935128,6938200,3072,5677.229258790612,1.8480563993459025,carbon1,3072
15,46080,49152,6938200,6941272,3072,5677.699429040775,1.8482094495575438,carbon1,3072
16,49152,52224,6941272,6944344,848,1586.190653204918,1.8705078457605164,carbon1,3072
