model,model_window_position,base_count,mean_bpb
carbon1,0,17,1.9117772579193115
carbon1,1,17,1.8426181779188269
carbon1,2,17,1.8078561179778154
carbon1,3,17,1.9759780238656437
carbon1,4,17,1.7726254743688248
carbon1,5,17,1.877816866425907
carbon1,6,17,1.7577764567206888
carbon1,7,17,1.894945600453545
carbon1,8,17,2.0190361247343174
carbon1,9,17,1.8298841083751005
carbon1,10,17,1.9877114366082584
carbon1,11,17,1.9097309252795052
carbon1,12,17,1.7001800957848043
carbon1,13,17,1.817458573509665
carbon1,14,17,1.8181001018075382
carbon1,15,17,1.8736554734847124
carbon1,16,17,1.8987598349066341
carbon1,17,17,2.0084887602749992
carbon1,18,17,1.6950774297994726
carbon1,19,17,1.9148852895287907
carbon1,20,17,1.8734948635101318
carbon1,21,17,1.8475684278151567
carbon1,22,17,1.7886741091223324
carbon1,23,17,1.9179866243811214
carbon1,24,17,1.8528378255227034
carbon1,25,17,2.0306308409746956
carbon1,26,17,1.5630923369351555
carbon1,27,17,1.9258096077862907
carbon1,28,17,1.896644816679113
carbon1,29,17,1.8206774557338041
carbon1,30,17,1.7427729017594282
carbon1,31,17,1.8659227630671333
carbon1,32,17,1.854365446988274
carbon1,33,17,1.6391636238378637
carbon1,34,17,1.7880457464386434
carbon1,35,17,1.802292641471414
carbon1,36,17,1.728335052728653
carbon1,37,17,1.9127561905804802
carbon1,38,17,1.7403767179040348
carbon1,39,17,2.008827525026658
carbon1,40,17,1.8836747933836544
carbon1,41,17,1.8052998079973108
carbon1,42,17,1.789976637591334
carbon1,43,17,1.805147409439087
carbon1,44,17,1.8555611494709463
carbon1,45,17,1.6031090424341314
carbon1,46,17,1.7930578431662392
carbon1,47,17,1.667423311401816
carbon1,48,17,1.6743887575233685
carbon1,49,17,1.8375820596428478
carbon1,50,17,1.8913896189016455
carbon1,51,17,1.5351907036760275
carbon1,52,17,1.8566743319525438
carbon1,53,17,1.7900716960430145
carbon1,54,17,1.7362889575169367
carbon1,55,17,1.6362546156434452
carbon1,56,17,1.5843854897162493
carbon1,57,17,1.590252681690104
carbon1,58,17,1.7983248619472278
carbon1,59,17,1.930868403876529
carbon1,60,17,1.5936519117916332
carbon1,61,17,1.7303424530169542
carbon1,62,17,1.7033869501422434
carbon1,63,17,2.1158187735606644
carbon1,64,17,1.8812654079759823
carbon1,65,17,1.8313529070685892
carbon1,66,17,1.8148399994653814
carbon1,67,17,1.6783496592851246
carbon1,68,17,1.9832652193658493
carbon1,69,17,1.8406467345707558
carbon1,70,17,1.7646209347774
carbon1,71,17,1.662689398316776
carbon1,72,17,1.875768933116513
carbon1,73,17,1.75596623210346
carbon1,74,17,1.8109361143673168
carbon1,75,17,1.9772742776309742
carbon1,76,17,1.5270079654805802
carbon1,77,17,1.8709301457685583
carbon1,78,17,1.8225105948307936
carbon1,79,17,1.462569525136667
carbon1,80,17,1.8056979661478716
carbon1,81,17,1.6374329977175768
carbon1,82,17,1.6559517927029554
carbon1,83,17,1.9367783507880043
carbon1,84,17,1.8048978844547974
carbon1,85,17,1.679501910420025
carbon1,86,17,1.5519035221899258
carbon1,87,17,1.9755790198550505
carbon1,88,17,1.923227169934441
carbon1,89,17,1.8493473284384783
carbon1,90,17,1.8984712774262709
carbon1,91,17,1.8467263368999256
carbon1,92,17,1.6854465630124598
carbon1,93,17,1.6852176855592167
carbon1,94,17,1.6520480688880472
carbon1,95,17,1.5908038966795977
carbon1,96,17,1.8488294359515696
carbon1,97,17,1.9602785951950972
carbon1,98,17,2.228826578925638
carbon1,99,17,1.8674167885499842
carbon1,100,17,1.7732508252648747
carbon1,101,17,1.539481923860662
carbon1,102,17,2.2170496653108036
carbon1,103,17,1.6652904328177958
carbon1,104,17,2.050432448878008
carbon1,105,17,2.0019666938220753
carbon1,106,17,1.6851587225409115
carbon1,107,17,1.8535755416926216
carbon1,108,17,1.70969109281021
carbon1,109,17,1.5909156834377962
carbon1,110,17,2.0839813597062053
carbon1,111,17,1.6234197572750204
carbon1,112,17,1.985931158065796
carbon1,113,17,1.9677547076169182
carbon1,114,17,1.8244280464508955
carbon1,115,17,1.6670389350722818
carbon1,116,17,2.0115898847579956
carbon1,117,17,1.9336977916605331
carbon1,118,17,1.7848138195626877
carbon1,119,17,1.8135294844122494
carbon1,120,17,1.7397835955900305
carbon1,121,17,1.6215770700398613
carbon1,122,17,1.8227711214738733
carbon1,123,17,1.6204365001005285
carbon1,124,17,1.9360462497262394
carbon1,125,17,1.6229467321844662
carbon1,126,17,1.6362910060321583
carbon1,127,17,1.6889668352463667
carbon1,128,17,1.987100082285264
carbon1,129,17,1.7321486893822164
carbon1,130,17,1.84616036976085
carbon1,131,17,1.972520344397601
carbon1,132,17,2.023835764211767
carbon1,133,17,1.9506409378612743
carbon1,134,17,1.8568281005410587
carbon1,135,17,2.03248887202319
carbon1,136,17,2.2022781442193424
carbon1,137,17,1.9217717016444487
carbon1,138,17,1.905279783641591
carbon1,139,17,1.978350646355573
carbon1,140,17,1.8771501288694494
carbon1,141,17,1.6952712185242598
carbon1,142,17,1.6702226750990923
carbon1,143,17,1.8497786241419174
carbon1,144,17,1.7139793844784008
carbon1,145,17,2.1825239237617042
carbon1,146,17,2.0204599815256454
carbon1,147,17,1.700649016043719
carbon1,148,17,1.793375099406523
carbon1,149,17,1.759532044915592
carbon1,150,17,1.6416818219072677
carbon1,151,17,1.7021743129281437
carbon1,152,17,1.985210755292107
carbon1,153,17,2.1885415946736053
carbon1,154,17,1.9564789533615112
carbon1,155,17,2.1560022480347576
carbon1,156,17,1.7228325920946457
carbon1,157,17,2.0926662473117603
carbon1,158,17,1.738980770111084
carbon1,159,17,1.8790765650132124
carbon1,160,17,2.1223405599594116
carbon1,161,17,1.9507710232454187
carbon1,162,17,1.925191441003014
carbon1,163,17,1.5283515102723066
carbon1,164,17,1.954206207219292
carbon1,165,17,1.7204636615865372
carbon1,166,17,1.9472664875142716
carbon1,167,17,1.973866715150721
carbon1,168,17,1.6205929524320013
carbon1,169,17,1.8537166819852942
carbon1,170,17,1.758658069459831
carbon1,171,17,1.915010624729535
carbon1,172,17,1.7473591215470259
carbon1,173,17,1.9464755224830963
carbon1,174,17,2.1422347036354683
carbon1,175,17,1.6988107667249792
carbon1,176,17,2.0117232308668247
carbon1,177,17,1.8148779264267754
carbon1,178,17,1.891292186344371
carbon1,179,17,1.762242490754408
carbon1,180,17,2.063214849023258
carbon1,181,17,1.9011140360551722
carbon1,182,17,2.1290187695447136
carbon1,183,17,1.6008939707980436
carbon1,184,17,1.9078670845312231
carbon1,185,17,1.909523837706622
carbon1,186,17,1.61078162929591
carbon1,187,17,1.7925114701775944
carbon1,188,17,1.7716453145532047
carbon1,189,17,1.8409059398314531
carbon1,190,17,1.717618917717653
carbon1,191,17,1.9168085841571583
carbon1,192,17,1.7040510019835304
carbon1,193,17,1.7679166022469015
carbon1,194,17,1.8418510398444008
carbon1,195,17,1.7969124089269077
carbon1,196,17,1.6628659753238453
carbon1,197,17,1.7435011442969828
carbon1,198,17,1.9071539535241968
carbon1,199,17,1.488620424971861
carbon1,200,17,1.7983213505324196
carbon1,201,17,1.733645349740982
carbon1,202,17,1.8269460008424871
carbon1,203,17,1.7044266251956715
carbon1,204,17,1.5638672538539942
carbon1,205,17,1.5375656020991944
carbon1,206,17,1.8404041037840002
carbon1,207,17,1.856250286102295
carbon1,208,17,1.5137326016145594
carbon1,209,17,1.8864136934280396
carbon1,210,17,1.9436324379023384
carbon1,211,17,1.719688042121775
carbon1,212,17,1.8071005063898422
carbon1,213,17,1.9291408412596758
carbon1,214,17,1.743696959579692
carbon1,215,17,1.900229159523459
carbon1,216,17,1.8692792846876032
carbon1,217,17,1.8005468845367432
carbon1,218,17,1.7280367682961857
carbon1,219,17,1.7154655807158525
carbon1,220,17,1.5428263159359203
carbon1,221,17,1.7135043564964743
carbon1,222,17,1.7571744423578768
carbon1,223,17,2.2054375760695515
carbon1,224,17,1.694404916728244
carbon1,225,17,1.9764796705806957
carbon1,226,17,2.0659774752224194
carbon1,227,17,1.9594305192722994
carbon1,228,17,1.568561883533702
carbon1,229,17,1.6491386890411377
carbon1,230,17,2.0963337701909683
carbon1,231,17,2.1451612079844757
carbon1,232,17,1.8315090011147892
carbon1,233,17,1.849421921898337
carbon1,234,17,1.8762779305962956
carbon1,235,17,1.7862805689082426
carbon1,236,17,1.973531211123747
carbon1,237,17,1.7289367773953606
carbon1,238,17,2.147447060136234
carbon1,239,17,1.9746502287247603
carbon1,240,17,2.2362564311308017
carbon1,241,17,1.8089259301914888
carbon1,242,17,1.8033673973644482
carbon1,243,17,1.9601915233275469
carbon1,244,17,1.7669967553194832
carbon1,245,17,1.9444992892882402
carbon1,246,17,1.7658140238593607
carbon1,247,17,1.9101004810894238
carbon1,248,17,1.7065461172777063
carbon1,249,17,1.7785120360991533
carbon1,250,17,1.528764826409957
carbon1,251,17,1.8077244933913736
carbon1,252,17,1.498218999189489
carbon1,253,17,1.4850602360332714
carbon1,254,17,1.8487538870643168
carbon1,255,17,1.6501904375412886
carbon1,256,17,1.9231623411178589
carbon1,257,17,1.868809139027315
carbon1,258,17,1.660204992574804
carbon1,259,17,1.8270067327162798
carbon1,260,17,1.8063988931038801
carbon1,261,17,1.8509763338986565
carbon1,262,17,1.8505174763062422
carbon1,263,17,1.5834084328483133
carbon1,264,17,1.6243850729044746
carbon1,265,17,1.7053697915638195
carbon1,266,17,1.793622563867008
carbon1,267,17,2.0272268477608177
carbon1,268,17,1.830542753724491
carbon1,269,17,1.6813601956647986
carbon1,270,17,2.0895482967881596
carbon1,271,17,1.8350955738740808
carbon1,272,17,1.6313753618913538
carbon1,273,17,1.8000298177494722
carbon1,274,17,1.9764004665262558
carbon1,275,17,1.7337429067667793
carbon1,276,17,1.6927533289965462
carbon1,277,17,1.9639514404184677
carbon1,278,17,1.8300462330088896
carbon1,279,17,2.1890690396813786
carbon1,280,17,1.8469302584143246
carbon1,281,17,1.5910919028169968
carbon1,282,17,1.9041167708004223
carbon1,283,17,2.1704060189864216
carbon1,284,17,1.9626525780733894
carbon1,285,17,1.7027301157222074
carbon1,286,17,1.811021766241859
carbon1,287,17,1.6810753345489502
carbon1,288,17,1.6624507623560287
carbon1,289,17,1.7961297631263733
carbon1,290,17,1.9889566898345947
carbon1,291,17,1.8740003249224495
carbon1,292,17,1.5025358410442577
carbon1,293,17,1.9361540289486157
carbon1,294,17,1.8251497570206137
carbon1,295,17,1.8061306932393242
carbon1,296,17,1.8774858643026913
carbon1,297,17,1.889853042714736
carbon1,298,17,1.959148322834688
carbon1,299,17,1.8299144927193136
carbon1,300,17,1.7183672470204971
carbon1,301,17,1.7024000812979305
carbon1,302,17,1.8519512660363142
carbon1,303,17,1.790413779370925
carbon1,304,17,1.5607229366021997
carbon1,305,17,1.9427271590513342
carbon1,306,17,1.7243214635288013
carbon1,307,17,1.6906515254693872
carbon1,308,17,1.8992011862642624
carbon1,309,17,1.674668971230002
carbon1,310,17,1.96902834667879
carbon1,311,17,1.8927441625034107
carbon1,312,17,1.6775665914311129
carbon1,313,17,1.3957575734923868
carbon1,314,17,1.8183609808192533
carbon1,315,17,1.9867194470237284
carbon1,316,17,1.8012117743492126
carbon1,317,17,2.1000501478419586
carbon1,318,17,1.7483036938835592
carbon1,319,17,1.8011006940813625
carbon1,320,17,1.798863039297216
carbon1,321,17,1.6751433155115913
carbon1,322,17,1.7619861855226404
carbon1,323,17,2.0024590001386753
carbon1,324,17,1.7285746896968168
carbon1,325,17,1.942418231683619
carbon1,326,17,1.9515409048865824
carbon1,327,17,1.528436327681822
carbon1,328,17,1.7458471340291641
carbon1,329,17,1.6993756083881153
carbon1,330,17,1.8835444485439974
carbon1,331,17,1.6982441527002
carbon1,332,17,2.0259602911332073
carbon1,333,17,1.639558799126569
carbon1,334,17,1.8068762702100418
carbon1,335,17,1.8001659828073837
carbon1,336,17,1.8319077281390919
carbon1,337,17,1.7154521451276892
carbon1,338,17,1.9781563211889828
carbon1,339,17,1.809272373423857
carbon1,340,17,2.0386240482330322
carbon1,341,17,2.0184854759889492
carbon1,342,17,1.8673544455977047
carbon1,343,17,1.7960243645836325
carbon1,344,17,1.6977009352515726
carbon1,345,17,1.566505235784194
carbon1,346,17,1.562108741087072
carbon1,347,17,1.9633722165051628
carbon1,348,17,1.6499584843130672
carbon1,349,17,1.377178718062008
carbon1,350,17,1.8774837115231682
carbon1,351,17,1.7432128822102266
carbon1,352,17,1.662435166976031
carbon1,353,17,1.7777112792519962
carbon1,354,17,2.1453584713094376
carbon1,355,17,2.047139511388891
carbon1,356,17,1.8604509725290186
carbon1,357,17,1.8881454888512106
carbon1,358,17,1.846813258002786
carbon1,359,17,1.9089075677535112
carbon1,360,17,2.078495407805723
carbon1,361,17,2.0715062022209167
carbon1,362,17,1.9930828669491936
carbon1,363,17,1.9017998681348913
carbon1,364,17,1.7917846301022697
carbon1,365,17,2.0248344786026897
carbon1,366,17,1.7095660602345186
carbon1,367,17,1.8118286413304947
carbon1,368,17,1.80449378490448
carbon1,369,17,1.5207173403571634
carbon1,370,17,1.7419372095781214
carbon1,371,17,1.6250401945675121
carbon1,372,17,2.198348844752592
carbon1,373,17,1.5151415572446936
carbon1,374,17,1.8599268057767082
carbon1,375,17,1.7433004098780014
carbon1,376,17,1.9313295238158281
carbon1,377,17,2.1867585743174835
