split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
train,HoSa,HoSa,0,60000,1.468,11010,15.107263550162315,3971.5994760252493,1.6279953202238704,23168734,122.39413848199183,930204.6765642399,1.6377379085796986,38845642,12,-0.15999532022387042,90.17224937711313,89.63583197955643
train,GaGa,GaGa,1,60000,1.8729333333333333,14047,14.620558187365532,4103.810485966908,1.8332927286205416,20422738,80.10251845399034,1112566.4675722874,1.8246629113531365,33877671,11,0.03964060471279174,102.16226269236441,102.64544325857976
train,AnCa,AnCa,2,60000,1.9024,14268,14.45343928039074,4151.261082986882,1.6724217610502778,17835083,31.017515960003948,2750504.1058094176,,,,0.22997823894972225,113.75121062795166,
train,DaRe,DaRe,3,60000,1.8684,14013,15.279589019715786,3926.8071885035592,1.4965883492085514,7022556,33.562430669990135,1118483.1149182983,1.469040559724907,11488819,10,0.3718116507914486,124.84394930563742,127.18505201448468
train,OrSa,OrSa,4,60000,1.9224,14418,15.923009127378464,3768.1319856078167,1.577150168431005,5117362,24.94059548599762,1040773.5859624245,1.5988975955008449,8646543,10,0.34524983156899514,121.8907392891103,120.23284076537873
train,DrMe,DrMe,5,60000,1.8556,13917,14.616390727460384,4104.980574121876,1.8555459807900592,4478559,18.30507472201134,1054836.284103317,1.8597292245785606,7481093,10,5.4019209940747714e-05,100.00291122992908,99.77796635531733
train,EnIn,EnIn,6,60000,1.9085333333333334,14314,14.620831549167633,4103.733758112808,1.626626482812742,3221097,14.97143062800751,1058138.824112384,1.5667528573458096,5170889,9,0.2819068505205915,117.33076729656595,121.814574927058
train,ScPo,ScPo,7,60000,1.9528,14646,15.780296936631203,3802.2098215858337,1.9059367173434234,1522675,7.1156626750016585,898200.6725042668,1.8917959793112287,2518963,8,0.04686328265657669,102.45880580557242,103.22466171595215
train,WaMe,WaMe,8,60000,1.9646666666666666,14735,14.591887153685093,4111.873904181569,1.94710697347876,1335389,2.5444280929805245,2156342.7220193,,,,0.01755969318790651,100.90183505205847,
train,PlFa,PlFa,9,60000,1.8069333333333333,13552,14.848446555435658,4040.8267474980707,1.6873283460932225,1137265,6.647242209990509,811167.5232619061,1.7142874946921633,1925726,7,0.11960498724011082,107.08842398795942,105.40433497461909
