split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
train,HoSa,HoSa,0,60000,1.3753333333333333,10315,0.4055301174521446,147954.48579002375,1.6279953202238704,23168734,122.39413848199183,930204.6765642399,1.6377379085796986,38845642,12,-0.2526619868905371,84.4801773228812,83.97762096903946
train,GaGa,GaGa,1,60000,1.7218666666666667,12914,0.4193540960550308,143077.1764588329,1.8332927286205416,20422738,80.10251845399034,1112566.4675722874,1.8246629113531365,33877671,11,-0.11142606195387494,93.92208018859502,94.36628847734741
train,AnCa,AnCa,2,60000,1.3865333333333334,10399,0.38556139916181564,155617.2379559674,1.6724217610502778,17835083,31.017515960003948,2750504.1058094176,,,,-0.28588842771694445,82.90572184749576,
train,DaRe,DaRe,3,60000,1.5364,11523,0.4099813997745514,146348.10270171764,1.4965883492085514,7022556,33.562430669990135,1118483.1149182983,1.469040559724907,11488819,10,0.03981165079144855,102.66016041167916,104.58526756318469
train,OrSa,OrSa,4,60000,1.8344,13758,0.8773522302508354,68387.5847478566,1.577150168431005,5117362,24.94059548599762,1040773.5859624245,1.5988975955008449,8646543,10,0.25724983156899506,116.31105501037449,114.72904863712586
train,DrMe,DrMe,5,60000,1.7121333333333333,12841,0.41297611594200134,145286.85239614788,1.8555459807900592,4478559,18.30507472201134,1054836.284103317,1.8597292245785606,7481093,10,-0.14341264745672588,92.27113480660482,92.06358166046057
train,EnIn,EnIn,6,60000,1.806,13545,0.41594257205724716,144250.68274026553,1.626626482812742,3221097,14.97143062800751,1058138.824112384,1.5667528573458096,5170889,9,0.17937351718725814,111.02733289311064,115.27025411394443
train,ScPo,ScPo,7,60000,1.9173333333333333,14380,0.4192623049020767,143108.50104688914,1.9059367173434234,1522675,7.1156626750016585,898200.6725042668,1.8917959793112287,2518963,8,0.01139661598990993,100.59795353571839,101.3499000051476
train,WaMe,WaMe,8,60000,1.9169333333333334,14377,0.43023552745580673,139458.49696516086,1.94710697347876,1335389,2.5444280929805245,2156342.7220193,,,,-0.030173640145426672,98.45033475014895,
train,PlFa,PlFa,9,60000,1.6668,12501,0.4206337481737137,142641.90702839458,1.6873283460932225,1137265,6.647242209990509,811167.5232619061,1.7142874946921633,1925726,7,-0.020528346093222405,98.78338166126629,97.2298990199021
train,EsCo,EsCo,10,60000,1.8544,13908,0.4226991832256317,141944.91586697183,1.9035580366327933,662674,1.4766984020243399,1885957.8883421153,1.893381063466197,1098552,6,-0.04915803663279328,97.41757090213288,97.94119291576548
train,HaHi,HaHi,11,60000,1.7610666666666666,13208,0.4009350910782814,149650.15867938875,1.850914501823691,540005,1.2214235920109786,1910887.4392685066,1.8567194643708684,902831,5,-0.08984783515702444,95.14575983555706,94.84829024848874
train,HePy,HePy,12,60000,1.7732,13299,0.40181080251932144,149324.0092695488,1.8304398443082057,228964,0.7651449110126123,1307850.298155489,1.801057065339589,375481,4,-0.05723984430820561,96.87289126238187,98.45329357544057
train,AeCa,AeCa,13,60000,1.8728,14046,0.416488915681839,144061.45695804,1.9206204714082644,229185,0.738734509999631,1292249.0923031021,1.9112673462602345,380115,5,-0.0478204714082644,97.51015507123067,97.98733827920498
train,YeMi,YeMi,14,44213,1.7831859407866464,9855,0.32027313113212585,138047.7964033777,1.8318594078664645,10124,0.09144668799126521,483483.8852143353,1.8236643189621247,16798,3,-0.04867346707981812,97.34294745160015,97.7803821813811
train,AgPh,AgPh,15,26382,1.8952315973011902,6250,0.1948753520846367,135378.84456799843,1.9543628231369874,6445,0.045793175988364965,576112.0391977853,1.94823743461451,10708,2,-0.05913122583579722,96.97439875872769,97.27929274063005
train,BuEb,BuEb,16,11364,1.9408658922914466,2757,0.08666588366031647,131124.26158995565,1.988736360436466,2825,0.06457295001018792,175987.00381827154,1.9793030623020063,4686,1,-0.047870468145019496,97.5929203539823,98.05804524114383
val,HoSa,HoSa,0,60000,1.4202666666666666,10652,0.38772744685411453,154747.87892066734,1.6804646195614696,7971816,43.18720811401727,878744.7639543618,1.6377379085796986,38845642,12,-0.2601979528948031,84.5163087716358,86.7212427108297
val,GaGa,GaGa,1,60000,1.8425333333333334,13819,0.4210333004593849,142506.5426761604,1.8363979980380023,6819110,27.683165279013338,1073087.4775551958,1.8246629113531365,33877671,11,0.006135335295331057,100.33409616553088,100.97938210225057
val,AnCa,AnCa,2,60000,1.6942666666666666,12707,0.40305832028388977,148861.83209849047,1.6625930117640397,5910089,10.645502664992819,2671356.712306002,,,,0.03167365490262686,101.90507566665521,
val,DaRe,DaRe,3,60000,1.4888,11166,0.38888612389564514,154286.8112622619,1.5994867419526118,2501798,13.231865948997438,945671.9141677894,1.469040559724907,11488819,10,-0.11068674195261186,93.07985874159304,101.3450575032995
val,OrSa,OrSa,4,60000,1.7190666666666667,12893,0.4005010351538658,149812.3468693383,1.7414177445049432,1883453,9.499762735009426,910812.6425213729,1.5988975955008449,8646543,10,-0.0223510778382765,98.7165010860372,107.5157453175217
val,DrMe,DrMe,5,60000,1.8890666666666667,14168,0.41458306461572647,144723.71189501794,1.892991376236447,1522979,8.009468386997469,803584.5438192419,1.8597292245785606,7481093,10,-0.003924709569780305,99.79267155576888,101.57751148395026
val,EnIn,EnIn,6,60000,1.8818666666666666,14114,0.44611088186502457,134495.7104591625,1.7358410958416413,1145789,6.425754181022057,821789.4508936979,1.5667528573458096,5170889,9,0.14602557082502532,108.4123812470417,120.11254090544199
val,ScPo,ScPo,7,60000,1.9304,14478,0.412740521132946,145369.78301840558,1.9450261472913228,517968,3.7186722819751594,572900.9814407278,1.8917959793112287,2518963,8,-0.014626147291322944,99.24802310181323,102.04060168807561
