split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,43262523.0,60000,60000,1.8344,1.8319889322916667,91.72,8646543,10,79.94487977504224,1.5988975955008449,14773,10,98.48666666666666,1.9697333333333333,,,,
train,windows_nonoverlap,HoSa,HoSa,189752667.0,60000,60000,1.3782666666666668,1.3757869791666666,68.91333333333334,38845642,12,81.88689542898493,1.6377379085796986,14061,12,93.74,1.8748,,,,
train,windows_nonoverlap,DaRe,DaRe,62565020.0,60000,60000,1.5424,1.5399979166666666,77.12,11488819,10,73.45202798624535,1.469040559724907,11539,10,76.92666666666666,1.5385333333333333,,,,
train,windows_nonoverlap,ScPo,ScPo,10652155.0,60000,60000,1.9196,1.9171768229166666,95.98,2518963,8,94.58979896556143,1.8917959793112287,14389,8,95.92666666666668,1.9185333333333334,,,,
train,windows_nonoverlap,EsCo,EsCo,4641652.0,60000,60000,1.8562666666666667,1.8537674479166666,92.81333333333333,1098552,6,94.66905317330985,1.893381063466197,14776,6,98.50666666666666,1.9701333333333333,,,,
train,windows_nonoverlap,YeMi,YeMi,73689.0,44213,44213,1.7844525365842625,1.7819143089984846,89.22262682921313,16798,3,91.18321594810624,1.8236643189621247,10124,3,91.59297039332323,1.8318594078664645,,,,
train,windows_nonoverlap,BuEb,BuEb,18940.0,11364,11364,1.9429778247096092,1.9401242753981873,97.14889123548046,4686,1,98.9651531151003,1.9793030623020063,2825,1,99.4368180218233,1.988736360436466,,,,
train,windows_nonoverlap,AgPh,AgPh,43970.0,26382,26382,1.897960730801304,1.8952629870745206,94.8980365400652,10708,2,97.4118717307255,1.94823743461451,6445,2,97.71814115684937,1.9543628231369874,,,,
train,windows_nonoverlap,GaGa,GaGa,148532294.0,60000,60000,1.7242666666666666,1.7219682942708334,86.21333333333332,33877671,11,91.23314556765682,1.8246629113531365,14318,11,95.45333333333333,1.9090666666666667,,,,
train,windows_nonoverlap,DrMe,DrMe,32181429.0,60000,60000,1.7158666666666667,1.713594921875,85.79333333333334,7481093,10,92.98646122892804,1.8597292245785606,13938,10,92.92,1.8584,,,,
train,windows_nonoverlap,EnIn,EnIn,26403087.0,60000,60000,1.8054666666666668,1.8030449869791667,90.27333333333334,5170889,9,78.33764286729048,1.5667528573458096,14414,9,96.09333333333333,1.9218666666666666,,,,
train,windows_nonoverlap,PlFa,PlFa,8986712.0,60000,60000,1.6717333333333333,1.6693584635416667,83.58666666666666,1925726,7,85.71437473460817,1.7142874946921633,13783,7,91.88666666666667,1.8377333333333334,,,,
train,windows_nonoverlap,HePy,HePy,1667825.0,60000,60000,1.7733333333333334,1.7709666015625,88.66666666666667,375481,4,90.05285326697945,1.801057065339589,14110,4,94.06666666666666,1.8813333333333333,,,,
train,windows_nonoverlap,AeCa,AeCa,1591049.0,60000,60000,1.8769333333333333,1.8745720052083332,93.84666666666666,380115,5,95.56336731301172,1.9112673462602345,14873,5,99.15333333333334,1.9830666666666668,,,,
train,windows_nonoverlap,HaHi,HaHi,3890005.0,60000,60000,1.7642666666666666,1.7618142578125,88.21333333333334,902831,5,92.83597321854342,1.8567194643708684,14189,5,94.59333333333333,1.8918666666666666,,,,
train,windows_nonoverlap,AnCa,AnCa,142189675.0,60000,60000,1.3876,1.3850830729166668,69.38,,,,,14307,5,95.38,1.9076,,,,
train,windows_nonoverlap,WaMe,WaMe,9144432.0,60000,60000,1.9188,1.916395703125,95.94,,,,,14927,5,99.51333333333334,1.9902666666666666,,,,
