split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,,60000,60000,1.8319889322916667,1.8344,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,109916.3359375,0,3,0.15445952862501144,0.28457269072532654,0.007088407874107361,0.573146291077137,0.8573966920375824,60000,15000,17639,16438,16512,0.9172,0.2293,0.7799761891263677
train,windows_nonoverlap,HoSa,,60000,60000,1.3757869791666666,1.3782666666666668,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,82544.21875,0,3,0.03694301098585129,0.2546749636530876,0.002507321536540985,0.4116763100028038,0.42313890904188156,60000,15000,16995,16137,15716,0.6891333333333334,0.17228333333333334,0.608237716975581
train,windows_nonoverlap,DaRe,,60000,60000,1.5399979166666666,1.5424,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,92396.875,0,3,0.036492496728897095,0.24468903243541718,0.0024503618478775024,0.411515936255455,0.42271654307842255,60000,15000,14457,15181,12852,0.7712,0.1928,0.8001660095455488
train,windows_nonoverlap,ScPo,,60000,60000,1.9171768229166666,1.9196,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,115027.609375,0,3,0.036420755088329315,0.25087545067071915,0.0023945197463035583,0.43073058128356934,0.44182170927524567,60000,15000,17448,16398,16336,0.9598,0.23995,0.8251375515818432
train,windows_nonoverlap,EsCo,,60000,60000,1.8537674479166666,1.8562666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,111223.046875,0,3,0.03639610856771469,0.2384803220629692,0.0024013593792915344,0.4140944629907608,0.42563696205616,60000,15000,17715,16300,16612,0.9281333333333334,0.23203333333333334,0.7858876658199266
train,windows_nonoverlap,YeMi,,44213,44213,1.7819143089984846,1.7844525365842625,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,14736,,,,,,,,,,,,,78765.77734375,5,18,0.027503550052642822,0.17353777587413788,0.001941286027431488,0.29781848192214966,0.3099054768681526,44213,11054,12547,11797,11772,0.8922262682921313,0.2230565670730328,0.7860046226189528
train,windows_nonoverlap,BuEb,,11364,11364,1.9401242753981873,1.9429778247096092,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,3788,,,,,,,,,,,,,22044.572265625,0,3,0.007574483752250671,0.04562991112470627,0.0006207898259162903,0.07851128280162811,0.08386857062578201,11364,2841,3535,3178,3392,0.9714889123548046,0.24287222808870115,0.7807637906647807
train,windows_nonoverlap,AgPh,,26382,26382,1.8952629870745206,1.897960730801304,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,8794,,,,,,,,,,,,,49997.828125,0,3,0.016141273081302643,0.11017546057701111,0.002702482044696808,0.1882651075720787,0.19544009864330292,26382,6596,7933,7240,7472,0.948980365400652,0.237245091350163,0.7889827303668221
train,windows_nonoverlap,GaGa,,60000,60000,1.7219682942708334,1.7242666666666666,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,103315.09765625,0,3,0.03632710874080658,0.2529763728380203,0.0024276897311210632,0.42080094665288925,0.4318714663386345,60000,15000,17079,16298,15948,0.8621333333333333,0.21553333333333333,0.7571871889454886
train,windows_nonoverlap,DrMe,,60000,60000,1.713594921875,1.7158666666666667,base_prefix_exact_gpu_cpu,3,32768,281,0.01,0.008575439453125,20000,,,,,,,,,,,,,102812.6953125,0,3,0.03647948056459427,0.25379137694835663,0.0023813024163246155,0.42548585683107376,0.43716203421354294,60000,15000,17111,16264,15740,0.8579333333333333,0.21448333333333333,0.7520892992811642
