species,source_name,mode,fusion_policy,decodable,sample_bytes,sample_bases,core_base_count,tail_base_count,tail_side_info_bits,sample_symbols_with_eos,uses_eos,unit_size,unit_vocab_size,context_units,theoretical_bits,core_model_theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,emitted_arithmetic_symbol_count,arithmetic_encode_seconds,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,fusion_model_choice_counts,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,model_megabyte1_theoretical_bits,model_megabyte1_theoretical_bits_per_core_base,model_megabyte1_model_forward_seconds,model_megabyte1_softmax_seconds,model_megabyte1_aggregate_seconds,model_megabyte1_data_transfer_seconds,model_dnagpt2_theoretical_bits,model_dnagpt2_theoretical_bits_per_core_base,model_dnagpt2_model_forward_seconds,model_dnagpt2_softmax_seconds,model_dnagpt2_aggregate_seconds,model_dnagpt2_data_transfer_seconds,split,geco2_level,geco2_binary,geco2_command,geco2_returncode,geco2_stdout_tail,geco2_stderr_tail
OrSa,OrSa,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,103612.28681142576,103612.28681142576,1.726871446857096,12957,1.7276,fusion_static_context,3,20000,0.3767860680818558,2.311676286160946,25955.19120008078,25955.19120008078,8651.730400026927,"{""dnagpt2"": 19732, ""megabyte1"": 268}",32768,125,0.01,0.003814697265625,60000,15000,17607,16481,16400,107905.8042981815,1.7984300716363582,0.02945607900619507,3.36766242980957e-05,0.16912032663822174,9.818375110626221e-05,103554.27528889981,1.7259045881483301,0.004557698965072632,3.0390918254852295e-05,1.6252137124538422,4.808604717254639e-05,val,,,,,,
HoSa,HoSa,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,85022.31688832107,85022.31688832107,1.4170386148053513,10632,1.4176,fusion_static_context,3,20000,0.3452281802892685,2.2289834916591644,26918.099763645376,26918.099763645376,8972.699921215126,"{""dnagpt2"": 19752, ""megabyte1"": 248}",32768,125,0.01,0.003814697265625,60000,15000,17118,16105,15924,88080.42845706586,1.4680071409510977,0.030708082020282745,3.1948089599609375e-05,0.162324421107769,0.00010719895362854004,84997.19566033638,1.416619927672273,0.00417926162481308,2.872943878173828e-05,1.5831913873553276,4.6662986278533936e-05,val,,,,,,
DaRe,DaRe,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,89801.038188963,89801.038188963,1.49668396981605,11231,1.4974666666666667,fusion_static_context,3,20000,0.3549887463450432,2.133902721107006,28117.49542588041,28117.49542588041,9372.498475293469,"{""dnagpt2"": 19632, ""megabyte1"": 368}",32768,125,0.01,0.003814697265625,60000,15000,10082,11576,8944,110097.64499067079,1.834960749844513,0.03016166388988495,3.0860304832458496e-05,0.1525295004248619,0.00010547786951065063,89400.190161537,1.49000316935895,0.004551880061626434,2.931058406829834e-05,1.4899871125817299,4.838407039642334e-05,val,,,,,,
ScPo,ScPo,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,115743.99962283007,115743.99962283007,1.9290666603805011,14475,1.93,fusion_static_context,3,20000,0.34942957758903503,2.300411231815815,26082.293100542454,26082.293100542454,8694.097700180819,"{""dnagpt2"": 19699, ""megabyte1"": 301}",32768,125,0.01,0.003814697265625,60000,15000,17884,16418,16756,116322.29266763487,1.9387048777939146,0.030713945627212524,3.627687692642212e-05,0.1770234927535057,0.00010831654071807861,115733.68488969433,1.9288947481615721,0.006536051630973816,4.3019652366638184e-05,1.6024865806102753,6.32256269454956e-05,val,,,,,,
EsCo,EsCo,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,111992.03949596641,111992.03949596641,1.8665339915994401,14006,1.8674666666666666,fusion_static_context,3,20000,0.373806469142437,1.9418279901146889,30898.72033230722,30898.72033230722,10299.573444102407,"{""dnagpt2"": 19662, ""megabyte1"": 338}",32768,125,0.01,0.003814697265625,60000,15000,17640,16281,16536,113101.66593782441,1.8850277656304069,0.029760204255580902,3.118067979812622e-05,0.15229340642690659,0.00010459870100021362,111978.7954395502,1.8663132573258367,0.0041677504777908325,2.8289854526519775e-05,1.2798008471727371,4.595518112182617e-05,val,,,,,,
YeMi,YeMi,static_context,static_context,True,14737,14737,14736,1,11,4912,False,3,125,1,26557.200255196756,26546.200255196756,1.8020764236409552,3322,1.8030128248625907,fusion_static_context,3,4912,0.09389840811491013,0.46481964737176895,31704.76997546782,31704.76997546782,10567.53953447092,"{""dnagpt2"": 4885, ""megabyte1"": 27}",32768,125,0.01,0.003814697265625,14737,3685,4301,3989,4140,27019.621206980675,1.8335790721349536,0.030622713267803192,3.403425216674805e-05,0.029515095055103302,9.363889694213867e-05,26553.291377541747,1.8019334539591305,0.004705749452114105,2.6308000087738037e-05,0.266277514398098,3.4518539905548096e-05,val,,,,,,
BuEb,BuEb,static_context,static_context,True,3788,3788,3786,2,14,1262,False,3,125,1,7442.450023128162,7428.450023128162,1.964743934299937,932,1.96779303062302,fusion_static_context,3,1262,0.02158469706773758,0.13652782142162323,27745.260713579788,27745.260713579788,9243.537228230647,"{""dnagpt2"": 1244, ""megabyte1"": 18}",32768,125,0.01,0.003814697265625,3788,947,1245,1104,1312,7484.910844058104,1.976997053369811,0.03051573783159256,3.936886787414551e-05,0.005504198372364044,8.31708312034607e-05,7429.097634299378,1.9622550539618009,0.004822306334972382,2.8431415557861328e-05,0.06464629620313644,3.252178430557251e-05,val,,,,,,
AgPh,AgPh,static_context,static_context,True,8794,8794,8790,4,20,2930,False,3,125,1,16971.11709598331,16951.11709598331,1.9298518417083592,2123,1.9308619513304526,fusion_static_context,3,2930,0.05213749408721924,0.2740068882703781,32094.08367618285,32094.08367618285,10693.161834343387,"{""dnagpt2"": 2904, ""megabyte1"": 26}",32768,125,0.01,0.003814697265625,8794,2199,2737,2486,2688,17059.37359659582,1.9407706025706277,0.02967071533203125,2.972036600112915e-05,0.01220613718032837,4.727393388748169e-05,16954.03375847565,1.9287865481769795,0.00432286411523819,2.8252601623535156e-05,0.15237610042095184,2.9981136322021484e-05,val,,,,,,
GaGa,GaGa,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,110471.35086218166,110471.35086218166,1.841189181036361,13816,1.8421333333333334,fusion_static_context,3,20000,0.3474445194005966,2.214091680943966,27099.148836700082,27099.148836700082,9033.04961223336,"{""dnagpt2"": 19661, ""megabyte1"": 339}",32768,125,0.01,0.003814697265625,60000,15000,17534,16325,16420,111051.6495351363,1.850860825585605,0.02932731807231903,3.372877836227417e-05,0.15806720405817032,9.284913539886475e-05,110466.82619538018,1.8411137699230031,0.00413241982460022,2.8893351554870605e-05,1.5672820135951042,4.669278860092163e-05,val,,,,,,
DrMe,DrMe,static_context,static_context,True,60000,60000,60000,0,0,20000,False,3,125,1,113328.7291117218,113328.7291117218,1.88881215186203,14173,1.8897333333333333,fusion_static_context,3,20000,0.38783949613571167,2.2101947516202927,27146.929000719974,27146.929000719974,9048.976333573324,"{""dnagpt2"": 19639, ""megabyte1"": 361}",32768,125,0.01,0.003814697265625,60000,15000,17705,16452,16524,113803.98833072095,1.8967331388453492,0.02719072997570038,3.115832805633545e-05,0.1595955714583397,0.00010460615158081055,113302.75262731386,1.888379210455231,0.00421404093503952,2.839416265487671e-05,1.5325709283351898,4.267692565917969e-05,val,,,,,,
