species,source_name,source_mode,source_path,sequence_keys,sequence_files,selected_sequence_count,total_size,train_start,train_bytes,val_start,val_bytes,test_start,test_bytes,clean_cache_status,clean_cache_path
OrSa,OrSa,flat_file,datasets/DNACorpus/OrSa,"[""OrSa""]","[""OrSa""]",1,43262523,0,25957513,25957513,8652504,34610017,8652506,not_applicable,
HoSa,HoSa,flat_file,datasets/DNACorpus/HoSa,"[""HoSa""]","[""HoSa""]",1,189752667,0,113851600,113851600,37950533,151802133,37950534,not_applicable,
DaRe,DaRe,flat_file,datasets/DNACorpus/DaRe,"[""DaRe""]","[""DaRe""]",1,62565020,0,37539012,37539012,12513004,50052016,12513004,not_applicable,
ScPo,ScPo,flat_file,datasets/DNACorpus/ScPo,"[""ScPo""]","[""ScPo""]",1,10652155,0,6391293,6391293,2130431,8521724,2130431,not_applicable,
EsCo,EsCo,flat_file,datasets/DNACorpus/EsCo,"[""EsCo""]","[""EsCo""]",1,4641652,0,2784991,2784991,928330,3713321,928331,not_applicable,
YeMi,YeMi,flat_file,datasets/DNACorpus/YeMi,"[""YeMi""]","[""YeMi""]",1,73689,0,44213,44213,14737,58950,14739,not_applicable,
BuEb,BuEb,flat_file,datasets/DNACorpus/BuEb,"[""BuEb""]","[""BuEb""]",1,18940,0,11364,11364,3788,15152,3788,not_applicable,
AgPh,AgPh,flat_file,datasets/DNACorpus/AgPh,"[""AgPh""]","[""AgPh""]",1,43970,0,26382,26382,8794,35176,8794,not_applicable,
GaGa,GaGa,flat_file,datasets/DNACorpus/GaGa,"[""GaGa""]","[""GaGa""]",1,148532294,0,89119376,89119376,29706458,118825834,29706460,not_applicable,
DrMe,DrMe,flat_file,datasets/DNACorpus/DrMe,"[""DrMe""]","[""DrMe""]",1,32181429,0,19308857,19308857,6436285,25745142,6436287,not_applicable,
EnIn,EnIn,flat_file,datasets/DNACorpus/EnIn,"[""EnIn""]","[""EnIn""]",1,26403087,0,15841852,15841852,5280617,21122469,5280618,not_applicable,
PlFa,PlFa,flat_file,datasets/DNACorpus/PlFa,"[""PlFa""]","[""PlFa""]",1,8986712,0,5392027,5392027,1797342,7189369,1797343,not_applicable,
HePy,HePy,flat_file,datasets/DNACorpus/HePy,"[""HePy""]","[""HePy""]",1,1667825,0,1000695,1000695,333565,1334260,333565,not_applicable,
AeCa,AeCa,flat_file,datasets/DNACorpus/AeCa,"[""AeCa""]","[""AeCa""]",1,1591049,0,954629,954629,318209,1272838,318211,not_applicable,
HaHi,HaHi,flat_file,datasets/DNACorpus/HaHi,"[""HaHi""]","[""HaHi""]",1,3890005,0,2334003,2334003,778001,3112004,778001,not_applicable,
AnCa,AnCa,flat_file,datasets/DNACorpus/AnCa,"[""AnCa""]","[""AnCa""]",1,142189675,0,85313805,85313805,28437935,113751740,28437935,not_applicable,
WaMe,WaMe,flat_file,datasets/DNACorpus/WaMe,"[""WaMe""]","[""WaMe""]",1,9144432,0,5486659,5486659,1828886,7315545,1828887,not_applicable,
