metric,value
geco2_baseline.binary,/usr/local/bin/GeCo2
geco2_baseline.compression_sample_bytes,60000
geco2_baseline.fallback_level,5
geco2_baseline.level,paper_modes
geco2_baseline.mode,geco2_paper_modes
geco2_baseline.splits,"[""train"", ""val"", ""test""]"
compression_compare.val.static_context.total_theoretical_bits_per_base,1.7853699400621281
compression_compare.val.static_context.total_arithmetic_bits_per_base,1.7862585738350019
compression_compare.val.static_context.total_sample_bases,867319
compression_compare.val.static_context.total_arithmetic_coded_bytes,193657
compression_compare.val.static_context.total_compression_bases_per_second,27866.07302555566
compression_compare.val.oracle_max.total_theoretical_bits_per_base,1.7089997195379607
compression_compare.val.oracle_max.total_arithmetic_bits_per_base,1.7101158858505348
compression_compare.val.oracle_max.total_sample_bases,867319
compression_compare.val.oracle_max.total_arithmetic_coded_bytes,185402
compression_compare.val.oracle_max.total_compression_bases_per_second,28528.89716254544
compression_compare.val.geco2_paper_modes.total_theoretical_bits_per_base,1.878985701915904
compression_compare.val.geco2_paper_modes.total_arithmetic_bits_per_base,1.878985701915904
compression_compare.val.geco2_paper_modes.total_sample_bases,867319
compression_compare.val.geco2_paper_modes.total_arithmetic_coded_bytes,203710
compression_compare.val.geco2_paper_modes.total_compression_bases_per_second,25931.75513219897
compression_compare.test.static_context.total_theoretical_bits_per_base,1.8176866356661525
compression_compare.test.static_context.total_arithmetic_bits_per_base,1.818583892238283
compression_compare.test.static_context.total_sample_bases,867321
compression_compare.test.static_context.total_arithmetic_coded_bytes,197162
compression_compare.test.static_context.total_compression_bases_per_second,28255.588508381097
compression_compare.test.oracle_max.total_theoretical_bits_per_base,1.7407637110808867
compression_compare.test.oracle_max.total_arithmetic_bits_per_base,1.7418879515196795
compression_compare.test.oracle_max.total_sample_bases,867321
compression_compare.test.oracle_max.total_arithmetic_coded_bytes,188847
compression_compare.test.oracle_max.total_compression_bases_per_second,27369.07043351128
compression_compare.test.geco2_paper_modes.total_theoretical_bits_per_base,1.9032676483101412
compression_compare.test.geco2_paper_modes.total_arithmetic_bits_per_base,1.9032676483101412
compression_compare.test.geco2_paper_modes.total_sample_bases,867321
compression_compare.test.geco2_paper_modes.total_arithmetic_coded_bytes,206343
compression_compare.test.geco2_paper_modes.total_compression_bases_per_second,26102.43914764502
compression_compare.train.geco2_paper_modes.total_theoretical_bits_per_base,1.8898107182640442
compression_compare.train.geco2_paper_modes.total_arithmetic_bits_per_base,1.8898107182640442
compression_compare.train.geco2_paper_modes.total_sample_bases,921959
compression_compare.train.geco2_paper_modes.total_arithmetic_coded_bytes,217791
compression_compare.train.geco2_paper_modes.total_compression_bases_per_second,26813.184082855758
