species,source_name,mode,geco2_level,geco2_binary,geco2_command,geco2_returncode,sample_bytes,sample_bases,sample_symbols_with_eos,uses_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,split
OrSa,OrSa,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_m6twyz4x/train_1_OrSa.seq""]",0,25957513,25957513,25957513,False,40938896.0,1.577150168431005,5117362,1.577150168431005,24.94059548599762,1040773.5859624245,1040773.5859624245,1040773.5859624245,25957513,6489379,7071145,6919722,5623984,train
HoSa,HoSa,geco2_paper_modes,12,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""12"", ""/tmp/geco2_baseline_8nv4_zt6/train_2_HoSa.seq""]",0,113851600,113851600,113851600,False,185349872.0,1.6279953202238704,23168734,1.6279953202238704,122.39413848199183,930204.6765642399,930204.6765642399,930204.6765642399,113851600,28462900,30281238,29008736,25557052,train
DaRe,DaRe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_gs8guzv7/train_3_DaRe.seq""]",0,37539012,37539012,37539012,False,56180448.0,1.4965883492085514,7022556,1.4965883492085514,33.562430669990135,1118483.1149182983,1118483.1149182983,1118483.1149182983,37539012,9384753,9995543,9694933,7823128,train
ScPo,ScPo,geco2_paper_modes,8,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""8"", ""/tmp/geco2_baseline_m2udaf17/train_4_ScPo.seq""]",0,6391293,6391293,6391293,False,12181400.0,1.9059367173434234,1522675,1.9059367173434234,7.1156626750016585,898200.6725042668,898200.6725042668,898200.6725042668,6391293,1597824,1795363,1733158,1647104,train
EsCo,EsCo,geco2_paper_modes,6,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""6"", ""/tmp/geco2_baseline_ros7upse/train_5_EsCo.seq""]",0,2784991,2784991,2784991,False,5301392.0,1.9035580366327933,662674,1.9035580366327933,1.4766984020243399,1885957.8883421153,1885957.8883421153,1885957.8883421153,2784991,696248,780315,752618,719852,train
YeMi,YeMi,geco2_paper_modes,3,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""3"", ""/tmp/geco2_baseline_jf1zdcwt/train_6_YeMi.seq""]",0,44213,44213,44213,False,80992.0,1.8318594078664645,10124,1.8318594078664645,0.09144668799126521,483483.8852143353,483483.8852143353,483483.8852143353,44213,11054,12547,11797,11772,train
BuEb,BuEb,geco2_paper_modes,1,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""1"", ""/tmp/geco2_baseline_9hzn6rlv/train_7_BuEb.seq""]",0,11364,11364,11364,False,22600.0,1.988736360436466,2825,1.988736360436466,0.06457295001018792,175987.00381827154,175987.00381827154,175987.00381827154,11364,2841,3535,3178,3392,train
AgPh,AgPh,geco2_paper_modes,2,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""2"", ""/tmp/geco2_baseline_anpzsq_p/train_8_AgPh.seq""]",0,26382,26382,26382,False,51560.0,1.9543628231369874,6445,1.9543628231369874,0.045793175988364965,576112.0391977853,576112.0391977853,576112.0391977853,26382,6596,7933,7240,7472,train
GaGa,GaGa,geco2_paper_modes,11,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""11"", ""/tmp/geco2_baseline_89r9zcdm/train_9_GaGa.seq""]",0,89119376,89119376,89119376,False,163381904.0,1.8332927286205416,20422738,1.8332927286205416,80.10251845399034,1112566.4675722874,1112566.4675722874,1112566.4675722874,89119376,22279844,24426011,23832948,21995668,train
DrMe,DrMe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_dbl73b7p/train_10_DrMe.seq""]",0,19308857,19308857,19308857,False,35828472.0,1.8555459807900592,4478559,1.8555459807900592,18.30507472201134,1054836.284103317,1054836.284103317,1054836.284103317,19308857,4827215,5360249,5207434,4815196,train
EnIn,EnIn,geco2_paper_modes,9,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""9"", ""/tmp/geco2_baseline_9bdtl3bq/train_11_EnIn.seq""]",0,15841852,15841852,15841852,False,25768776.0,1.626626482812742,3221097,1.626626482812742,14.97143062800751,1058138.824112384,1058138.824112384,1058138.824112384,15841852,3960463,4384926,4256448,3639484,train
PlFa,PlFa,geco2_paper_modes,7,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""7"", ""/tmp/geco2_baseline_a7lqz0zp/train_12_PlFa.seq""]",0,5392027,5392027,5392027,False,9098120.0,1.6873283460932225,1137265,1.6873283460932225,6.647242209990509,811167.5232619061,811167.5232619061,811167.5232619061,5392027,1348007,1423263,1405276,1244528,train
HePy,HePy,geco2_paper_modes,4,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_h113rwmd/train_13_HePy.seq""]",0,1000695,1000695,1000695,False,1831712.0,1.8304398443082057,228964,1.8304398443082057,0.7651449110126123,1307850.298155489,1307850.298155489,1307850.298155489,1000695,250174,272652,266155,252032,train
AeCa,AeCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_0c9bj155/train_14_AeCa.seq""]",0,954629,954629,954629,False,1833480.0,1.9206204714082644,229185,1.9206204714082644,0.738734509999631,1292249.0923031021,1292249.0923031021,1292249.0923031021,954629,238658,267774,257475,250412,train
