split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,geco2_paper_modes,HoSa,HoSa,189752667.0,189752667,189752667,1.6377379085796986,1.6377379085796986,81.88689542898493,38845642,12,81.88689542898493,1.6377379085796986,,,,,885539.5779464474,0.8855395779464474,885539.5779464474,0.8855395779464474
full,geco2_paper_modes,GaGa,GaGa,148532294.0,148532294,148532294,1.8246629113531365,1.8246629113531365,91.23314556765682,33877671,11,91.23314556765682,1.8246629113531365,,,,,1045351.9749523252,1.0453519749523252,1045351.9749523252,1.0453519749523252
full,geco2_paper_modes,AnCa,AnCa,142189675.0,142189675,142189675,1.6586955135807153,1.6586955135807153,82.93477567903577,,,,,,,,,2654180.460025137,2.654180460025137,2654180.460025137,2.654180460025137
full,geco2_paper_modes,DaRe,DaRe,62565020.0,62565020,62565020,1.469040559724907,1.469040559724907,73.45202798624535,11488819,10,73.45202798624535,1.469040559724907,,,,,1036273.0698578275,1.0362730698578275,1036273.0698578275,1.0362730698578275
full,geco2_paper_modes,OrSa,OrSa,43262523.0,43262523,43262523,1.5988975955008449,1.5988975955008449,79.94487977504224,8646543,10,79.94487977504224,1.5988975955008449,,,,,987788.7459964376,0.9877887459964376,987788.7459964376,0.9877887459964376
full,geco2_paper_modes,DrMe,DrMe,32181429.0,32181429,32181429,1.8597292245785606,1.8597292245785606,92.98646122892804,7481093,10,92.98646122892804,1.8597292245785606,,,,,987484.008214659,0.9874840082146591,987484.008214659,0.9874840082146591
full,geco2_paper_modes,EnIn,EnIn,26403087.0,26403087,26403087,1.5667528573458096,1.5667528573458096,78.33764286729048,5170889,9,78.33764286729048,1.5667528573458096,,,,,1000069.110103335,1.000069110103335,1000069.110103335,1.000069110103335
full,geco2_paper_modes,ScPo,ScPo,10652155.0,10652155,10652155,1.8917959793112287,1.8917959793112287,94.58979896556143,2518963,8,94.58979896556143,1.8917959793112287,,,,,906870.4460769251,0.9068704460769251,906870.4460769251,0.9068704460769251
full,geco2_paper_modes,WaMe,WaMe,9144432.0,9144432,9144432,1.9401139403737706,1.9401139403737706,97.00569701868854,,,,,,,,,2226882.953324463,2.226882953324463,2226882.953324463,2.226882953324463
full,geco2_paper_modes,PlFa,PlFa,8986712.0,8986712,8986712,1.7142874946921633,1.7142874946921633,85.71437473460817,1925726,7,85.71437473460817,1.7142874946921633,,,,,866198.5387599625,0.8661985387599626,866198.5387599625,0.8661985387599626
full,geco2_paper_modes,EsCo,EsCo,4641652.0,4641652,4641652,1.893381063466197,1.893381063466197,94.66905317330985,1098552,6,94.66905317330985,1.893381063466197,,,,,2074729.1722714605,2.0747291722714607,2074729.1722714605,2.0747291722714607
full,geco2_paper_modes,HaHi,HaHi,3890005.0,3890005,3890005,1.8567194643708684,1.8567194643708684,92.83597321854342,902831,5,92.83597321854342,1.8567194643708684,,,,,2014645.6190172296,2.0146456190172297,2014645.6190172296,2.0146456190172297
full,geco2_paper_modes,HePy,HePy,1667825.0,1667825,1667825,1.801057065339589,1.801057065339589,90.05285326697945,375481,4,90.05285326697945,1.801057065339589,,,,,1525529.4888702023,1.5255294888702022,1525529.4888702023,1.5255294888702022
full,geco2_paper_modes,AeCa,AeCa,1591049.0,1591049,1591049,1.9112673462602345,1.9112673462602345,95.56336731301172,380115,5,95.56336731301172,1.9112673462602345,,,,,1419347.4084557518,1.4193474084557518,1419347.4084557518,1.4193474084557518
full,geco2_paper_modes,YeMi,YeMi,73689.0,73689,73689,1.8236643189621247,1.8236643189621247,91.18321594810624,16798,3,91.18321594810624,1.8236643189621247,,,,,590890.4386106117,0.5908904386106117,590890.4386106117,0.5908904386106117
full,geco2_paper_modes,AgPh,AgPh,43970.0,43970,43970,1.94823743461451,1.94823743461451,97.4118717307255,10708,2,97.4118717307255,1.94823743461451,,,,,864627.8992279934,0.8646278992279934,864627.8992279934,0.8646278992279934
full,geco2_paper_modes,BuEb,BuEb,18940.0,18940,18940,1.9793030623020063,1.9793030623020063,98.9651531151003,4686,1,98.9651531151003,1.9793030623020063,,,,,243328.9799735458,0.2433289799735458,243328.9799735458,0.2433289799735458
