species,source_name,source_mode,source_path,sequence_keys,sequence_files,selected_sequence_count,total_size,full_start,full_bytes,clean_cache_status,clean_cache_path
OrSa,OrSa,flat_file,datasets/DNACorpus/OrSa,"[""OrSa""]","[""OrSa""]",1,43262523,0,43262523,not_applicable,
HoSa,HoSa,flat_file,datasets/DNACorpus/HoSa,"[""HoSa""]","[""HoSa""]",1,189752667,0,189752667,not_applicable,
DaRe,DaRe,flat_file,datasets/DNACorpus/DaRe,"[""DaRe""]","[""DaRe""]",1,62565020,0,62565020,not_applicable,
ScPo,ScPo,flat_file,datasets/DNACorpus/ScPo,"[""ScPo""]","[""ScPo""]",1,10652155,0,10652155,not_applicable,
EsCo,EsCo,flat_file,datasets/DNACorpus/EsCo,"[""EsCo""]","[""EsCo""]",1,4641652,0,4641652,not_applicable,
YeMi,YeMi,flat_file,datasets/DNACorpus/YeMi,"[""YeMi""]","[""YeMi""]",1,73689,0,73689,not_applicable,
BuEb,BuEb,flat_file,datasets/DNACorpus/BuEb,"[""BuEb""]","[""BuEb""]",1,18940,0,18940,not_applicable,
AgPh,AgPh,flat_file,datasets/DNACorpus/AgPh,"[""AgPh""]","[""AgPh""]",1,43970,0,43970,not_applicable,
GaGa,GaGa,flat_file,datasets/DNACorpus/GaGa,"[""GaGa""]","[""GaGa""]",1,148532294,0,148532294,not_applicable,
DrMe,DrMe,flat_file,datasets/DNACorpus/DrMe,"[""DrMe""]","[""DrMe""]",1,32181429,0,32181429,not_applicable,
EnIn,EnIn,flat_file,datasets/DNACorpus/EnIn,"[""EnIn""]","[""EnIn""]",1,26403087,0,26403087,not_applicable,
PlFa,PlFa,flat_file,datasets/DNACorpus/PlFa,"[""PlFa""]","[""PlFa""]",1,8986712,0,8986712,not_applicable,
HePy,HePy,flat_file,datasets/DNACorpus/HePy,"[""HePy""]","[""HePy""]",1,1667825,0,1667825,not_applicable,
AeCa,AeCa,flat_file,datasets/DNACorpus/AeCa,"[""AeCa""]","[""AeCa""]",1,1591049,0,1591049,not_applicable,
HaHi,HaHi,flat_file,datasets/DNACorpus/HaHi,"[""HaHi""]","[""HaHi""]",1,3890005,0,3890005,not_applicable,
AnCa,AnCa,flat_file,datasets/DNACorpus/AnCa,"[""AnCa""]","[""AnCa""]",1,142189675,0,142189675,not_applicable,
WaMe,WaMe,flat_file,datasets/DNACorpus/WaMe,"[""WaMe""]","[""WaMe""]",1,9144432,0,9144432,not_applicable,
