species,source_name,total_size,paper_total_geco2_level,paper_total_compressed_bytes,paper_total_bits_per_base,paper_total_percent_of_2bit
OrSa,OrSa,43262523,10,8646543,1.5988975955008449,79.94487977504224
HoSa,HoSa,189752667,12,38845642,1.6377379085796986,81.88689542898493
DaRe,DaRe,62565020,10,11488819,1.469040559724907,73.45202798624535
ScPo,ScPo,10652155,8,2518963,1.8917959793112287,94.58979896556143
EsCo,EsCo,4641652,6,1098552,1.893381063466197,94.66905317330985
YeMi,YeMi,73689,3,16798,1.8236643189621247,91.18321594810624
BuEb,BuEb,18940,1,4686,1.9793030623020063,98.9651531151003
AgPh,AgPh,43970,2,10708,1.94823743461451,97.4118717307255
GaGa,GaGa,148532294,11,33877671,1.8246629113531365,91.23314556765682
DrMe,DrMe,32181429,10,7481093,1.8597292245785606,92.98646122892804
EnIn,EnIn,26403087,9,5170889,1.5667528573458096,78.33764286729048
PlFa,PlFa,8986712,7,1925726,1.7142874946921633,85.71437473460817
HePy,HePy,1667825,4,375481,1.801057065339589,90.05285326697945
AeCa,AeCa,1591049,5,380115,1.9112673462602345,95.56336731301172
HaHi,HaHi,3890005,5,902831,1.8567194643708684,92.83597321854342
