split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,HoSa,HoSa,189752667.0,60000,60000,1.5057333333333334,1.505014998372396,75.28666666666666,38845642,12,81.88689542898493,1.6377379085796986,,,,,141936.94905550577,0.14193694905550577,141936.94905550577,0.14193694905550577
train,windows_nonoverlap,GaGa,GaGa,148532294.0,60000,60000,1.9022666666666668,1.9017623372395833,95.11333333333334,33877671,11,91.23314556765682,1.8246629113531365,,,,,138456.31354688862,0.13845631354688862,138456.31354688862,0.13845631354688862
train,windows_nonoverlap,AnCa,AnCa,142189675.0,60000,60000,1.914,1.9134939575195313,95.7,,,,,,,,,138179.93275348988,0.1381799327534899,138179.93275348988,0.1381799327534899
train,windows_nonoverlap,DaRe,DaRe,62565020.0,60000,60000,1.4994666666666667,1.498865694173177,74.97333333333333,11488819,10,73.45202798624535,1.469040559724907,,,,,135971.8181182209,0.1359718181182209,135971.8181182209,0.1359718181182209
train,windows_nonoverlap,OrSa,OrSa,43262523.0,60000,60000,1.9257333333333333,1.9252852864583334,96.28666666666666,8646543,10,79.94487977504224,1.5988975955008449,,,,,94130.95459164749,0.09413095459164748,94130.95459164749,0.09413095459164748
train,windows_nonoverlap,DrMe,DrMe,32181429.0,60000,60000,1.8981333333333332,1.8975027506510416,94.90666666666667,7481093,10,92.98646122892804,1.8597292245785606,,,,,137708.67580932038,0.1377086758093204,137708.67580932038,0.1377086758093204
train,windows_nonoverlap,EnIn,EnIn,26403087.0,60000,60000,1.9117333333333333,1.9112423421223959,95.58666666666666,5170889,9,78.33764286729048,1.5667528573458096,,,,,137513.37254498134,0.13751337254498133,137513.37254498134,0.13751337254498133
train,windows_nonoverlap,ScPo,ScPo,10652155.0,60000,60000,1.9485333333333332,1.9479994384765624,97.42666666666666,2518963,8,94.58979896556143,1.8917959793112287,,,,,135692.54176006018,0.13569254176006018,135692.54176006018,0.13569254176006018
train,windows_nonoverlap,WaMe,WaMe,9144432.0,60000,60000,1.9574666666666667,1.9569573323567708,97.87333333333333,,,,,,,,,137900.9470318337,0.1379009470318337,137900.9470318337,0.1379009470318337
train,windows_nonoverlap,PlFa,PlFa,8986712.0,60000,60000,1.8568,1.8562157470703124,92.84,1925726,7,85.71437473460817,1.7142874946921633,,,,,136981.67995802977,0.13698167995802976,136981.67995802977,0.13698167995802976
train,windows_nonoverlap,EsCo,EsCo,4641652.0,60000,60000,1.9562666666666666,1.955672412109375,97.81333333333333,1098552,6,94.66905317330985,1.893381063466197,,,,,134357.34680861008,0.13435734680861008,134357.34680861008,0.13435734680861008
train,windows_nonoverlap,HaHi,HaHi,3890005.0,60000,60000,1.8757333333333333,1.8751346394856772,93.78666666666666,902831,5,92.83597321854342,1.8567194643708684,,,,,137261.7477775167,0.13726174777751668,137261.7477775167,0.13726174777751668
train,windows_nonoverlap,HePy,HePy,1667825.0,60000,60000,1.942,1.9415592895507812,97.1,375481,4,90.05285326697945,1.801057065339589,,,,,137319.72871924887,0.13731972871924888,137319.72871924887,0.13731972871924888
train,windows_nonoverlap,AeCa,AeCa,1591049.0,60000,60000,1.9784,1.9778296630859376,98.92,380115,5,95.56336731301172,1.9112673462602345,,,,,136716.36053453624,0.13671636053453626,136716.36053453624,0.13671636053453626
train,windows_nonoverlap,YeMi,YeMi,73689.0,60000,60000,1.8365333333333334,1.835939265950521,91.82666666666667,16798,3,91.18321594810624,1.8236643189621247,,,,,135718.94239209505,0.13571894239209506,135718.94239209505,0.13571894239209506
train,windows_nonoverlap,AgPh,AgPh,43970.0,43090,43089,1.9594792174336837,1.9589761451905867,97.97396087168418,10708,2,97.4118717307255,1.94823743461451,,,,,132192.9169110223,0.1321929169110223,132195.98481505606,0.13219598481505607
train,windows_nonoverlap,BuEb,BuEb,18940.0,18561,18561,1.9636873013307472,1.9644762187879872,98.18436506653737,4686,1,98.9651531151003,1.9793030623020063,,,,,126969.7107573791,0.1269697107573791,126969.7107573791,0.1269697107573791
