split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,OrSa,OrSa,25957513,25957512,1.9162381362663798,1.9170752574437797,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,8652505,,,,,,,,,,,,,,,,0.0,43.125889483999835,43.125889483999835,0.35323338399999965,1.0453576166182756,43.47912286800007,52.22717362754653,25957513,6489379,,,,0.9585376287218899,0.23963439794867866
train,windows_nonoverlap,HoSa,HoSa,113851600,113851599,1.542828736958427,1.5438049666742055,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,37950534,,,,,,,,,,,,,,,,0.0,191.7029280630001,191.7029280630001,1.3866514580000107,4.194155406090431,193.0895795209996,229.8120416746439,113851600,28462900,,,,0.7719024833371028,0.19297561913930064
train,windows_nonoverlap,DaRe,DaRe,37539012,37539012,1.5653300898821112,1.566240049152066,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,12513005,,,,,,,,,,,,,,,,0.0,65.28062176400016,65.28062176400016,0.465233245,1.451890637690667,65.74585500899998,78.07054033921163,37539012,9384753,,,,0.783120024576033,0.19578000614400826
train,windows_nonoverlap,ScPo,ScPo,6391293,6391293,1.9515642830578135,1.9524086910113494,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2130432,,,,,,,,,,,,,,,,0.0,10.237187029999996,10.237187029999996,0.08729150399999987,0.22789664834272116,10.324478534000011,12.422854937038867,6391293,1597824,,,,0.9762043455056747,0.24405108637641867
train,windows_nonoverlap,EsCo,EsCo,2784991,2784990,1.9650588047373487,1.9659101109878312,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,928331,,,,,,,,,,,,,,,,0.0,4.6028591659999964,4.6028591659999964,0.038233152,0.10029772931011394,4.641092318,5.580998917465758,2784991,696248,,,,0.9829550554939156,0.24573867563665378
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8349213104134152,1.8351993847684964,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,14738,,,,,,,,,,,,,,,,0.0,0.07227700100000001,0.07227700100000001,0.000595741,0.0016270889318548143,0.07287274199999999,0.10319361193334814,44213,11054,,,,0.9175996923842482,0.22938954606111325
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9573883948213657,1.955649419218585,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,3789,,,,,,,,,,,,,,,,0.0,0.018556101,0.018556101,0.000156835,0.00046638387721031904,0.018712936,0.048620013900134026,11364,2841,,,,0.9778247096092925,0.24445617740232312
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9621122104441475,1.961943749526192,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,8795,,,,,,,,,,,,,,,,0.0,0.04282237499999999,0.04282237499999999,0.000362641,0.0011625370243564248,0.04318501599999999,0.07279550700849777,26382,6596,,,,0.980971874763096,0.245242968690774
train,windows_nonoverlap,GaGa,GaGa,89119376,89119374,1.8899569134805347,1.8908715404576337,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,29706459,,,,,,,,,,,,,,,,0.0,142.49131457099912,142.49131457099912,1.1884634139999983,3.1423836050671525,143.67977798500002,172.31378291631486,89119376,22279844,,,,0.9454357702288169,0.236358937252882
train,windows_nonoverlap,DrMe,DrMe,19308857,19308855,1.905108579208117,1.9059827213990679,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,6436286,,,,,,,,,,,,,,,,0.0,32.06392285299988,32.06392285299988,0.262327631000001,0.7006212237174623,32.326250483999985,38.638160009888026,19308857,4827215,,,,0.9529913606995339,0.23824781549731297
