split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
train,HoSa,HoSa,0,113851600,1.5438049666742055,21970583,229.8120416746439,495411.80771190947,1.6279953202238704,23168734,122.39413848199183,930204.6765642399,1.6377379085796986,38845642,12,-0.08419035354966486,94.82858749630265,94.2644704373391
train,GaGa,GaGa,1,89119376,1.8908715404576337,21064161,172.31378291631486,517192.37133387825,1.8332927286205416,20422738,80.10251845399034,1112566.4675722874,1.8246629113531365,33877671,11,0.057578811837092125,103.14073202485329,103.62854030147399
train,AnCa,AnCa,2,85313805,1.8994375880902277,20256031,166.67117145560127,511868.9948292968,1.6724217610502778,17835083,31.017515960003948,2750504.1058094176,,,,0.22701582703994982,113.57407756386668,
train,DaRe,DaRe,3,37539012,1.566240049152066,7349388,78.07054033921163,480834.5354969407,1.4965883492085514,7022556,33.562430669990135,1118483.1149182983,1.469040559724907,11488819,10,0.06965169994351461,104.6540319507598,106.6165286440669
train,OrSa,OrSa,4,25957513,1.9170752574437797,6220313,52.22717362754653,497011.61669428454,1.577150168431005,5117362,24.94059548599762,1040773.5859624245,1.5988975955008449,8646543,10,0.33992508901277474,121.553121308096,119.89981489985715
train,DrMe,DrMe,5,19308857,1.9059827213990679,4600293,38.638160009888026,499735.36511724687,1.8555459807900592,4478559,18.30507472201134,1054836.284103317,1.8597292245785606,7481093,10,0.05043674060900871,102.71816172335076,102.48710920972859
train,EnIn,EnIn,6,15841852,1.9203675126094797,3802772,31.27768730466033,506490.48459665326,1.626626482812742,3221097,14.97143062800751,1058138.824112384,1.5667528573458096,5170889,9,0.2937410297967378,118.05829628992666,122.56990651752942
train,ScPo,ScPo,7,6391293,1.9524086910113494,1559802,12.422854937038867,514478.59871117835,1.9059367173434234,1522675,7.1156626750016585,898200.6725042668,1.8917959793112287,2518963,8,0.04647197366792599,102.43827474674502,103.2039771922017
train,WaMe,WaMe,8,5486659,1.964911973737018,1347600,10.62952889834205,516171.323533989,1.94710697347876,1335389,2.5444280929805245,2156342.7220193,,,,0.01780500025825793,100.91443359305765,
train,PlFa,PlFa,9,5392027,1.840250770304149,1240335,10.630727985796389,507211.3600502461,1.6873283460932225,1137265,6.647242209990509,811167.5232619061,1.7142874946921633,1925726,7,0.1529224242109266,109.06299147791817,107.34785011277266
train,EsCo,EsCo,10,2784991,1.9659101109878312,684380,5.580998917465758,499012.81852687034,1.9035580366327933,662674,1.4766984020243399,1885957.8883421153,1.893381063466197,1098552,6,0.06235207435503787,103.27555415464677,103.83066298280474
train,HaHi,HaHi,11,2334003,1.8812623634159853,548859,4.87306816522,478959.6453130322,1.850914501823691,540005,1.2214235920109786,1910887.4392685066,1.8567194643708684,902831,5,0.0303478615922943,101.63961444801437,101.32184207232582
train,HePy,HePy,12,1000695,1.9329845757198747,241791,2.006443291000987,498740.73415788746,1.8304398443082057,228964,0.7651449110126123,1307850.298155489,1.801057065339589,375481,4,0.10254473141166898,105.6021907374085,107.32500446094477
train,AeCa,AeCa,13,954629,1.9645117936115362,234422,1.9358847659326353,493121.8101404384,1.9206204714082644,229185,0.738734509999631,1292249.0923031021,1.9112673462602345,380115,5,0.04389132220327174,102.28526785258563,102.7858189203873
train,YeMi,YeMi,14,44213,1.8351993847684964,10142,0.10319361193334814,428427.6824088249,1.8318594078664645,10124,0.09144668799126521,483483.8852143353,1.8236643189621247,16798,3,0.003339976902031916,100.18232714190233,100.63252133007332
train,AgPh,AgPh,15,26382,1.961943749526192,6470,0.07279550700849777,362412.4768705891,1.9543628231369874,6445,0.045793175988364965,576112.0391977853,1.94823743461451,10708,2,0.007580926389204601,100.3878975950349,100.70352384510022
train,BuEb,BuEb,16,11364,1.955649419218585,2778,0.048620013900134026,233730.9080853363,1.988736360436466,2825,0.06457295001018792,175987.00381827154,1.9793030623020063,4686,1,-0.03308694121788114,98.3362831858407,98.80495091762698
val,HoSa,HoSa,0,37950533,1.5734359026491618,7464091,76.2239429452723,497882.02412000566,1.6804646195614696,7971816,43.18720811401727,878744.7639543618,1.6377379085796986,38845642,12,-0.10702871691230786,93.63100444564921,96.07373038178608
val,GaGa,GaGa,1,29706458,1.8887554947651783,7013529,57.51946223774496,516459.2095318003,1.8363979980380023,6819110,27.683165279013338,1073087.4775551958,1.8246629113531365,33877671,11,0.052357496727176045,102.85109746270223,103.51257117209182
val,AnCa,AnCa,2,28437935,1.8979511626249348,6746726,55.608884478750525,511391.89837312436,1.6625930117640397,5910089,10.645502664992819,2671356.712306002,,,,0.23535815086089507,114.15608926511582,
val,DaRe,DaRe,3,12513004,1.5770794588637116,2466750,25.916575714042423,482818.5304287733,1.5994867419526118,2501798,13.231865948997438,945671.9141677894,1.469040559724907,11488819,10,-0.022407283088900165,98.59909541597413,107.3543850388335
