split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,43262523.0,60000,60000,1.8676,1.86704072265625,93.38,8646543,10,79.94487977504224,1.5988975955008449,14773,10,98.48666666666666,1.9697333333333333,61330.50526932492,0.061330505269324924,61330.50526932492,0.061330505269324924
train,windows_nonoverlap,HoSa,HoSa,189752667.0,60000,60000,1.4676,1.466864278157552,73.38,38845642,12,81.88689542898493,1.6377379085796986,14061,12,93.74,1.8748,141552.6539265514,0.1415526539265514,141552.6539265514,0.1415526539265514
train,windows_nonoverlap,DaRe,DaRe,62565020.0,60000,60000,1.2982666666666667,1.2976272705078125,64.91333333333333,11488819,10,73.45202798624535,1.469040559724907,11539,10,76.92666666666666,1.5385333333333333,142827.15153528072,0.14282715153528072,142827.15153528072,0.14282715153528072
train,windows_nonoverlap,ScPo,ScPo,10652155.0,60000,60000,1.9258666666666666,1.9253271565755208,96.29333333333334,2518963,8,94.58979896556143,1.8917959793112287,14389,8,95.92666666666668,1.9185333333333334,137709.34364997142,0.13770934364997142,137709.34364997142,0.13770934364997142
train,windows_nonoverlap,EsCo,EsCo,4641652.0,60000,60000,1.8722666666666667,1.8715155029296875,93.61333333333334,1098552,6,94.66905317330985,1.893381063466197,14776,6,98.50666666666666,1.9701333333333333,138087.97225684335,0.13808797225684336,138087.97225684335,0.13808797225684336
train,windows_nonoverlap,YeMi,YeMi,73689.0,44213,44211,1.8116758272828029,1.81107274013396,90.58379136414014,16798,3,91.18321594810624,1.8236643189621247,10124,3,91.59297039332323,1.8318594078664645,132070.7843124804,0.1320707843124804,132076.75887918606,0.13207675887918607
train,windows_nonoverlap,BuEb,BuEb,18940.0,11364,11364,1.9479056670186554,1.9488766867272747,97.39528335093277,4686,1,98.9651531151003,1.9793030623020063,2825,1,99.4368180218233,1.988736360436466,114423.46202089106,0.11442346202089107,114423.46202089106,0.11442346202089107
train,windows_nonoverlap,AgPh,AgPh,43970.0,26382,26382,1.9103934500795998,1.9101622096149837,95.51967250397999,10708,2,97.4118717307255,1.94823743461451,6445,2,97.71814115684937,1.9543628231369874,133048.9462120246,0.1330489462120246,133048.9462120246,0.1330489462120246
train,windows_nonoverlap,GaGa,GaGa,148532294.0,60000,60000,1.7593333333333334,1.7587446940104168,87.96666666666667,33877671,11,91.23314556765682,1.8246629113531365,14318,11,95.45333333333333,1.9090666666666667,138122.1956015213,0.13812219560152128,138122.1956015213,0.13812219560152128
train,windows_nonoverlap,DrMe,DrMe,32181429.0,60000,60000,1.7565333333333333,1.755924141438802,87.82666666666667,7481093,10,92.98646122892804,1.8597292245785606,13938,10,92.92,1.8584,138284.18431512653,0.13828418431512654,138284.18431512653,0.13828418431512654
train,windows_nonoverlap,EnIn,EnIn,26403087.0,60000,60000,1.8421333333333334,1.841621260579427,92.10666666666667,5170889,9,78.33764286729048,1.5667528573458096,14414,9,96.09333333333333,1.9218666666666666,136313.90626237658,0.13631390626237658,136313.90626237658,0.13631390626237658
train,windows_nonoverlap,PlFa,PlFa,8986712.0,60000,60000,1.7177333333333333,1.7170836669921874,85.88666666666667,1925726,7,85.71437473460817,1.7142874946921633,13783,7,91.88666666666667,1.8377333333333334,138846.14066935028,0.13884614066935028,138846.14066935028,0.13884614066935028
train,windows_nonoverlap,HePy,HePy,1667825.0,60000,60000,1.792,1.791316552734375,89.60000000000001,375481,4,90.05285326697945,1.801057065339589,14110,4,94.06666666666666,1.8813333333333333,137472.90618095826,0.13747290618095825,137472.90618095826,0.13747290618095825
train,windows_nonoverlap,AeCa,AeCa,1591049.0,60000,60000,1.8941333333333332,1.8935248697916667,94.70666666666666,380115,5,95.56336731301172,1.9112673462602345,14873,5,99.15333333333334,1.9830666666666668,136012.2536518087,0.13601225365180872,136012.2536518087,0.13601225365180872
train,windows_nonoverlap,HaHi,HaHi,3890005.0,60000,60000,1.7738666666666667,1.77307470703125,88.69333333333333,902831,5,92.83597321854342,1.8567194643708684,14189,5,94.59333333333333,1.8918666666666666,138186.67061136226,0.13818667061136228,138186.67061136226,0.13818667061136228
train,windows_nonoverlap,AnCa,AnCa,142189675.0,60000,60000,1.4488,1.4481318094889324,72.44,,,,,14307,5,95.38,1.9076,142315.45600819768,0.14231545600819767,142315.45600819768,0.14231545600819767
train,windows_nonoverlap,WaMe,WaMe,9144432.0,60000,60000,1.932,1.9314687337239584,96.6,,,,,14927,5,99.51333333333334,1.9902666666666666,137871.22404419017,0.13787122404419017,137871.22404419017,0.13787122404419017
