split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,OrSa,OrSa,25957513,25957512,1.768733402093527,1.7696512670397686,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,8652505,,,,,,,,,,,,,,,,0.0,42.23644825199984,42.23644825199984,0.304109967999999,0.8427768100518733,42.54055822000004,49.82624426122851,25957513,6489379,,,,0.8848256335198843,0.22120639985810658
train,windows_nonoverlap,HoSa,HoSa,113851600,113851599,1.5095716683222313,1.5105312662319306,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,37950534,,,,,,,,,,,,,,,,0.0,181.9926439529992,181.9926439529992,1.224102036000003,3.6049559236271307,183.21674598899972,214.1495029332682,113851600,28462900,,,,0.7552656331159653,0.18881640662054816
train,windows_nonoverlap,DaRe,DaRe,37539012,37539012,1.5036058205863474,1.504530593399741,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,12513005,,,,,,,,,,,,,,,,0.0,61.01022563299988,61.01022563299988,0.405400528,1.2209908259683289,61.415626161000375,71.62970778598884,37539012,9384753,,,,0.7522652966998705,0.18806632417496763
train,windows_nonoverlap,ScPo,ScPo,6391293,6391293,1.928894819409977,1.929772895719223,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2130432,,,,,,,,,,,,,,,,0.0,9.896765592999987,9.896765592999987,0.07739651200000004,0.21162225917214528,9.974162104999992,11.749804366316527,6391293,1597824,,,,0.9648864478596115,0.24122161196490288
train,windows_nonoverlap,EsCo,EsCo,2784991,2784990,1.8860728437205172,1.8869870268834,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,928331,,,,,,,,,,,,,,,,0.0,4.453889859999997,4.453889859999997,0.03343939799999999,0.09252097265562043,4.487329257999998,5.264107598514282,2784991,696248,,,,0.9434935134417,0.23587329366594004
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8113224084503856,1.8118567777250005,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,14738,,,,,,,,,,,,,,,,0.0,0.07093135299999999,0.07093135299999999,0.000526624,0.0014381558867171407,0.071457977,0.09711325587782083,44213,11054,,,,0.9059283888625003,0.22647185217017618
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9488766867272747,1.9479056670186554,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,3789,,,,,,,,,,,,,,,,0.0,0.018168815999999997,0.018168815999999997,0.000142944,0.0004132009926252067,0.01831176,0.042888822984462824,11364,2841,,,,0.9739528335093277,0.24348820837733193
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9101622096149837,1.9103934500795998,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,8795,,,,,,,,,,,,,,,,0.0,0.041607410000000004,0.041607410000000004,0.0003172,0.0009084630291908979,0.04192461000000001,0.06695440303244501,26382,6596,,,,0.9551967250397999,0.23879918125994998
train,windows_nonoverlap,GaGa,GaGa,89119376,89119374,1.803443643768237,1.8043623152020793,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,29706459,,,,,,,,,,,,,,,,0.0,140.83916702300056,140.83916702300056,1.0450108500000028,2.837208896817174,141.88417787299943,166.25127040941254,89119376,22279844,,,,0.9021811576010397,0.22554528433861565
train,windows_nonoverlap,DrMe,DrMe,19308857,19308855,1.8553862905274914,1.856264599842922,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,6436286,,,,,,,,,,,,,,,,0.0,31.061273079000127,31.061273079000127,0.2328225369999997,0.6256220850627869,31.294095616000078,36.583679962697744,19308857,4827215,,,,0.928132299921461,0.2320330509465164
