split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
train,HoSa,HoSa,0,113851600,1.5105312662319306,21497050,214.1495029332682,531645.4039843262,1.6279953202238704,23168734,122.39413848199183,930204.6765642399,1.6377379085796986,38845642,12,-0.11746405399193982,92.7847425276513,92.23278390996727
train,GaGa,GaGa,1,89119376,1.8043623152020793,20100455,166.25127040941254,536052.2886864772,1.8332927286205416,20422738,80.10251845399034,1112566.4675722874,1.8246629113531365,33877671,11,-0.028930413418462253,98.42194249904482,98.88743306915782
train,AnCa,AnCa,2,85313805,1.5629762146935071,16667931,162.16758501595626,526084.2047540244,1.6724217610502778,17835083,31.017515960003948,2750504.1058094176,,,,-0.10944554635677073,93.45586448910835,
train,DaRe,DaRe,3,37539012,1.504530593399741,7059824,71.62970778598884,524070.4333480868,1.4965883492085514,7022556,33.562430669990135,1118483.1149182983,1.469040559724907,11488819,10,0.007942244191189607,100.53068996530608,102.41586479283322
train,OrSa,OrSa,4,25957513,1.7696512670397686,5741968,49.82624426122851,520960.63801056787,1.577150168431005,5117362,24.94059548599762,1040773.5859624245,1.5988975955008449,8646543,10,0.19250109860876363,112.205629017576,110.67946265097962
train,DrMe,DrMe,5,19308857,1.856264599842922,4480293,36.583679962697744,527799.6915479285,1.8555459807900592,4478559,18.30507472201134,1054836.284103317,1.8597292245785606,7481093,10,0.0007186190528627456,100.03872817274822,99.81370273210479
train,EnIn,EnIn,6,15841852,1.8657208680980524,3694559,29.943661060940116,529055.2470440842,1.626626482812742,3221097,14.97143062800751,1058138.824112384,1.5667528573458096,5170889,9,0.23909438528531046,114.69878843186369,119.0820147128192
train,ScPo,ScPo,7,6391293,1.929772895719223,1541718,11.749804366316527,543948.8863595115,1.9059367173434234,1522675,7.1156626750016585,898200.6725042668,1.8917959793112287,2518963,8,0.023836178375799655,101.25062800663306,102.0074530669962
train,WaMe,WaMe,8,5486659,1.9343607711652522,1326647,10.152946049231364,540400.5865288107,1.94710697347876,1335389,2.5444280929805245,2156342.7220193,,,,-0.01274620231350787,99.34537739902729,
train,PlFa,PlFa,9,5392027,1.7635790331871546,1188658,10.205979800423034,528320.2696302126,1.6873283460932225,1137265,6.647242209990509,811167.5232619061,1.7142874946921633,1925726,7,0.07625068709393212,104.51901891356712,102.87533675930143
train,EsCo,EsCo,10,2784991,1.8869870268834,656905,5.264107598514282,529052.6357755346,1.9035580366327933,662674,1.4766984020243399,1885957.8883421153,1.893381063466197,1098552,6,-0.016571009749393406,99.12947178754234,99.66229531359674
train,HaHi,HaHi,11,2334003,1.7761690966121295,518198,4.413163355976396,528873.0127878103,1.850914501823691,540005,1.2214235920109786,1910887.4392685066,1.8567194643708684,902831,5,-0.07474540521156148,95.96170405829575,95.66168345275399
train,HePy,HePy,12,1000695,1.7947366580226742,224498,1.9182866970566526,521660.814066755,1.8304398443082057,228964,0.7651449110126123,1307850.298155489,1.801057065339589,375481,4,-0.035703186285531485,98.04947502664174,99.64907234542716
train,AeCa,AeCa,13,954629,1.8620047411187826,222190,1.81673771705339,525462.2013068195,1.9206204714082644,229185,0.738734509999631,1292249.0923031021,1.9112673462602345,380115,5,-0.05861573028948186,96.94808364473472,97.42251625666897
train,YeMi,YeMi,14,44213,1.8118567777250005,10013,0.09711325587782083,455251.9591725182,1.8318594078664645,10124,0.09144668799126521,483483.8852143353,1.8236643189621247,16798,3,-0.020002630141463973,98.9080695791627,99.35253757424809
train,AgPh,AgPh,15,26382,1.9103934500795998,6300,0.06695440303244501,394029.3513962885,1.9543628231369874,6445,0.045793175988364965,576112.0391977853,1.94823743461451,10708,2,-0.04396937305738757,97.75019394879752,98.05752708255511
train,BuEb,BuEb,16,11364,1.9479056670186554,2767,0.042888822984462824,264964.13772224047,1.988736360436466,2825,0.06457295001018792,175987.00381827154,1.9793030623020063,4686,1,-0.04083069341781065,97.94690265486724,98.41371461089771
val,HoSa,HoSa,0,37950533,1.5943266775371339,7563193,71.4050530635877,531482.4283682592,1.6804646195614696,7971816,43.18720811401727,878744.7639543618,1.6377379085796986,38845642,12,-0.08613794202433578,94.87415914493849,97.349317566923
val,GaGa,GaGa,1,29706458,1.8258258743486602,6779852,55.39842257101815,536232.885727346,1.8363979980380023,6819110,27.683165279013338,1073087.4775551958,1.8246629113531365,33877671,11,-0.010572123689342128,99.42430106650968,100.06373577214111
