split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,windows_nonoverlap,HoSa,HoSa,189752667.0,189752667,189752667,1.6296198882938493,1.628657073650067,81.48099441469246,38845642,12,81.88689542898493,1.6377379085796986,38845642,12,81.88689542898493,1.6377379085796986,577395.6345555531,0.5773956345555531,577395.6345555531,0.5773956345555531
full,windows_nonoverlap,GaGa,GaGa,148532294.0,148532294,148532292,1.8886675498146894,1.8877434799689337,94.43337749073447,33877671,11,91.23314556765682,1.8246629113531365,33877671,11,91.23314556765682,1.8246629113531365,590674.2977359893,0.5906742977359893,590674.3056894692,0.5906743056894692
full,windows_nonoverlap,AnCa,AnCa,142189675.0,142189675,142189674,1.8962569672956702,1.8953658937512783,94.8128483647835,,,,,29481172,5,82.93477567903577,1.6586955135807153,589065.0379638819,0.5890650379638819,589065.0421066935,0.5890650421066935
full,windows_nonoverlap,DaRe,DaRe,62565020.0,62565020,62565018,1.8560758026154487,1.8551715266524715,92.80379013077244,11488819,10,73.45202798624535,1.469040559724907,11488819,10,73.45202798624535,1.469040559724907,594322.8409331755,0.5943228409331756,594322.8599317424,0.5943228599317424
full,windows_nonoverlap,OrSa,OrSa,43262523.0,43262523,43262523,1.893455728414175,1.8925775235664857,94.67278642070876,8646543,10,79.94487977504224,1.5988975955008449,8646543,10,79.94487977504224,1.5988975955008449,595897.4127246141,0.5958974127246142,595897.4127246141,0.5958974127246142
full,windows_nonoverlap,DrMe,DrMe,32181429.0,32181429,32181429,1.907059130282872,1.906196932724407,95.3529565141436,7481093,10,92.98646122892804,1.8597292245785606,7481093,10,92.98646122892804,1.8597292245785606,599002.2744083806,0.5990022744083806,599002.2744083806,0.5990022744083806
full,windows_nonoverlap,EnIn,EnIn,26403087.0,26403087,26403087,1.895257778001489,1.894373770485862,94.76288890007444,5170889,9,78.33764286729048,1.5667528573458096,5170889,9,78.33764286729048,1.5667528573458096,598268.5857944957,0.5982685857944956,598268.5857944957,0.5982685857944956
full,windows_nonoverlap,ScPo,ScPo,10652155.0,10652155,10652154,1.9246954184102107,1.9238460896122658,96.23477092051054,2518963,8,94.58979896556143,1.8917959793112287,2518963,8,94.58979896556143,1.8917959793112287,599797.2804114476,0.5997972804114476,599797.3367190527,0.5997973367190528
full,windows_nonoverlap,WaMe,WaMe,9144432.0,9144432,9144432,1.9323269066903226,1.9314864002910972,96.61634533451613,,,,,2217655,5,97.00569701868854,1.9401139403737706,595384.7234185208,0.5953847234185208,595384.7234185208,0.5953847234185208
full,windows_nonoverlap,PlFa,PlFa,8986712.0,8986712,8986710,1.8064257108552517,1.8055334243055596,90.32128554276258,1925726,7,85.71437473460817,1.7142874946921633,1925726,7,85.71437473460817,1.7142874946921633,596997.3093969214,0.5969973093969214,596997.4422591834,0.5969974422591834
full,windows_nonoverlap,EsCo,EsCo,4641652.0,4641652,4641651,1.7697513233976445,1.768812843650032,88.48756616988223,1098552,6,94.66905317330985,1.893381063466197,1098552,6,94.66905317330985,1.893381063466197,581382.6551115225,0.5813826551115225,581382.780364941,0.581382780364941
full,windows_nonoverlap,HaHi,HaHi,3890005.0,3890005,3890004,1.75838790911269,1.7575309150198255,87.9193954556345,902831,5,92.83597321854342,1.8567194643708684,902831,5,92.83597321854342,1.8567194643708684,588314.8553223959,0.5883148553223959,588315.0065599923,0.5883150065599924
full,windows_nonoverlap,HePy,HePy,1667825.0,1667825,1667823,1.7802320749863745,1.7793176759979552,89.01160374931872,375481,4,90.05285326697945,1.801057065339589,375481,4,90.05285326697945,1.801057065339589,582924.9098013256,0.5829249098013256,582925.6088262339,0.5829256088262339
full,windows_nonoverlap,AeCa,AeCa,1591049.0,1591049,1591047,1.8384120645084652,1.8375273624606547,91.92060322542326,380115,5,95.56336731301172,1.9112673462602345,380115,5,95.56336731301172,1.9112673462602345,579506.3451032009,0.5795063451032009,579507.0735623164,0.5795070735623163
full,windows_nonoverlap,YeMi,YeMi,73689.0,73689,73689,1.757222923367124,1.756656876524566,87.8611461683562,16798,3,91.18321594810624,1.8236643189621247,16798,3,91.18321594810624,1.8236643189621247,497588.46788090345,0.49758846788090344,497588.46788090345,0.49758846788090344
full,windows_nonoverlap,AgPh,AgPh,43970.0,43970,43968,1.8608078602620088,1.8600643107984784,93.04039301310044,10708,2,97.4118717307255,1.94823743461451,10708,2,97.4118717307255,1.94823743461451,433803.9897851937,0.4338039897851937,433823.72249943065,0.43382372249943063
full,windows_nonoverlap,BuEb,BuEb,18940.0,18940,18939,1.9363218754950102,1.9364373327793343,96.81609377475051,4686,1,98.9651531151003,1.9793030623020063,4686,1,98.9651531151003,1.9793030623020063,315702.25117151893,0.31570225117151895,315718.9205971048,0.3157189205971048
