split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,OrSa,OrSa,25957513,25957512,1.897142433034083,1.898019193827205,model_symbol,3,python,32768,127,0.01,0.003875732421875,8652505,,,,,,,,,,,,,,,,0.0,95.21966059086844,95.21966059086844,43.04127668798901,14.762800068361685,138.26093727885745,161.55609366548015,25957513,6489379,,,,0.9490095969136025,0.23725239008837248
train,windows_nonoverlap,HoSa,HoSa,113851600,113851599,1.8761074852631505,1.8770389689476386,model_symbol,3,python,32768,127,0.01,0.003875732421875,37950534,,,,,,,,,,,,,,,,0.0,421.8663165201433,421.8663165201433,178.90406845335383,73.30099065811373,600.7703849734971,710.5694361098576,113851600,28462900,,,,0.9385194844738193,0.23462986905761535
train,windows_nonoverlap,DaRe,DaRe,37539012,37539012,1.8422857958385295,1.8431728570799892,model_symbol,3,python,32768,127,0.01,0.003875732421875,12513005,,,,,,,,,,,,,,,,0.0,139.3967455191305,139.3967455191305,58.211942194844596,23.678151525440626,197.6086877139751,233.32326775352703,37539012,9384753,,,,0.9215864285399946,0.23039660713499865
train,windows_nonoverlap,ScPo,ScPo,6391293,6391293,1.9269315975894616,1.9277739261836377,model_symbol,3,python,32768,127,0.01,0.003875732421875,2130432,,,,,,,,,,,,,,,,0.0,24.035285728401504,24.035285728401504,10.51003550470341,4.216248363954946,34.545321233104914,40.94270214252174,6391293,1597824,,,,0.9638869630918189,0.24097174077295472
train,windows_nonoverlap,EsCo,EsCo,2784991,2784990,1.7963895052943133,1.7973321268658056,model_symbol,3,python,32768,127,0.01,0.003875732421875,928331,,,,,,,,,,,,,,,,0.0,10.009973395906854,10.009973395906854,4.140998632879928,1.920588702603709,14.150972028786782,16.97041947278194,2784991,696248,,,,0.8986660634329028,0.22466643518776183
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.7648488480666575,1.7653525140802062,model_symbol,3,python,32768,127,0.01,0.003875732421875,14738,,,,,,,,,,,,,,,,0.0,0.15904661192325875,0.15904661192325875,0.0652480780845508,0.03145687188953161,0.22429469000780955,0.287301255913917,44213,11054,,,,0.8826762570401031,0.22065908217040237
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9363389785589362,1.9359380499824006,model_symbol,3,python,32768,127,0.01,0.003875732421875,3789,,,,,,,,,,,,,,,,0.0,0.040692523936741054,0.040692523936741054,0.017811974976211786,0.00735360401449725,0.05850449891295284,0.09636218391824514,11364,2841,,,,0.9679690249912003,0.24199225624780007
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.8598397204118813,1.8597528617997119,model_symbol,3,python,32768,127,0.01,0.003875732421875,8795,,,,,,,,,,,,,,,,0.0,0.09568890393711627,0.09568890393711627,0.039582100114785135,0.02140231989324093,0.1352710040519014,0.18637286993907765,26382,6596,,,,0.9298764308998559,0.23246910772496399
train,windows_nonoverlap,GaGa,GaGa,89119376,89119374,1.8874363932860734,1.8883695480176959,model_symbol,3,python,32768,127,0.01,0.003875732421875,29706459,,,,,,,,,,,,,,,,0.0,325.9191906740307,325.9191906740307,139.94525103998603,53.804263970814645,465.8644417140167,547.392816065927,89119376,22279844,,,,0.9441847740088479,0.23604618820490844
train,windows_nonoverlap,DrMe,DrMe,19308857,19308855,1.9090514050965055,1.909907552778246,model_symbol,3,python,32768,127,0.01,0.003875732421875,6436286,,,,,,,,,,,,,,,,0.0,71.86280533380341,71.86280533380341,31.815343103196938,11.058579540636856,103.67814843700035,120.81861496693455,19308857,4827215,,,,0.954953776389123,0.23873841936889376
