model,model_window_position,base_count,mean_bpb
megabyte1,0,16,1.9929522941062892
megabyte1,1,16,2.0000805538404127
megabyte1,2,16,1.9134907977899165
megabyte1,3,16,2.034533135542888
megabyte1,4,16,1.9774131271410946
megabyte1,5,16,2.1116618594238457
megabyte1,6,16,1.988960672124451
megabyte1,7,16,1.9459038996117597
megabyte1,8,16,2.0870561336208326
megabyte1,9,16,1.9361842085031706
megabyte1,10,16,2.0049984984480567
megabyte1,11,16,1.8676870934300362
megabyte1,12,16,1.9444441002036235
megabyte1,13,16,1.986564561281714
megabyte1,14,16,2.061080859408515
megabyte1,15,16,1.786596568926101
megabyte1,16,16,1.9881801983642278
megabyte1,17,16,1.8104727502777607
megabyte1,18,16,1.9220558550695621
megabyte1,19,16,1.885693180905345
megabyte1,20,16,2.0175627544812236
megabyte1,21,16,2.0818877264752347
megabyte1,22,16,2.080236856867283
megabyte1,23,16,1.8813122511103362
megabyte1,24,16,1.9978915172722056
megabyte1,25,16,2.091978209707371
megabyte1,26,16,1.972823223207724
megabyte1,27,16,1.9114447176830867
megabyte1,28,16,1.760244424647243
megabyte1,29,16,1.9929286571776963
megabyte1,30,16,1.950372443492183
megabyte1,31,16,1.8704852733002144
megabyte1,32,16,1.9549890113614896
megabyte1,33,16,1.863546630660973
megabyte1,34,16,1.92027709768174
megabyte1,35,16,2.001434492461741
megabyte1,36,16,1.9946154414239097
megabyte1,37,16,1.993068249526653
megabyte1,38,16,1.8678906489260612
megabyte1,39,16,1.9786953811356984
megabyte1,40,16,1.9000795252276497
megabyte1,41,16,1.8221743669552783
megabyte1,42,16,1.9061251137683346
megabyte1,43,16,1.8537378094345816
megabyte1,44,16,1.8419876846311607
megabyte1,45,16,1.9654691817003929
megabyte1,46,16,1.9038807354644687
megabyte1,47,16,1.7474656193370723
megabyte1,48,16,1.9590459301002952
megabyte1,49,16,1.945356682424045
megabyte1,50,16,1.620734988699816
megabyte1,51,16,1.9113331651391547
megabyte1,52,16,1.8395357228647446
megabyte1,53,16,1.974099262523811
megabyte1,54,16,1.7763442744101077
megabyte1,55,16,1.6874280149036105
megabyte1,56,16,1.81678869397509
megabyte1,57,16,1.879707895180468
megabyte1,58,16,1.6603133269258603
megabyte1,59,16,1.8334406321862333
megabyte1,60,16,1.8669615742698404
megabyte1,61,16,1.9018036727039516
megabyte1,62,16,2.0371027905770065
megabyte1,63,16,1.8270850757150374
megabyte1,64,16,2.0360426970915837
megabyte1,65,16,1.8456765878967225
megabyte1,66,16,1.7473138339010437
megabyte1,67,16,1.8554724039214625
megabyte1,68,16,1.825073089900599
megabyte1,69,16,1.8022789133840889
megabyte1,70,16,1.8619720973181402
megabyte1,71,16,1.8743153517618605
