window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,35026215,35029287,3072,5866.861098527179,1.9097855138434827,megabyte1,3072
1,3072,6144,35029287,35032359,3072,5657.047039321564,1.8414866664458216,megabyte1,3072
2,6144,9216,35032359,35035431,3072,5814.40121154782,1.8927087277173893,megabyte1,3072
3,9216,12288,35035431,35038503,3072,5769.305579932509,1.8780291601342805,megabyte1,3072
4,12288,15360,35038503,35041575,3072,5792.98659778651,1.8857378248002963,megabyte1,3072
5,15360,18432,35041575,35044647,3072,5699.214759530422,1.855213137867976,megabyte1,3072
6,18432,21504,35044647,35047719,3072,5655.774788597367,1.841072522329872,megabyte1,3072
7,21504,24576,35047719,35050791,3072,5702.122203110864,1.8561595713251509,megabyte1,3072
8,24576,27648,35050791,35053863,3072,5894.686888601909,1.9188433882167673,megabyte1,3072
9,27648,30720,35053863,35056935,3072,5645.610096718816,1.8377637033589895,megabyte1,3072
10,30720,33792,35056935,35060007,3072,5942.766452456626,1.934494287909058,megabyte1,3072
11,33792,36864,35060007,35063079,3072,5855.3641368620765,1.9060430133014572,megabyte1,3072
12,36864,39936,35063079,35066151,3072,5645.135745955742,1.8376092923033014,megabyte1,3072
13,39936,43008,35066151,35069223,3072,5512.208237632172,1.7943386190208894,megabyte1,3072
14,43008,46080,35069223,35072295,3072,5816.623062721206,1.8934319865628926,megabyte1,3072
15,46080,49152,35072295,35075367,3072,5508.012178162749,1.7929727142456864,megabyte1,3072
