model,model_window_position,base_count,mean_bpb
megabyte1,0,16,1.9944563306766916
megabyte1,1,16,2.026748378687108
megabyte1,2,16,2.0318426800651306
megabyte1,3,16,1.9305841450905779
megabyte1,4,16,1.833534548023906
megabyte1,5,16,1.948067217841189
megabyte1,6,16,2.044569303735868
megabyte1,7,16,1.9332550362353242
megabyte1,8,16,2.149567539502157
megabyte1,9,16,1.9699539983470185
megabyte1,10,16,1.9494062417761304
megabyte1,11,16,1.843170479035851
megabyte1,12,16,1.8606213935673916
megabyte1,13,16,2.122452029747207
megabyte1,14,16,2.0992737846141307
megabyte1,15,16,2.0435015904372333
megabyte1,16,16,2.01860866243955
megabyte1,17,16,2.0319422856333578
megabyte1,18,16,2.0341402651638942
megabyte1,19,16,1.9734050198649953
megabyte1,20,16,2.05542328901083
megabyte1,21,16,2.064745179821714
megabyte1,22,16,1.7907558681791933
megabyte1,23,16,2.05634155326375
megabyte1,24,16,1.9516322622320166
megabyte1,25,16,2.0375399516900368
megabyte1,26,16,2.065105772534059
megabyte1,27,16,1.870119704277227
megabyte1,28,16,2.023232337909987
megabyte1,29,16,2.195220865619004
megabyte1,30,16,1.897849442965421
megabyte1,31,16,1.9233058919604178
megabyte1,32,16,1.9794622201533376
megabyte1,33,16,1.9184368875676991
megabyte1,34,16,1.8669829844596353
megabyte1,35,16,1.9183974729180933
megabyte1,36,16,1.9272340182999548
megabyte1,37,16,1.7281079647229138
megabyte1,38,16,1.9303250532212588
megabyte1,39,16,1.925578577050778
megabyte1,40,16,1.9163486573194626
megabyte1,41,16,2.0944101734879466
megabyte1,42,16,1.9088519327206999
megabyte1,43,16,1.9931107515633206
megabyte1,44,16,1.7879366726381853
megabyte1,45,16,2.05912098196128
megabyte1,46,16,1.7593660291620163
megabyte1,47,16,1.8478368833627203
megabyte1,48,16,1.749181016875169
megabyte1,49,16,1.979737572331679
megabyte1,50,16,2.229989524626645
megabyte1,51,16,1.9016864215673053
megabyte1,52,16,1.878034378760757
megabyte1,53,16,2.1535518061240095
megabyte1,54,16,1.8539599068357728
megabyte1,55,16,1.8038703869548134
megabyte1,56,16,2.0568637559994594
megabyte1,57,16,1.9363678024462263
megabyte1,58,16,2.054780230830365
megabyte1,59,16,2.085747028369087
megabyte1,60,16,1.9244277417142805
megabyte1,61,16,1.9883569104579095
megabyte1,62,16,1.9246774692105795
megabyte1,63,16,2.0948375594585267
megabyte1,64,16,1.880460501535721
megabyte1,65,16,1.966823374317979
megabyte1,66,16,1.7768767178670137
megabyte1,67,16,1.9862895356833659
megabyte1,68,16,1.9129668213493654
megabyte1,69,16,1.8697399419059673
megabyte1,70,16,1.9162892530008484
megabyte1,71,16,1.8187881885164496
megabyte1,72,16,1.7373358174408133
megabyte1,73,16,1.8138199400965296
megabyte1,74,16,2.0116653680733196
megabyte1,75,16,1.835633937643922
megabyte1,76,16,2.150811584553053
megabyte1,77,16,2.054908165443095
megabyte1,78,16,1.9609336252688014
megabyte1,79,16,1.902803505253689
megabyte1,80,16,1.8368535271583841
megabyte1,81,16,1.8871750763732948
megabyte1,82,16,2.10162413439749
megabyte1,83,16,1.8390982029059844
megabyte1,84,16,1.8726998859673083
megabyte1,85,16,1.795177688293363
megabyte1,86,16,1.8776122569343991
megabyte1,87,16,1.8323457354372021
megabyte1,88,16,1.7836303742636872
megabyte1,89,16,1.8070154445864028
megabyte1,90,16,1.7765212732093871
megabyte1,91,16,1.8072489157399358
megabyte1,92,16,1.908600138978958
megabyte1,93,16,1.8761979915352198
megabyte1,94,16,2.0064368336387597
megabyte1,95,16,1.9092721596863795
megabyte1,96,16,1.7708905166331033
megabyte1,97,16,1.8297407376910364
megabyte1,98,16,1.8125231022615755
megabyte1,99,16,1.877018742368942
megabyte1,100,16,1.8282641158825603
megabyte1,101,16,2.014427869837471
megabyte1,102,16,1.725299095988371
megabyte1,103,16,1.8981792182105997
megabyte1,104,16,1.9085065897213334
megabyte1,105,16,2.148505426915561
megabyte1,106,16,1.8278917966468262
megabyte1,107,16,1.9248417722687923
megabyte1,108,16,1.924889516371352
megabyte1,109,16,1.9982524074000225
megabyte1,110,16,2.1277054667997537
megabyte1,111,16,2.108081700306348
megabyte1,112,16,1.8453040586897393
megabyte1,113,16,1.7548357050970893
megabyte1,114,16,1.7763311659103045
megabyte1,115,16,1.6717802667904798
megabyte1,116,16,1.9065791378965906
megabyte1,117,16,1.8070515196133752
megabyte1,118,16,2.155205883054207
megabyte1,119,16,1.6745799031842759
megabyte1,120,16,1.953359796515851
megabyte1,121,16,1.670629339150824
megabyte1,122,16,2.1083890034078645
megabyte1,123,16,1.7417404699725785
megabyte1,124,16,1.8036623566461933
megabyte1,125,16,1.7543049822693804
megabyte1,126,16,1.617602900571276
megabyte1,127,16,1.9252706229299859
megabyte1,128,16,1.6876678159752467
megabyte1,129,16,1.7384899317859634
megabyte1,130,16,1.7783679207295648
megabyte1,131,16,1.9511792041682567
megabyte1,132,16,1.8298405893119802
megabyte1,133,16,1.8962706772193354
megabyte1,134,16,1.7102932999705331
megabyte1,135,16,2.1138619650071955
megabyte1,136,16,1.627269696730858
megabyte1,137,16,1.9610943338132416
megabyte1,138,16,1.8005023352179643
megabyte1,139,16,1.7432272267142361
megabyte1,140,16,1.9282979694640288
megabyte1,141,16,1.7608106824911827
megabyte1,142,16,1.8154932840766462
megabyte1,143,16,1.8962883750940196
megabyte1,144,16,2.128754371096869
megabyte1,145,16,1.779928339079192
megabyte1,146,16,1.5195506842108877
megabyte1,147,16,1.9728611771195255
megabyte1,148,16,1.8510430890212903
megabyte1,149,16,1.9851584036841528
megabyte1,150,16,2.0869738159094897
megabyte1,151,16,2.0134077268734227
megabyte1,152,16,1.965517815749826
megabyte1,153,16,1.8710387395702048
megabyte1,154,16,2.2431356050580495
megabyte1,155,16,2.225971602098206
megabyte1,156,16,1.734228687002115
megabyte1,157,16,2.04475173186386
megabyte1,158,16,1.9301948939776798
megabyte1,159,16,1.9840962688280348
megabyte1,160,16,1.89680176869835
megabyte1,161,16,1.9952121444367206
megabyte1,162,16,1.9005987339046964
megabyte1,163,16,2.015090886095744
megabyte1,164,16,1.7695895208239072
megabyte1,165,16,1.7161349741873426
megabyte1,166,16,1.8266572246999824
megabyte1,167,16,1.99200279995467
megabyte1,168,16,1.768507682391209
megabyte1,169,16,1.5671939145472884
megabyte1,170,16,1.6383897973048667
megabyte1,171,16,1.995554600325836
megabyte1,172,16,2.0187053961779
megabyte1,173,16,2.0047995457406462
megabyte1,174,16,1.753096271284482
megabyte1,175,16,1.9668403160890402
megabyte1,176,16,2.101824246312491
megabyte1,177,16,1.8604378661097598
megabyte1,178,16,1.812493368901251
megabyte1,179,16,1.8559818476613676
megabyte1,180,16,1.7501468732136107
megabyte1,181,16,1.6587848136421228
megabyte1,182,16,1.9478971131454248
