model,model_window_position,base_count,mean_bpb
megabyte1,0,16,2.014301872862302
megabyte1,1,16,1.9402554674839123
megabyte1,2,16,2.087219019137807
megabyte1,3,16,1.9711818840552067
megabyte1,4,16,1.934478642924284
megabyte1,5,16,2.041442097275203
megabyte1,6,16,1.9659925193458085
megabyte1,7,16,1.9221992485441277
megabyte1,8,16,1.8582983852869461
megabyte1,9,16,1.9362141467418656
megabyte1,10,16,1.9676103331360144
megabyte1,11,16,1.9527005630255498
megabyte1,12,16,1.867895483193717
megabyte1,13,16,2.0759488029011024
megabyte1,14,16,2.161339094453428
megabyte1,15,16,1.9509535658811845
megabyte1,16,16,1.9717498369926023
megabyte1,17,16,1.9095759060881965
megabyte1,18,16,1.8945076926781776
megabyte1,19,16,1.9788316590114445
megabyte1,20,16,1.9809158997103775
megabyte1,21,16,1.8603144299729983
megabyte1,22,16,2.0467547341432075
megabyte1,23,16,2.045400090854278
megabyte1,24,16,2.165820347403015
megabyte1,25,16,1.9253013105130865
megabyte1,26,16,1.9176626156912062
megabyte1,27,16,1.9235420437590975
megabyte1,28,16,2.0675657913329677
megabyte1,29,16,1.810908495422823
megabyte1,30,16,2.1714659134828715
megabyte1,31,16,2.046278223162735
megabyte1,32,16,1.980329248540715
megabyte1,33,16,1.9400873709028097
megabyte1,34,16,1.93337328842832
megabyte1,35,16,1.9873991333681702
megabyte1,36,16,2.092167313447046
megabyte1,37,16,1.7716435836927145
megabyte1,38,16,1.9207728480769888
megabyte1,39,16,1.8767027437274781
megabyte1,40,16,2.050390981019935
megabyte1,41,16,1.8595602494037182
megabyte1,42,16,1.9123784468829843
megabyte1,43,16,1.9697355838960937
megabyte1,44,16,1.6999356565950725
megabyte1,45,16,1.9103546811884842
megabyte1,46,16,2.1851090190824385
megabyte1,47,16,2.0009318448084894
megabyte1,48,16,1.6991507690574865
megabyte1,49,16,1.9923289722138087
megabyte1,50,16,1.9702725924698687
megabyte1,51,16,1.7576319019057631
megabyte1,52,16,2.10024093466358
megabyte1,53,16,1.8873958870164047
megabyte1,54,16,2.0027686857616462
megabyte1,55,16,1.9304070719212003
megabyte1,56,16,1.9410895067395268
megabyte1,57,16,1.8954641018373823
megabyte1,58,16,1.995190466904294
megabyte1,59,16,1.9067522885186112
megabyte1,60,16,1.9877831637371803
megabyte1,61,16,1.768961069213414
megabyte1,62,16,1.9969495385767724
megabyte1,63,16,2.071927647156379
megabyte1,64,16,1.9612942787600975
megabyte1,65,16,1.7945898751203662
megabyte1,66,16,1.9320383384605888
megabyte1,67,16,2.0369650373740327
megabyte1,68,16,2.1452367280789306
megabyte1,69,16,1.7814250811207133
megabyte1,70,16,2.0296558878706668
megabyte1,71,16,1.822212810287935
megabyte1,72,16,1.9184887073639545
megabyte1,73,16,2.0502675299225093
megabyte1,74,16,2.0229479891986726
megabyte1,75,16,2.050512593123823
megabyte1,76,16,1.8877712602654912
megabyte1,77,16,2.1157966956403036
megabyte1,78,16,1.937504897566117
megabyte1,79,16,1.8138150611179018
megabyte1,80,16,2.027240267625066
megabyte1,81,16,1.9049513421670532
megabyte1,82,16,1.966141307477591
megabyte1,83,16,2.045429422559988
megabyte1,84,16,1.8839375436327266
megabyte1,85,16,1.9226730537608274
megabyte1,86,16,1.972373402251546
megabyte1,87,16,1.9123861463102056
megabyte1,88,16,2.0650596382631443
megabyte1,89,16,1.9527339361032279
megabyte1,90,16,1.7769872060451335
megabyte1,91,16,1.9370652929370484
megabyte1,92,16,1.8836315895534328
megabyte1,93,16,1.9056909156561979
megabyte1,94,16,1.9451302118908296
