window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,120820845,120823917,3072,5839.6020314723155,1.9009121196198944,megabyte1,3072
1,3072,6144,120823917,120826989,3072,5655.069333563854,1.8408428820194838,megabyte1,3072
2,6144,9216,120826989,120830061,3072,5882.55669034941,1.9148947559731153,megabyte1,3072
3,9216,12288,120830061,120833133,3072,5835.891987686444,1.8997044230750142,megabyte1,3072
4,12288,15360,120833133,120836205,3072,5817.435653323119,1.8936965017327863,megabyte1,3072
5,15360,18432,120836205,120839277,3072,5658.617614060997,1.841997921243814,megabyte1,3072
6,18432,21504,120839277,120842349,3072,5604.218139035484,1.824289758800613,megabyte1,3072
7,21504,24576,120842349,120845421,3072,5791.759515377169,1.885338383911839,megabyte1,3072
8,24576,27648,120845421,120848493,3072,5892.654090265151,1.9181816700081873,megabyte1,3072
9,27648,30720,120848493,120851565,3072,5785.991277802986,1.883460702409826,megabyte1,3072
10,30720,33792,120851565,120854637,3072,5835.32688676631,1.8995204709525748,megabyte1,3072
11,33792,36864,120854637,120857709,3072,5893.146221991621,1.9183418691378975,megabyte1,3072
12,36864,39936,120857709,120860781,3072,5773.522603209963,1.8794018890657431,megabyte1,3072
13,39936,43008,120860781,120863853,3072,5779.582809168944,1.8813746123596822,megabyte1,3072
14,43008,46080,120863853,120866925,3072,5686.140526562348,1.8509572026570142,megabyte1,3072
15,46080,49152,120866925,120869997,3072,5813.493535456148,1.8924132602396313,megabyte1,3072
