model,model_window_position,base_count,mean_bpb
megabyte1,0,16,1.9990034750164365
megabyte1,1,16,1.982231255206851
megabyte1,2,16,1.9929152987653893
megabyte1,3,16,1.962837961939179
megabyte1,4,16,2.0719487425813035
megabyte1,5,16,1.9068484870521456
megabyte1,6,16,2.2635590708948166
megabyte1,7,16,2.043541535193231
megabyte1,8,16,2.2185948818449464
megabyte1,9,16,1.9032185106892943
megabyte1,10,16,1.9251347986363798
megabyte1,11,16,1.9483583086619798
megabyte1,12,16,1.9937241289139933
megabyte1,13,16,2.077001395786668
megabyte1,14,16,2.0424274012109054
megabyte1,15,16,2.0091616498501397
megabyte1,16,16,1.8245596374802486
megabyte1,17,16,1.8533126099376722
megabyte1,18,16,1.7887305000756015
megabyte1,19,16,1.8819932381299629
megabyte1,20,16,1.9035539391904437
megabyte1,21,16,1.9544237643342162
megabyte1,22,16,2.133667320359571
megabyte1,23,16,1.8563842188947406
megabyte1,24,16,2.059587369904229
megabyte1,25,16,1.8438920743795357
megabyte1,26,16,2.197728021269343
megabyte1,27,16,1.9122611618287029
megabyte1,28,16,1.8718983743767201
megabyte1,29,16,1.9636900064408056
megabyte1,30,16,2.013209038917638
megabyte1,31,16,1.8962942291170992
megabyte1,32,16,1.5935373152972274
megabyte1,33,16,2.0147815493480903
megabyte1,34,16,1.7811237617918148
megabyte1,35,16,1.9614466234070496
megabyte1,36,16,1.7700920008340397
megabyte1,37,16,1.86828177228637
megabyte1,38,16,1.9220739881050424
megabyte1,39,16,1.9982065167544274
megabyte1,40,16,1.7351011833908274
megabyte1,41,16,1.9467935665532132
megabyte1,42,16,1.9063012967982473
megabyte1,43,16,2.0801796520437907
megabyte1,44,16,2.0848752893936147
megabyte1,45,16,1.7177926411046391
megabyte1,46,16,2.1325056023182416
megabyte1,47,16,1.7685273664045127
megabyte1,48,16,2.069967230847554
megabyte1,49,16,1.9228673599813928
megabyte1,50,16,1.7943600742924408
megabyte1,51,16,1.7909526257320536
megabyte1,52,16,1.600386190661197
megabyte1,53,16,1.937248776557176
megabyte1,54,16,1.6834945007786035
megabyte1,55,16,1.7564741464486635
megabyte1,56,16,1.950182469183911
megabyte1,57,16,1.9407691154879054
megabyte1,58,16,1.6379978095586725
megabyte1,59,16,1.6292917206088602
megabyte1,60,16,1.8749183713817026
megabyte1,61,16,1.9567120796254662
megabyte1,62,16,2.176682811780848
megabyte1,63,16,1.9657838422164438
megabyte1,64,16,1.9460989404687878
megabyte1,65,16,1.6122737051524372
megabyte1,66,16,1.9917934503512023
megabyte1,67,16,1.928329784066166
megabyte1,68,16,2.0034653045421242
megabyte1,69,16,1.9053983232609824
megabyte1,70,16,1.9046033928263217
megabyte1,71,16,1.594102536442952
megabyte1,72,16,1.8123442087942245
megabyte1,73,16,2.0024438938776
megabyte1,74,16,1.935750536348991
megabyte1,75,16,2.0796270454380794
megabyte1,76,16,1.9033435762386643
megabyte1,77,16,2.0172866835892935
megabyte1,78,16,1.6810393969004893
megabyte1,79,16,1.85576350793751
megabyte1,80,16,1.8414853108546738
megabyte1,81,16,2.0495154221679295
megabyte1,82,16,1.9611871206281897
megabyte1,83,16,2.0703734555428492
megabyte1,84,16,2.0641207908326114
megabyte1,85,16,1.9795599477430266
megabyte1,86,16,1.5619738320397791
megabyte1,87,16,2.0031179243082935
megabyte1,88,16,1.8630280271603035
megabyte1,89,16,1.8785490150257995
megabyte1,90,16,1.7913291543736432
megabyte1,91,16,1.788565160045864
megabyte1,92,16,2.096649689042933
megabyte1,93,16,1.9420831180639229
megabyte1,94,16,1.7946327951955197
megabyte1,95,16,1.8022014707225404
megabyte1,96,16,1.83231671416673
megabyte1,97,16,1.8560879980674176
megabyte1,98,16,1.9722873466391382
megabyte1,99,16,2.0887883091914343
megabyte1,100,16,1.7229705585413269
megabyte1,101,16,1.7456708937311955
megabyte1,102,16,1.6924969202961517
megabyte1,103,16,2.077993509620249
megabyte1,104,16,1.833063976851799
megabyte1,105,16,2.0831512694279444
megabyte1,106,16,1.98715189319893
megabyte1,107,16,2.0386819673587073
megabyte1,108,16,2.0601252085962836
megabyte1,109,16,1.9052851150759695
megabyte1,110,16,1.848210771806473
megabyte1,111,16,2.070230274325881
megabyte1,112,16,1.927624121518186
megabyte1,113,16,1.9120602043208654
megabyte1,114,16,2.1307127804833272
megabyte1,115,16,1.894236259802296
megabyte1,116,16,1.6589592570038652
megabyte1,117,16,1.7115145003691745
megabyte1,118,16,2.079628880059914
megabyte1,119,16,1.9030021867685436
megabyte1,120,16,1.6742677765157945
megabyte1,121,16,1.8575552826466457
megabyte1,122,16,1.9596093217645074
megabyte1,123,16,1.9233901223544279
megabyte1,124,16,2.121811567676207
megabyte1,125,16,1.7393392283450133
megabyte1,126,16,1.9259734736053014
megabyte1,127,16,1.8145365061401557
megabyte1,128,16,1.5504420483644892
megabyte1,129,16,1.8578113074720741
megabyte1,130,16,1.7923198380943854
megabyte1,131,16,1.9316036570000839
