window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,8700553,8703625,3072,5966.380705843408,1.9421812193500676,megabyte1,3072
1,3072,6144,8703625,8706697,3072,5914.813359978303,1.9253949739512706,megabyte1,3072
2,6144,9216,8706697,8709769,3072,5914.596848464872,1.9253244949429922,megabyte1,3072
3,9216,12288,8709769,8712841,3072,5059.950907219025,1.647119435943693,megabyte1,3072
4,12288,15360,8712841,8715913,3072,5800.082931903562,1.8880478293956908,megabyte1,3072
5,15360,18432,8715913,8718985,3072,5939.614816747409,1.9334683648266306,megabyte1,3072
6,18432,21504,8718985,8722057,3072,5815.333253844794,1.8930121269026021,megabyte1,3072
7,21504,24576,8722057,8725129,3072,5884.3393227860015,1.9154750399694016,megabyte1,3072
8,24576,27648,8725129,8728201,3072,5940.749986995555,1.9338378863917824,megabyte1,3072
9,27648,30720,8728201,8731273,3072,5988.83069320126,1.9494891579431186,megabyte1,3072
10,30720,33792,8731273,8734345,3072,5965.50314631414,1.9418955554408008,megabyte1,3072
11,33792,36864,8734345,8737417,3072,5976.023886341658,1.9453202755018417,megabyte1,3072
12,36864,39936,8737417,8740489,3072,5795.086760059297,1.8864214713734693,megabyte1,3072
13,39936,43008,8740489,8743561,3072,5830.162487241418,1.8978393513155656,megabyte1,3072
14,43008,46080,8743561,8746633,3072,5748.693153654313,1.8713193859551802,megabyte1,3072
15,46080,49152,8746633,8749705,3072,5975.556036753922,1.9451679807141673,megabyte1,3072
