model,model_window_position,base_count,mean_bpb
megabyte1,0,16,1.9823090629713818
megabyte1,1,16,1.947588825805648
megabyte1,2,16,1.9766257154202524
megabyte1,3,16,1.9327920998377557
megabyte1,4,16,1.9107191142262858
megabyte1,5,16,1.8547225869268098
megabyte1,6,16,1.9926497856958347
megabyte1,7,16,1.939320385127827
megabyte1,8,16,1.9152494433205516
megabyte1,9,16,1.7894264205944421
megabyte1,10,16,1.854823393189274
megabyte1,11,16,1.9389826288175054
megabyte1,12,16,1.888800927058104
megabyte1,13,16,1.985718799847502
megabyte1,14,16,1.762891378513818
megabyte1,15,16,1.9919267004455072
megabyte1,16,16,1.8892355411200388
megabyte1,17,16,2.0063811472175956
megabyte1,18,16,1.9864538123461684
megabyte1,19,16,1.8231683482066348
megabyte1,20,16,1.9464624317858772
megabyte1,21,16,1.7778092515786734
megabyte1,22,16,1.6868524311361162
megabyte1,23,16,1.749691461595098
megabyte1,24,16,2.2103914169255576
megabyte1,25,16,1.993885339712032
megabyte1,26,16,1.7370770732026188
megabyte1,27,16,1.9193341203969074
megabyte1,28,16,1.7783588669565715
megabyte1,29,16,1.496299567528571
megabyte1,30,16,1.7666792581148458
megabyte1,31,16,1.4912105648412248
megabyte1,32,16,1.6334673426739104
megabyte1,33,16,1.5961758932498509
megabyte1,34,16,1.3916980750254273
megabyte1,35,16,2.2705229129739797
megabyte1,36,16,1.501117904837572
megabyte1,37,16,1.4837192342225423
megabyte1,38,16,1.8340139111662337
megabyte1,39,16,1.8666822835444217
megabyte1,40,16,1.8313391694089658
megabyte1,41,16,1.707976995452108
megabyte1,42,16,2.0420328123659015
megabyte1,43,16,1.945694862355247
megabyte1,44,16,1.6549691722230881
megabyte1,45,16,1.9775286930096738
megabyte1,46,16,1.647233723426623
megabyte1,47,16,2.0644528962069417
megabyte1,48,16,2.0482167091259234
megabyte1,49,16,1.8403715985132068
megabyte1,50,16,1.63430184088169
megabyte1,51,16,1.717355502418718
megabyte1,52,16,1.8023458649547142
megabyte1,53,16,1.8908273893682408
megabyte1,54,16,1.6245698615128714
megabyte1,55,16,1.6782215847262205
megabyte1,56,16,1.8049005113734398
megabyte1,57,16,1.9765747841490944
megabyte1,58,16,1.6547759188952955
megabyte1,59,16,1.90691416665531
megabyte1,60,16,1.9980471074458146
megabyte1,61,16,1.8296776850353296
megabyte1,62,16,1.7007071993714207
megabyte1,63,16,1.6203580769678811
megabyte1,64,16,1.7079077588031837
megabyte1,65,16,1.6361968867518866
megabyte1,66,16,1.7835416097353312
megabyte1,67,16,1.9141706866852757
megabyte1,68,16,1.7921663884601924
megabyte1,69,16,1.9664028365635446
megabyte1,70,16,1.835755774160275
megabyte1,71,16,1.9279844200449303
megabyte1,72,16,1.6844611846065083
megabyte1,73,16,1.8327058986879954
megabyte1,74,16,1.9638943003800746
megabyte1,75,16,1.9290356800124846
megabyte1,76,16,1.762110462027886
megabyte1,77,16,1.5426164678458205
megabyte1,78,16,1.5984683104087094
megabyte1,79,16,1.701957967787225
megabyte1,80,16,1.6144692211456175
megabyte1,81,16,1.6768802362410875
megabyte1,82,16,1.8340556773723062
megabyte1,83,16,1.5251860575477503
megabyte1,84,16,1.9734442469747848
megabyte1,85,16,1.5963168682770261
megabyte1,86,16,1.937707802709995
megabyte1,87,16,1.5810979953622297
megabyte1,88,16,1.376131803380157
megabyte1,89,16,1.5916183463969902
megabyte1,90,16,1.613716973200125
megabyte1,91,16,1.7798902296297439
megabyte1,92,16,1.5072177386502283
megabyte1,93,16,1.5843523928578838
megabyte1,94,16,1.6866370151687777
megabyte1,95,16,2.019266152941762
megabyte1,96,16,1.881810326428029
megabyte1,97,16,1.8502425645881122
megabyte1,98,16,2.016750113907645
megabyte1,99,16,1.7119808875958669
megabyte1,100,16,1.8623400164294808
megabyte1,101,16,1.7108825620433288
megabyte1,102,16,1.7835358610667007
megabyte1,103,16,1.629144945561802
megabyte1,104,16,1.6344113867057015
megabyte1,105,16,1.6927386467063814
megabyte1,106,16,1.6802586754449815
megabyte1,107,16,1.6529340174029166
megabyte1,108,16,1.470228959152481
megabyte1,109,16,1.3542165331448341
megabyte1,110,16,2.0522552118191757
megabyte1,111,16,1.3570423946298682
megabyte1,112,16,1.9447066565338202
megabyte1,113,16,1.6209552332074015
megabyte1,114,16,1.6902466497578026
megabyte1,115,16,1.892209361790792
megabyte1,116,16,1.8698418331960969
megabyte1,117,16,1.507837950024243
megabyte1,118,16,1.2781613526610314
megabyte1,119,16,1.8188476605791655
megabyte1,120,16,1.9525693336566217
megabyte1,121,16,1.8373209229175715
megabyte1,122,16,1.9854374181011765
megabyte1,123,16,1.9237560271015302
megabyte1,124,16,1.4732916233935442
megabyte1,125,16,1.7387598963078248
megabyte1,126,16,1.6521053839680344
megabyte1,127,16,1.4643776093757321
megabyte1,128,16,1.8186542018942546
megabyte1,129,16,1.9121605702039164
megabyte1,130,16,2.3559406978483444
megabyte1,131,16,2.013597974761632
megabyte1,132,16,1.6836943366155732
megabyte1,133,16,1.6374865600984951
megabyte1,134,16,2.0932097332278716
megabyte1,135,16,1.5275828336284878
megabyte1,136,16,1.8475733188040486
megabyte1,137,16,1.8531866337197538
megabyte1,138,16,1.6034350084435414
megabyte1,139,16,1.9205410736221316
megabyte1,140,16,1.7599181001314899
megabyte1,141,16,1.639433112242652
megabyte1,142,16,2.198220399895893
megabyte1,143,16,1.7416062321825658
megabyte1,144,16,1.9129655275595294
megabyte1,145,16,1.823597651205743
megabyte1,146,16,1.8964815850758063
megabyte1,147,16,1.7644777867868433
megabyte1,148,16,1.9363843266024396
megabyte1,149,16,1.9484611733134758
megabyte1,150,16,1.7351005605597303
megabyte1,151,16,1.6328205628218788
megabyte1,152,16,1.7322851864241227
megabyte1,153,16,1.7591577896689086
megabyte1,154,16,1.6989005144976244
megabyte1,155,16,1.658461566179736
megabyte1,156,16,1.9993461875640737
megabyte1,157,16,1.6419377292135442
megabyte1,158,16,1.753790921271524
megabyte1,159,16,1.8810803150150412
