split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,payload_only_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,payload_only_vs_2bit_percent,arithmetic_payload_bytes,framing_bytes,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,windows_nonoverlap,HoSa,HoSa,189752667.0,189752667,189752667,1.6790928372037057,,1.6781201886558683,83.95464186018529,,,,38845642,12,81.88689542898493,1.6377379085796986,38845642,12,81.88689542898493,1.6377379085796986,699895.0325239865,0.6998950325239865,699895.0325239865,0.6998950325239865
full,windows_nonoverlap,GaGa,GaGa,148532294.0,148532294,148532292,1.8507764762695509,,1.8498354865363795,92.53882381347755,,,,33877671,11,91.23314556765682,1.8246629113531365,33877671,11,91.23314556765682,1.8246629113531365,708049.6874303668,0.7080496874303668,708049.6969643163,0.7080496969643163
full,windows_nonoverlap,AnCa,AnCa,142189675.0,142189675,142189674,1.8718779255376872,,1.8709451791929586,93.59389627688437,,,,,,,,29481172,5,82.93477567903577,1.6586955135807153,709707.3521715085,0.7097073521715085,709707.3571627805,0.7097073571627804
full,windows_nonoverlap,DaRe,DaRe,62565020.0,62565020,62565018,1.8355720763957903,,1.834631852456503,91.77860381978952,,,,11488819,10,73.45202798624535,1.469040559724907,11488819,10,73.45202798624535,1.469040559724907,706292.064721627,0.7062920647216271,706292.0872994856,0.7062920872994856
full,windows_nonoverlap,OrSa,OrSa,43262523.0,43262523,43262523,1.8750471857593696,,1.8741448697402763,93.75235928796847,,,,8646543,10,79.94487977504224,1.5988975955008449,8646543,10,79.94487977504224,1.5988975955008449,699026.9332800176,0.6990269332800175,699026.9332800176,0.6990269332800175
full,windows_nonoverlap,DrMe,DrMe,32181429.0,32181429,32181429,1.8902342714489155,,1.8893365629602032,94.51171357244577,,,,7481093,10,92.98646122892804,1.8597292245785606,7481093,10,92.98646122892804,1.8597292245785606,707199.9459332882,0.7071999459332882,707199.9459332882,0.7071999459332882
full,windows_nonoverlap,EnIn,EnIn,26403087.0,26403087,26403087,1.8897959924155838,,1.8888921081847598,94.4897996207792,,,,5170889,9,78.33764286729048,1.5667528573458096,5170889,9,78.33764286729048,1.5667528573458096,704601.0140314944,0.7046010140314943,704601.0140314944,0.7046010140314943
full,windows_nonoverlap,ScPo,ScPo,10652155.0,10652155,10652154,1.9148029591010418,,1.9139326496396731,95.7401479550521,,,,2518963,8,94.58979896556143,1.8917959793112287,2518963,8,94.58979896556143,1.8917959793112287,705192.7293983488,0.7051927293983489,705192.7956002391,0.7051927956002391
full,windows_nonoverlap,WaMe,WaMe,9144432.0,9144432,9144432,1.922743807379179,,1.9218900227495506,96.13719036895894,,,,,,,,2217655,5,97.00569701868854,1.9401139403737706,704620.2594199738,0.7046202594199739,704620.2594199738,0.7046202594199739
full,windows_nonoverlap,PlFa,PlFa,8986712.0,8986712,8986710,1.802042349202322,,1.80113059377229,90.1021174601161,,,,1925726,7,85.71437473460817,1.7142874946921633,1925726,7,85.71437473460817,1.7142874946921633,701954.5898039257,0.7019545898039257,701954.7460245204,0.7019547460245203
full,windows_nonoverlap,EsCo,EsCo,4641652.0,4641652,4641651,1.6946625241751265,,1.6936878919091436,84.73312620875633,,,,1098552,6,94.66905317330985,1.893381063466197,1098552,6,94.66905317330985,1.893381063466197,705015.3194288142,0.7050153194288142,705015.471317726,0.7050154713177259
full,windows_nonoverlap,HaHi,HaHi,3890005.0,3890005,3890004,1.7166542759339065,,1.7157842617219292,85.83271379669533,,,,902831,5,92.83597321854342,1.8567194643708684,902831,5,92.83597321854342,1.8567194643708684,696117.575857393,0.696117575857393,696117.7548077425,0.6961177548077425
full,windows_nonoverlap,HePy,HePy,1667825.0,1667825,1667823,1.7181103750218099,,1.7171915704962022,85.9055187510905,,,,375481,4,90.05285326697945,1.801057065339589,375481,4,90.05285326697945,1.801057065339589,689951.9223542671,0.689951922354267,689952.7497225457,0.6899527497225457
full,windows_nonoverlap,AeCa,AeCa,1591049.0,1591049,1591047,1.797890320021973,,1.7970306994216112,89.89451600109865,,,,380115,5,95.56336731301172,1.9112673462602345,380115,5,95.56336731301172,1.9112673462602345,678902.4875038423,0.6789024875038423,678903.3409072773,0.6789033409072773
full,windows_nonoverlap,YeMi,YeMi,73689.0,73689,73689,1.7428924262780061,,1.742454464720396,87.1446213139003,,,,16798,3,91.18321594810624,1.8236643189621247,16798,3,91.18321594810624,1.8236643189621247,574311.7487172897,0.5743117487172896,574311.7487172897,0.5743117487172896
full,windows_nonoverlap,AgPh,AgPh,43970.0,43970,43968,1.8437045123726346,,1.8430338030819289,92.18522561863173,,,,10708,2,97.4118717307255,1.94823743461451,10708,2,97.4118717307255,1.94823743461451,499649.84441919066,0.49964984441919064,499672.57230512676,0.49967257230512674
full,windows_nonoverlap,BuEb,BuEb,18940.0,18940,18939,1.933365013992291,,1.9333325998415143,96.66825069961456,,,,4686,1,98.9651531151003,1.9793030623020063,4686,1,98.9651531151003,1.9793030623020063,344834.5682654217,0.34483456826542175,344852.77590934513,0.34485277590934516
