window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1863264.4600143433,1.8632644600143433,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1864865.2395071983,1.8648652395071983,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1860571.0492868423,1.8605710492868424,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1852975.2465133667,1.8529752465133666,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1856320.9223909378,1.8563209223909378,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1864473.6027231216,1.8644736027231217,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1868197.9212725163,1.8681979212725162,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1864167.3410975933,1.8641673410975934,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1864513.2789216042,1.8645132789216041,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1868807.1805639267,1.8688071805639268,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1866072.466211319,1.866072466211319,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1866656.5281715393,1.8666565281715393,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1859111.4820280075,1.8591114820280075,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1867264.362826109,1.867264362826109,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1863182.6306757927,1.8631826306757926,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1862666.5346269608,1.8626665346269609,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1870479.490410328,1.870479490410328,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1867123.9400701523,1.8671239400701523,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1868323.1081619263,1.8683231081619263,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1865179.4506540298,1.8651794506540298,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1862632.7236618996,1.8626327236618996,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1864729.1483187675,1.8647291483187676,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1868306.6193249226,1.8683066193249225,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1869284.3769454956,1.8692843769454957,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1867569.3198719025,1.8675693198719026,megabyte1,1000000
25,25000000,26000000,25000000,26000000,1000000,1863667.6131896973,1.8636676131896972,megabyte1,1000000
26,26000000,27000000,26000000,27000000,1000000,1862293.8504285812,1.8622938504285813,megabyte1,1000000
27,27000000,28000000,27000000,28000000,1000000,1862111.9186968803,1.8621119186968804,megabyte1,1000000
28,28000000,29000000,28000000,29000000,1000000,1860814.2625908852,1.8608142625908852,megabyte1,1000000
29,29000000,30000000,29000000,30000000,1000000,1863957.8961939812,1.8639578961939811,megabyte1,1000000
30,30000000,31000000,30000000,31000000,1000000,1866547.3296701908,1.8665473296701909,megabyte1,1000000
