window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1593641.8841819763,1.5936418841819764,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1614057.4038391113,1.6140574038391113,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1552815.479842186,1.552815479842186,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1688346.0976934433,1.6883460976934432,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1668010.2890024185,1.6680102890024184,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1639709.1213293076,1.6397091213293076,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1666991.8491191864,1.6669918491191864,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1707931.7126483917,1.7079317126483917,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1707641.021598816,1.7076410215988158,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1690992.2208938599,1.69099222089386,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1725512.5108242035,1.7255125108242035,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1686601.7385492325,1.6866017385492325,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1675237.9792342186,1.6752379792342187,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1677722.5835959911,1.677722583595991,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1693476.7816836834,1.6934767816836833,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1674094.5258598328,1.6740945258598328,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1712764.478327036,1.712764478327036,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1648210.1397695541,1.648210139769554,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1670617.2226586342,1.6706172226586342,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1668622.3298034668,1.6686223298034668,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1711435.95495224,1.71143595495224,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1691947.669183731,1.6919476691837312,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1680079.7199440002,1.6800797199440003,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1736496.9596719742,1.7364969596719741,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1714759.7471141815,1.7147597471141816,megabyte1,1000000
