model,model_window_position,base_count,mean_bpb
megabyte1,0,14083,2.0076146634017964
megabyte1,1,14083,2.002501838985834
megabyte1,2,14083,1.9975082851443229
megabyte1,3,14083,1.9847771914719876
megabyte1,4,14083,1.9806201958922105
megabyte1,5,14083,1.9799880618476178
megabyte1,6,14083,1.9808633137026912
megabyte1,7,14083,1.9661203265350955
megabyte1,8,14083,1.9775988278060206
megabyte1,9,14083,1.9605227747161915
megabyte1,10,14083,1.9537153720076954
megabyte1,11,14083,1.9619415571411454
megabyte1,12,14083,1.9513469821458884
megabyte1,13,14083,1.9472795283431266
megabyte1,14,14083,1.9508240422191483
megabyte1,15,14083,1.9398126182997675
megabyte1,16,14083,1.947065766609537
megabyte1,17,14083,1.9527287287171369
megabyte1,18,14083,1.943721590026539
megabyte1,19,14083,1.9443383905212623
megabyte1,20,14083,1.9430437099524775
megabyte1,21,14083,1.9386644894990581
megabyte1,22,14083,1.9356091258319816
megabyte1,23,14083,1.9408971516574587
megabyte1,24,14083,1.9346836520504276
megabyte1,25,14083,1.9283568248113583
megabyte1,26,14083,1.9384461153487222
megabyte1,27,14083,1.9316632731905683
megabyte1,28,14083,1.9305741003288817
megabyte1,29,14083,1.9269960903608434
megabyte1,30,14083,1.9275212427740755
megabyte1,31,14083,1.9306316282281413
megabyte1,32,14083,1.9334907751144998
megabyte1,33,14083,1.9295054444330182
megabyte1,34,14083,1.928410052338979
megabyte1,35,14083,1.9247172422760515
megabyte1,36,14083,1.92499809154079
megabyte1,37,14083,1.932791398599694
megabyte1,38,14083,1.9258292323527397
megabyte1,39,14083,1.9218459689700957
megabyte1,40,14083,1.923023139635609
megabyte1,41,14083,1.915560470371941
megabyte1,42,14083,1.9175535468971205
megabyte1,43,14083,1.932626332155236
megabyte1,44,14083,1.9277994201525803
megabyte1,45,14083,1.9244536280860567
megabyte1,46,14083,1.9203701039602545
megabyte1,47,14083,1.924275187041571
megabyte1,48,14083,1.9259778893418011
megabyte1,49,14083,1.9222531098242062
megabyte1,50,14083,1.9221123103043118
megabyte1,51,14083,1.9160437957388785
megabyte1,52,14083,1.9115123471134996
megabyte1,53,14083,1.9249341688838049
megabyte1,54,14083,1.9137062815486272
megabyte1,55,14083,1.9156279398333
megabyte1,56,14083,1.921217776661966
megabyte1,57,14083,1.9163673377583872
megabyte1,58,14083,1.9153805395287646
megabyte1,59,14083,1.9125160304506097
megabyte1,60,14083,1.9114973226291403
megabyte1,61,14083,1.9130411416912234
megabyte1,62,14083,1.9108863824607212
megabyte1,63,14083,1.9150148585532898
megabyte1,64,14083,1.9112438875564177
megabyte1,65,14083,1.9108281524599695
megabyte1,66,14083,1.9045876674859317
megabyte1,67,14083,1.9205745130085365
