species,dnacorpus_size_bytes,carbon_500m_bpb,evo2_1b_base_bpb,evo2_7b_base_bpb,geco22_bpb,megabyte1_bpb
HoSa,189752667.000000,1.457165,1.504601,1.358519,1.580140,1.686949
GaGa,148532294.000000,1.859446,1.816142,1.794826,1.867323,1.835239
AnCa,142189675.000000,1.642435,1.618688,1.503451,1.744925,1.865425
DaRe,62565020.000000,1.471794,1.583260,1.327091,1.310331,1.840202
OrSa,43262523.000000,1.819523,1.760955,1.605732,1.395568,1.881060
DrMe,32181429.000000,1.906111,1.869654,1.829000,1.899114,1.907180
EnIn,26403087.000000,1.872906,1.829139,1.811239,1.396191,1.866796
ScPo,10652155.000000,1.855514,1.794467,1.741349,1.895820,1.915689
WaMe,9144432.000000,1.806458,1.722450,1.635042,1.942949,1.909373
PlFa,8986712.000000,1.807426,1.772882,1.761921,1.813803,1.820479
EsCo,4641652.000000,1.783562,1.298379,0.993254,1.935113,1.727665
HaHi,3890005.000000,1.668001,1.279685,1.091117,1.861264,1.647143
HePy,1667825.000000,1.692370,1.372942,1.211653,1.839441,1.652941
AeCa,1591049.000000,1.786592,1.556839,1.454246,1.924788,1.749207
YeMi,73689.000000,1.788004,1.647868,1.434950,1.810603,1.731992
AgPh,43970.000000,1.915248,1.641040,1.360492,1.938262,1.828813
BuEb,18940.000000,1.946566,1.926327,1.921859,1.960737,1.934636
Mean,,1.769360,1.646783,1.519749,1.771551,1.811811
