window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,2012990,2016062,3072,4826.059785233716,1.570983003005767,megabyte1,3072
1,3072,6144,2016062,2019134,3072,4668.7353891805615,1.5197706344988806,megabyte1,3072
2,6144,9216,2019134,2022206,3072,5138.638642591164,1.6727339331351445,megabyte1,3072
3,9216,12288,2022206,2025278,3072,5190.775547801383,1.689705581966596,megabyte1,3072
4,12288,15360,2025278,2028350,3072,5599.29814084745,1.8226881968904458,megabyte1,3072
5,15360,18432,2028350,2031422,3072,4974.7863225966175,1.6193965893869198,megabyte1,3072
6,18432,21504,2031422,2034494,3072,5545.82497906785,1.8052815687069825,megabyte1,3072
7,21504,24576,2034494,2037566,3072,5658.983247043197,1.842116942396874,megabyte1,3072
8,24576,27648,2037566,2040638,3072,5109.8778332896745,1.6633716905239826,megabyte1,3072
9,27648,30720,2040638,2043710,3072,5741.314928949744,1.8689176201008282,megabyte1,3072
10,30720,33792,2043710,2046782,3072,5625.610089353362,1.8312532842947142,megabyte1,3072
11,33792,36864,2046782,2049854,3072,5430.881037335097,1.7678649210075186,megabyte1,3072
12,36864,39936,2049854,2052926,3072,5783.236050843371,1.88256381863391,megabyte1,3072
13,39936,43008,2052926,2055998,3072,5179.394769501203,1.6860009015303394,megabyte1,3072
14,43008,46080,2055998,2059070,3072,5248.204066322461,1.708399761172676,megabyte1,3072
15,46080,49152,2059070,2062142,3072,5299.864824350038,1.7252164141764448,megabyte1,3072
16,49152,52224,2062142,2065214,846,1540.5117168507827,1.8209358355210197,megabyte1,3072
0,0,3072,2012990,2016062,3072,6114.844,1.9905091145833333,geco22,3072
1,3072,6144,2016062,2019134,3072,6065.143,1.9743304036458333,geco22,3072
2,6144,9216,2019134,2022206,3072,6033.844999999999,1.9641422526041665,geco22,3072
3,9216,12288,2022206,2025278,3072,6040.700000000001,1.9663736979166668,geco22,3072
4,12288,15360,2025278,2028350,3072,6108.987999999999,1.9886028645833331,geco22,3072
5,15360,18432,2028350,2031422,3072,6063.251,1.9737145182291667,geco22,3072
6,18432,21504,2031422,2034494,3072,6055.1759999999995,1.9710859374999998,geco22,3072
7,21504,24576,2034494,2037566,3072,6057.249,1.9717607421874999,geco22,3072
8,24576,27648,2037566,2040638,3072,6081.052,1.9795091145833332,geco22,3072
9,27648,30720,2040638,2043710,3072,6155.031,2.0035908203125,geco22,3072
10,30720,33792,2043710,2046782,3072,6075.106,1.9775735677083333,geco22,3072
11,33792,36864,2046782,2049854,3072,6018.004,1.9589856770833334,geco22,3072
12,36864,39936,2049854,2052926,3072,6131.743,1.9960100911458334,geco22,3072
13,39936,43008,2052926,2055998,3072,6062.599,1.9735022786458334,geco22,3072
14,43008,46080,2055998,2059070,3072,5973.3097,1.9444367513020833,geco22,3072
15,46080,49152,2059070,2062142,3072,5936.273300000001,1.9323806315104168,geco22,3072
16,49152,52224,2062142,2065214,848,1522.042,1.7948608490566036,geco22,3072
