window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,58881582,58884654,3072,5692.164031982422,1.8529179791609447,megabyte1,3072
1,3072,6144,58884654,58887726,3072,5736.641357421875,1.8673962752024333,megabyte1,3072
2,6144,9216,58887726,58890798,3072,5948.838134765625,1.9364707469940186,megabyte1,3072
3,9216,12288,58890798,58893870,3072,5749.3189697265625,1.871523102124532,megabyte1,3072
4,12288,15360,58893870,58896942,3072,5752.134048461914,1.8724394689003627,megabyte1,3072
5,15360,18432,58896942,58900014,3072,5847.6884765625,1.9035444259643555,megabyte1,3072
6,18432,21504,58900014,58903086,3072,5785.8306884765625,1.8834084272384644,megabyte1,3072
7,21504,24576,58903086,58906158,3072,5599.252517700195,1.8226733456055324,megabyte1,3072
8,24576,27648,58906158,58909230,3072,5694.516815185547,1.8536838591098785,megabyte1,3072
9,27648,30720,58909230,58912302,3072,5159.885971069336,1.6796503812074661,megabyte1,3072
10,30720,33792,58912302,58915374,3072,5422.556915283203,1.7651552458604176,megabyte1,3072
11,33792,36864,58915374,58918446,3072,5878.0748291015625,1.9134358167648315,megabyte1,3072
12,36864,39936,58918446,58921518,3072,5737.397491455078,1.8676424125830333,megabyte1,3072
13,39936,43008,58921518,58924590,3072,5668.6885986328125,1.8452762365341187,megabyte1,3072
14,43008,46080,58924590,58927662,3072,5502.523040771484,1.791185885667801,megabyte1,3072
15,46080,49152,58927662,58930734,3072,5707.94189453125,1.8580540021260579,megabyte1,3072
16,49152,52224,58930734,58933806,848,1126.6531372070312,1.328600397649801,megabyte1,3072
0,0,3072,58881582,58884654,3072,3703.1188316345215,1.2054423280060291,geco22,3072
1,3072,6144,58884654,58887726,3072,4355.026718139648,1.41765192647775,geco22,3072
2,6144,9216,58887726,58890798,3072,4225.699150085449,1.3755531087517738,geco22,3072
3,9216,12288,58890798,58893870,3072,4006.7438201904297,1.304278587301572,geco22,3072
4,12288,15360,58893870,58896942,3072,3628.502742767334,1.1811532365779083,geco22,3072
5,15360,18432,58896942,58900014,3072,4641.8366050720215,1.5110145198802154,geco22,3072
6,18432,21504,58900014,58903086,3072,3223.760944366455,1.0494013490776222,geco22,3072
7,21504,24576,58903086,58906158,3072,4530.188163757324,1.4746706262230873,geco22,3072
8,24576,27648,58906158,58909230,3072,4689.2893714904785,1.5264613839487235,geco22,3072
9,27648,30720,58909230,58912302,3072,3621.0619201660156,1.1787310938040416,geco22,3072
10,30720,33792,58912302,58915374,3072,3770.1916160583496,1.2272759166856606,geco22,3072
11,33792,36864,58915374,58918446,3072,4403.936256408691,1.4335730001330376,geco22,3072
12,36864,39936,58918446,58921518,3072,4099.94953918457,1.3346189906199772,geco22,3072
13,39936,43008,58921518,58924590,3072,4110.009429931641,1.337893694639206,geco22,3072
14,43008,46080,58924590,58927662,3072,3727.2359199523926,1.213292942692836,geco22,3072
15,46080,49152,58927662,58930734,3072,4109.267364501953,1.3376521368821461,geco22,3072
16,49152,52224,58930734,58933806,848,670.722412109375,0.7909462406950177,geco22,3072
