split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,payload_only_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,payload_only_vs_2bit_percent,arithmetic_payload_bytes,framing_bytes,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,windows_nonoverlap,HoSa,HoSa,189752667.0,189752667,189752667,1.6600561403439984,1.6548450620723028,1.6600561403439984,83.00280701719991,82.74225310361514,39251408,123602,38845642,12,81.88689542898493,1.6377379085796986,38845642,12,81.88689542898493,1.6377379085796986,842646.991338432,0.8426469913384319,842646.991338432,0.8426469913384319
full,windows_nonoverlap,GaGa,GaGa,148532294.0,148532294,148532292,1.8532843753599386,1.84807252553539,1.8532843753599386,92.66421876799693,92.4036262767695,34312306,96766,33877671,11,91.23314556765682,1.8246629113531365,33877671,11,91.23314556765682,1.8246629113531365,887940.32230499,0.88794032230499,887940.3342611823,0.8879403342611824
full,windows_nonoverlap,AnCa,AnCa,142189675.0,142189675,142189674,1.8726156443680995,1.8674036765848412,1.8726156443680995,93.63078221840497,93.37018382924207,33190690,92636,,,,,29481172,5,82.93477567903577,1.6586955135807153,1140123.3051549492,1.140123305154949,1140123.3131732764,1.1401233131732764
full,windows_nonoverlap,DaRe,DaRe,62565020.0,62565020,62565018,1.8346868532827723,1.8294702640379645,1.8346868532827723,91.73434266413861,91.47351320189823,14307605,40797,11488819,10,73.45202798624535,1.469040559724907,11488819,10,73.45202798624535,1.469040559724907,655321.4144498587,0.6553214144498587,655321.4353983515,0.6553214353983515
full,windows_nonoverlap,OrSa,OrSa,43262523.0,43262523,43262523,1.8832686202790345,1.878048397685914,1.8832686202790345,94.16343101395172,93.9024198842957,10156139,28230,8646543,10,79.94487977504224,1.5988975955008449,8646543,10,79.94487977504224,1.5988975955008449,541576.4555619503,0.5415764555619503,541576.4555619503,0.5415764555619503
full,windows_nonoverlap,DrMe,DrMe,32181429.0,32181429,32181429,1.89397083641003,1.8887464568462762,1.89397083641003,94.6985418205015,94.4373228423138,7597820,21016,7481093,10,92.98646122892804,1.8597292245785606,7481093,10,92.98646122892804,1.8597292245785606,526615.1024511935,0.5266151024511935,526615.1024511935,0.5266151024511935
full,windows_nonoverlap,EnIn,EnIn,26403087.0,26403087,26403087,1.8934322338899237,1.8882043603461973,1.8934322338899237,94.67161169449618,94.41021801730986,6231803,17254,5170889,9,78.33764286729048,1.5667528573458096,5170889,9,78.33764286729048,1.5667528573458096,501435.36001831735,0.5014353600183173,501435.36001831735,0.5014353600183173
full,windows_nonoverlap,ScPo,ScPo,10652155.0,10652155,10652154,1.9179872915844063,1.9127301388996065,1.9179872915844063,95.89936457922032,95.63650694498033,2546837,7000,2518963,8,94.58979896556143,1.8917959793112287,2518963,8,94.58979896556143,1.8917959793112287,399997.09153899836,0.3999970915389984,399997.1290898159,0.3999971290898159
full,windows_nonoverlap,WaMe,WaMe,9144432.0,9144432,9144432,1.9263079434567396,1.921043100325969,1.9263079434567396,96.31539717283698,96.05215501629844,2195856,6018,,,,,2217655,5,97.00569701868854,1.9401139403737706,372030.2168890046,0.37203021688900456,372030.2168890046,0.37203021688900456
full,windows_nonoverlap,PlFa,PlFa,8986712.0,8986712,8986710,1.8056761595734145,1.8004097161252561,1.8056761595734145,90.28380797867072,90.02048580626281,2022470,5916,1925726,7,85.71437473460817,1.7142874946921633,1925726,7,85.71437473460817,1.7142874946921633,365893.94342220575,0.36589394342220577,365894.02485221595,0.36589402485221595
