split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1238186968.0,1.8059979474213272,154773371,1.8059979474213272,90.29989737106636,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81474952.0,1.8832686202790345,10184369,1.8832686202790345,94.16343101395172,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,315000080.0,1.6600561403439984,39375010,1.6600561403439984,83.00280701719991,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,114787216.0,1.8346868532827723,14348402,1.8346868532827723,91.73434266413861,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20430696.0,1.9179872915844063,2553837,1.9179872915844063,95.89936457922032,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,7643376.0,1.6466933856078365,955422,1.6466933856078365,82.33466928039182,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,128224.0,1.7400697526089375,16028,1.7400697526089375,87.00348763044687,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,37320.0,1.9705369871693332,4665,1.9705369871693332,98.52684935846666,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,81192.0,1.8466157205240175,10149,1.8466157205240175,92.33078602620087,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,275272576.0,1.8532843753599386,34409072,1.8532843753599386,92.66421876799693,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
