split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1236152328.0,1.8030302569523533,154519041,1.8030302569523533,90.15151284761767,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81510056.0,1.8840800385127794,10188757,1.8840800385127794,94.20400192563896,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,312848728.0,1.648718476246766,39106091,1.648718476246766,82.4359238123383,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,114875520.0,1.8360982490247186,14359440,1.8360982490247186,91.80491245123594,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20436616.0,1.9185430477253709,2554577,1.9185430477253709,95.92715238626855,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,7714168.0,1.6619448553973575,964271,1.6619448553973575,83.09724276986788,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,128696.0,1.7464750505502857,16087,1.7464750505502857,87.32375252751429,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,37296.0,1.9692697608110248,4662,1.9692697608110248,98.46348804055124,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,81360.0,1.8504366812227073,10170,1.8504366812227073,92.52183406113537,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,275221336.0,1.8529393998713761,34402667,1.8529393998713761,92.6469699935688,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
