species,source_name,source_mode,selected_sequence_count,sequence_keys,sequence_files,total_size,full_bytes,train_bytes,val_bytes,test_bytes
OrSa,OrSa,flat_file,1,OrSa,OrSa,43262523,43262523,,,
HoSa,HoSa,flat_file,1,HoSa,HoSa,189752667,189752667,,,
DaRe,DaRe,flat_file,1,DaRe,DaRe,62565020,62565020,,,
ScPo,ScPo,flat_file,1,ScPo,ScPo,10652155,10652155,,,
EsCo,EsCo,flat_file,1,EsCo,EsCo,4641652,4641652,,,
YeMi,YeMi,flat_file,1,YeMi,YeMi,73689,73689,,,
BuEb,BuEb,flat_file,1,BuEb,BuEb,18940,18940,,,
AgPh,AgPh,flat_file,1,AgPh,AgPh,43970,43970,,,
GaGa,GaGa,flat_file,1,GaGa,GaGa,148532294,148532294,,,
DrMe,DrMe,flat_file,1,DrMe,DrMe,32181429,32181429,,,
EnIn,EnIn,flat_file,1,EnIn,EnIn,26403087,26403087,,,
PlFa,PlFa,flat_file,1,PlFa,PlFa,8986712,8986712,,,
HePy,HePy,flat_file,1,HePy,HePy,1667825,1667825,,,
AeCa,AeCa,flat_file,1,AeCa,AeCa,1591049,1591049,,,
HaHi,HaHi,flat_file,1,HaHi,HaHi,3890005,3890005,,,
AnCa,AnCa,flat_file,1,AnCa,AnCa,142189675,142189675,,,
WaMe,WaMe,flat_file,1,WaMe,WaMe,9144432,9144432,,,
