split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
test,windows_nonoverlap,aggregate,,ALL,9,884438516,884438505,294812844,1567556272.0,1.772374521391965,195944534,1.772374521391965,88.61872606959825,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
test,windows_nonoverlap,source,gtdb_v220,gtdb_v220,,97479784,97479783,32493262,161766640.0,1.6594891270941792,20220830,1.6594891270941792,82.97445635470896,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,metagenomes,metagenomes,,103784524,103784523,34594842,175736592.0,1.6932832268256415,21967074,1.6932832268256415,84.66416134128207,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,mrna,mrna,,98315201,98315199,32771734,182225440.0,1.8534818812704636,22778180,1.8534818812704636,92.67409406352319,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,ncbi_eukaryotic_genomes,ncbi_eukaryotic_genomes,,99897962,99897960,33299321,166204784.0,1.6637455259346636,20775598,1.6637455259346636,83.18727629673319,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,ncrna,ncrna,,95896259,95896257,31965420,172971400.0,1.8037346337719937,21621425,1.8037346337719937,90.18673168859969,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,organelles,organelles,,100086958,100086957,33362320,179145912.0,1.7899026743314816,22393239,1.7899026743314816,89.49513371657409,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,plasmids_phage,plasmids_phage,,99800135,99800133,33266712,177012056.0,1.7736655320890204,22126507,1.7736655320890204,88.68327660445102,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,promoters,promoters,,90090600,90090600,30030201,168331520.0,1.8684692964637821,21041440,1.8684692964637821,93.42346482318911,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,transcripts,transcripts,,99087093,99087093,33029032,184161928.0,1.8585864457644348,23020241,1.8585864457644348,92.92932228822174,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
