split,mode,species,source_name,total_size,sample_bytes,sample_bases,arithmetic_bits_per_base,payload_only_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,payload_only_vs_2bit_percent,arithmetic_payload_bytes,framing_bytes,paper_baseline_compressed_bytes,paper_baseline_geco2_mode,paper_baseline_percent,paper_baseline_bpb,experiment_baseline_compressed_bytes,experiment_baseline_geco2_mode,experiment_baseline_percent,experiment_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
full,windows_nonoverlap,HoSa,HoSa,189752667.0,189752667,189752667,1.6163791995608683,1.611173475627618,1.6163791995608683,80.81895997804341,80.55867378138089,38215558,123475,38845642,12,81.88689542898493,1.6377379085796986,38845642,12,81.88689542898493,1.6377379085796986,816388.8608243974,0.8163888608243974,816388.8608243974,0.8163888608243974
full,windows_nonoverlap,GaGa,GaGa,148532294.0,148532294,148532292,1.8389729285265457,1.833761078701997,1.8389729285265457,91.94864642632729,91.68805393509984,34046592,96766,33877671,11,91.23314556765682,1.8246629113531365,33877671,11,91.23314556765682,1.8246629113531365,1088076.812711895,1.088076812711895,1088076.8273629423,1.0880768273629422
full,windows_nonoverlap,AnCa,AnCa,142189675.0,142189675,142189674,1.8516315045493388,1.8464195367660805,1.8516315045493388,92.58157522746694,92.32097683830402,32817724,92636,,,,,29481172,5,82.93477567903577,1.6586955135807153,1115081.928810955,1.115081928810955,1115081.9366531696,1.1150819366531697
full,windows_nonoverlap,DaRe,DaRe,62565020.0,62565020,62565018,1.8156590956307246,1.8104425063859169,1.8156590956307246,90.78295478153623,90.52212531929584,14158796,40797,11488819,10,73.45202798624535,1.469040559724907,11488819,10,73.45202798624535,1.469040559724907,892042.0579290042,0.8920420579290042,892042.0864446856,0.8920420864446856
full,windows_nonoverlap,OrSa,OrSa,43262523.0,43262523,43262523,1.8727684467223513,1.8675482241292307,1.8727684467223513,93.63842233611757,93.37741120646153,10099356,28230,8646543,10,79.94487977504224,1.5988975955008449,8646543,10,79.94487977504224,1.5988975955008449,569305.5831705077,0.5693055831705077,569305.5831705077,0.5693055831705077
full,windows_nonoverlap,DrMe,DrMe,32181429.0,32181429,32181429,1.8821070997189093,1.8768827201551552,1.8821070997189093,94.10535498594547,93.84413600775775,7550096,21016,7481093,10,92.98646122892804,1.8597292245785606,7481093,10,92.98646122892804,1.8597292245785606,708406.5197554897,0.7084065197554896,708406.5197554897,0.7084065197554896
full,windows_nonoverlap,EnIn,EnIn,26403087.0,26403087,26403087,1.8958970971841285,1.8906692236404024,1.8958970971841285,94.79485485920642,94.53346118202012,6239938,17254,5170889,9,78.33764286729048,1.5667528573458096,5170889,9,78.33764286729048,1.5667528573458096,614620.6410591098,0.6146206410591099,614620.6410591098,0.6146206410591099
full,windows_nonoverlap,ScPo,ScPo,10652155.0,10652155,10652154,1.9212384650090488,1.915981312324249,1.9212384650090488,96.06192325045244,95.79906561621246,2551166,7000,2518963,8,94.58979896556143,1.8917959793112287,2518963,8,94.58979896556143,1.8917959793112287,379032.4938042702,0.37903249380427023,379032.529386979,0.379032529386979
full,windows_nonoverlap,WaMe,WaMe,9144432.0,9144432,9144432,1.9263866798943883,1.9211218367636174,1.9263866798943883,96.31933399471941,96.05609183818086,2195946,6018,,,,,2217655,5,97.00569701868854,1.9401139403737706,359060.07270403614,0.3590600727040361,359060.07270403614,0.3590600727040361
full,windows_nonoverlap,PlFa,PlFa,8986712.0,8986712,8986710,1.8043239405744704,1.799057497126312,1.8043239405744704,90.21619702872353,89.9528748563156,2020951,5916,1925726,7,85.71437473460817,1.7142874946921633,1925726,7,85.71437473460817,1.7142874946921633,363442.4568635257,0.36344245686352566,363442.5377479554,0.36344253774795543
