split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
full,windows_nonoverlap,OrSa,OrSa,43262523,43262523,1.8745930282429437,1.8745930282429437,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,14420842,,,,,,,,,,,,,,,,0.0,1.1013452148908982,1.1013452148908982,0.624972307,0.15359618225193117,1.7263175218908982,31.199022596003488,0,0,,,,0.9372965141214719,0.23432412853036796
full,windows_nonoverlap,HoSa,HoSa,189752667,189752667,1.6168371008982974,1.6168371008982974,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,63250890,,,,,,,,,,,,,,,,0.0,4.04835253424244,4.04835253424244,2.594097205,0.6718179314484587,6.642449739242441,71.78879606700502,0,0,,,,0.8084185504491487,0.20210463761228717
full,windows_nonoverlap,DaRe,DaRe,62565020,62565018,1.818053021258621,1.818053021258621,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,20855007,,,,,,,,,,,,,,,,0.0,1.5037516990414588,1.5037516990414588,0.900075785,0.2584657827101182,2.4038274840414586,31.12938288800069,0,0,,,,0.9090265106293105,0.22725662039267308
full,windows_nonoverlap,ScPo,ScPo,10652155,10652154,1.9224400999084317,1.9224400999084317,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,3550719,,,,,,,,,,,,,,,,0.0,0.6283276296890108,0.6283276296890108,0.153868725,0.0732184178486932,0.7821963546890108,12.427447371999733,0,0,,,,0.9612200499542158,0.24030498992926783
full,windows_nonoverlap,EsCo,EsCo,4641652,4641651,1.8579854452650577,1.8579854452650577,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,1547218,,,,,,,,,,,,,,,,0.0,0.43075020583637524,0.43075020583637524,0.068460884,0.07492935110349208,0.49921108983637524,10.802249176005716,0,0,,,,0.9289927226325289,0.23224813062245941
full,windows_nonoverlap,YeMi,YeMi,73689,73689,1.7778501540257026,1.7778501540257026,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,24564,,,,,,,,,,,,,,,,0.0,0.9181725344096776,0.9181725344096776,0.001090903,0.0533675650076475,0.9192634374096776,10.81973835300596,0,0,,,,0.8889250770128513,0.22223126925321282
full,windows_nonoverlap,BuEb,BuEb,18940,18939,1.9692697608110248,1.9692697608110248,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,6314,,,,,,,,,,,,,,,,0.0,0.42905606707790866,0.42905606707790866,0.000286228,0.053038199941511266,0.42934229507790866,10.160428778995993,0,0,,,,0.9846348804055124,0.24614572333685322
full,windows_nonoverlap,AgPh,AgPh,43970,43968,1.9075691411935953,1.9075691411935953,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,14657,,,,,,,,,,,,,,,,0.0,0.9160859787516529,0.9160859787516529,0.000689751,0.0536792137863813,0.9167757297516529,10.693820657994365,0,0,,,,0.9537845705967977,0.23843529679326814
full,windows_nonoverlap,GaGa,GaGa,148532294,148532292,1.8395275823253303,1.8395275823253303,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,49510765,,,,,,,,,,,,,,,,0.0,3.3039543666818645,3.3039543666818645,2.130237468,0.5248490199883236,5.434191834681864,62.17401789598807,0,0,,,,0.9197637911626652,0.22994094469449183
full,windows_nonoverlap,DrMe,DrMe,32181429,32181429,1.8831370104789318,1.8831370104789318,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,10727144,,,,,,,,,,,,,,,,0.0,1.242003503604792,1.242003503604792,0.47954883400000003,0.16348467030911706,1.721552337604792,20.186460872006137,0,0,,,,0.9415685052394659,0.23539212630986647
